"CUST_ITEM_CF_HAIR_MED": "露肩"
"SLOT_COCKPIT": "座舱"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "阿兹特克蛇"
"CUST_SKIN_OILED_3": "油光拉美裔 1"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "田径夹克"
"CUST_INSULT_K": "浪子"
"CUST_VARIANT_3COLOR_THIN": "细三色"
"CUST_VARIANT_GRADIENT": "渐变"
"CUST_SKIN_BLACK_03": "非裔 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "颧骨深度"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "Z 风鞋"
"CUST_ITEM_CF_RING_F_BIGHEART": "真爱套装"
"CUST_EYESHADOW": "眼影"
"CUSTOM_WALK_13": "痞气步伐 8"
"HAIR_SALON_HAIR_LENGTH": "头发长度"
"CUST_SKIN_HISPANIC_04": "拉美裔 4"
"PLAYER_CREATION_PRESET_ASIAN": "亚洲"
"CUST_RONIN_COMPLIMENT_C": "罗宁帮赞美 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "眉毛颜色"
"PLAYER_MORPH_EYE_STYLE_TEXT": "眼型"
"FACIAL_EXPRESSION_SCARED": "害怕"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "头顶高度"
"CUST_MENU_TOTAL_LIMIT_REACHED": "你的衣柜已达到可存放物品的数量上限。"
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "都市猎装"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "上流西装裤"
"FACIAL_EXPRESSION_QUIZZICAL": "困惑"
"PLAYER_MORPH_CHIN_TEXT": "下巴"
"CUST_ITEM_COWBOY_HAT_1": "狂野西部帽"
"CUST_VARIANT_KNIT": "针织"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "恶棍与城堡 T恤 D"
"CUSTOM_WALK_7": "痞气步伐 3"
"CUSTOM_WALK_FEMALE_02": "女性默认 2"
"CUSTOM_WALK_17": "痞气步伐 12"
"COMPONENT_DECAL_2": "贴花 2"
"CUST_VARIANT_SLEEVES": "素面"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "眼褶高度"
"LOGO_PHEASANT": "猎雉者"
"CUST_VARIANT_ULTOR2": "乌托尔 2"
"CUST_VARIANT_LARGE_STRIPES": "宽条纹"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "恶棍与城堡 T恤 C"
"CUST_MORPH_CAT_JAW": "下颌"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "拉链敞开，帽子放下"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "蒸汽朋克维多利亚靴"
"STORE_WEAPON_NAVIGATE": "浏览"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "山丘夹克配T恤"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "谋略套装"
"CUSTOM_WALK_3": "痞气步伐 2"
"CUST_ITEM_CM_UBDY_M_THEROW": "圣徒一员"
"CUST_ITEM_CM_HAIR_SHORT": "油亮高管"
"CUST_ITEM_MINER_HAT": "混战格斗面罩"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "面部深度"
"CUST_VARIANT_TWO_COLOR": "双色"
"CUST_VARIANT_LEATHERLEATHER": "漆皮"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "女式运动球衣"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "眉骨高低"
"LOGO_NUMBER1": "第一名"
"LOGO_FEEDSUCK": "喂狗去死"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "吸汗带"
"HAIR_CAT_BALD": "光头"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "都市猎装短裤"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "潮人牛仔裤"
"SURGEON_CAT_MORPHS": "塑形"
"CUST_WEAR_FINGER_LR": "左手无名指"
"CUST_TATTOO_RIGHT_SHOULDER": "右肩"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "花之力耳环"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "超重"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "头顶长度"
"PLAYER_MORPH_CAUCASIAN_TEXT": "高加索"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} 等级 {1}"
"CUSTOM_WALK_FEMALE_5": "淑女摇摆"
"CLOTHES_IMPRESS": "印象刺青"
"RIMS_AND_TRIM": "轮毂与饰件"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "帝国背包"
"FACIAL_EXPRESSION_INSANE": "疯狂"
"CUST_COMPLIMENT_KING": "王者"
"CUST_MENU_MOVEMENT": "个性"
"CANT_WEAR_BELTS": "腰带只能搭配特定裤子穿戴"
"PLAYER_CREATION_MENU_4": "发型"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "暗黑少女"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "罚球短裤"
"PLAYER_MORPH_SATURATION_TEXT": "饱和度"
"CUSTOMIZATION_TITLE": "自定义角色"
"CUST_VARIANT_CAMOUFLAGE": "迷彩"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "贴头辫"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "诚实的亚伯帽"
"CUST_SKIN_GOLD": "金色"
"COMPONENT_OPTION_8": "选项 8"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "猴子把戏"
"PLAYER_OLD_TEXT": "年老"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "下巴皱纹"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "眉骨高度"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "哥特人生裤"
"CUST_ITEM_CM_HAIR_CAESAR": "罗马式"
"CUST_FACIAL_EXP_BASHFUL": "害羞"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "坏猫咪"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "鼻孔高低"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "下唇形状"
"LOGO_SAINTSBEER": "圣徒啤酒"
"CUST_VARIANT_HEARTS": "心形"
"CUST_VOICE_ZOMBIE": "僵尸"
"CUST_SEX_APPEAL": "性感魅力"
"PLAYER_CREATION_FIGURE_SLENDER": "苗条"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "耳内"
"CUST_VARIANT_NAILS_B": "指甲 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "普通测试服"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "懒散时尚"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "鼻孔高低"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "下巴隆起"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "上唇中部大小"
"COMPONENT_ADD_TIRE_DURABILITY": "轮胎耐久"
"SLOT_FAIRINGS": "整流罩"
"LOGO_RHOMBUS": "菱形"
"CUST_VARIANT_THICK_TRI_COLOR": "粗三色"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "束缚"
"CUST_CAT_RING": "戒指"
"CUST_INSULT_JERK": "浑蛋"
"CUST_VARIANT_BEADS": "珠饰"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "浴袍"
"CUST_UNDERWEAR": "内衣"
"CUST_SKIN_ORC": "绿色兽人"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "上流"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "圣徒鸢尾耳环"
"CUST_COMPLIMENT_H": "家庭派对"
"CUST_ITEM_BIKER_HELMET": "痞子帽"
"FACIAL_EXPRESSION_ROGUISH": "不羁 "
"FACIAL_EXPRESSION_FEARFUL": "恐惧"
"CUST_BRO_TAUNT_A": "兄弟会嘲讽 1"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "抑郁独立青年"
"CUST_ITEM_CF_BOBINEYE": "眼中有球"
"FACIAL_EXPRESSION_SNEER": "嗤笑"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "健美"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "猎鹰人"
"CUST_CAT_NECKLACE": "项链"
"CUST_SKIN_GREY_4": "石魔像灰"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "下巴酒窝"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "亮紧丁字裤"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "干活裤"
"CUST_INSULT_C": "一路向西"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "鼻孔厚度"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "颧骨高低"
"CUST_VARIANT_MATERIAL_5": "材质 #5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "猩红女爵套装"
"CUST_ITEM_CF_RING_F_ROCKERSET": "重金属戒指"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "OG 裤"
"CUST_COMPLIMENT_L": "我仍相信"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "脸颊纹路"
"CUST_CAT_MAKEUP_FOREHEAD": "额头"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "钻石耳钉"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "爱2锐舞珠"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "真爱耳钉"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "虚张声势"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "面部宽度"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "派对时光手链"
"CUST_VOICE_FEMALE_BLACK": "女性 2"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "面部整体"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "下唇边缘大小"
"CLOTHES_RAG": "月经期"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "啦啦队长"
"CUST_CAT_FACE": "面部"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "你的钱不够，\n买不起“%s”。"
"CUST_SKIN_GREEN_4": "三叶草奶昔"
"CUST_MOVEMENT_FACE": "面部表情"
"CUST_RONIN_TAUNT_A": "罗宁帮嘲讽 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "颧骨大小"
"CUST_ITEM_CF_RING_F_STUDRING": "璞玉"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "蒸汽朋克时尚"
"CUST_ITEM_LPA_M_SPACE_HELMET": "星际头盔"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "上眼睑高度"
"CUST_VARIANT_MATERIAL_4GVSDF": "材质 #4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "迪斯科狂热"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "耳朵高低"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "都市乐福鞋"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "双下巴高度"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "脸颊高低"
"SLOT_GAS_TANKS": "油箱"
"SLOT_BODY_COLOR": "车身颜色"
"LOGO_UNIVERSITY_1": "斯蒂尔沃特大学 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "都市猎装直领款"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "太空公主上衣"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "双下巴"
"PLAYER_GENDER_TEXT": "体型"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "上唇宽度"
"LOGO_MURRY": "穆雷"
"CUST_INSULT_R": "去你的"
"SURGEON_CAT_PRESETS": "预设"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "钢埠英雄"
"PRESET_WARNING_BODY": "选择此预设将放弃你当前的设置。\n确定要这么做吗？"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "束缚裤"
"CUST_TATTOO_UPPER_CHEST": "上胸"
"SLOT_EXHAUST_TIPS": "排气管口"
"LOGO_CAVE_4": "幻洞 4"
"IRIDESCENT_4": "虹彩 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "蒸汽朋克少女束腰"
"CUST_MENU_FIGURE_PRESETS": "体型预设"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "战斗时尚靴"
"CUST_SKIN_RED_YELLOW_2": "胡萝卜"
"CUST_SKIN_METAL_5": "蓝宝石"
"COMPONENT_OPTION_B": "选项 B（勿用）"
"CUST_SAMEDI_COMPLIMENT_C": "萨梅迪赞美 3"
"CANCEL_WARNING_BODY": "确定要放弃你的更改吗？"
"WARDROBE_TITLE": "衣柜"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "冲刺手套"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "鼻尖深度"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "瞒天过海"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "十足野兽"
"CUST_SAMEDI_TAUNT_B": "萨梅迪嘲讽 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "下颌深度"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "鼻滚动"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "鼻孔宽度"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "上唇边缘大小"
"CUST_ITEM_FEMALE_LP_BRA_1": "蜘蛛咬痕"
"CUST_SKIN_METAL_1": "银色"
"CUST_ITEM_CF_HAIR_CORNROWS": "圣徒辫"
"PLAYER_MORPH_EAR_YAW_TEXT": "耳朵偏转"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "体育课裤"
"FACIAL_EXPRESSION_DOPEY": "呆滞 "
"CUST_WEAR_RIGHT": "右侧"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "饥渴艺术家"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "圣徒宽松裤"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "鼻梁弧度"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "该分类已达到可存放物品的数量上限。"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "派对高跟鞋"
"CUST_CAT_MAKEUP_CHEEKS": "脸颊"
"CUST_FACIAL_EXP_EMBARRASSED": "尴尬"
"PLAYER_MORPH_BROW_CURVE_TEXT": "眉骨弧度"
"PLAYER_CREATION_HAIR_LENGTH": "头发长度"
"CUST_WEAR_STUD": "耳钉"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "叛逆少年靴"
"LOGO_GYROS": "陀螺公司"
"CUST_ITEM_IMPRESSIONS_MALE_N": "印象刺青（男款 N）"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "南方佳人"
"GANG_CUST_RANDOM": "随机"
"CUST_SKIN_BLUE_2": "深海蓝我"
"CUST_COMPLIMENT_Y": "汪汪"
"PLAYER_MORPH_JAW_TEXT": "下颌"
"CAVERNS_GIFT_NAME": "洞穴探险者"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "脸颊深度"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "颧骨间距"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "鼻坡宽度"
"PLAYER_CREATION_TITLE": "创建角色"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "滑板头"
"PLAYER_MORPH_EAR_BEND_TEXT": "耳朵弯折"
"CANT_WEAR_MEDALLION": "要佩戴这枚大奖章，你需要一条长款或中长款项链。"
"STREET_1": "街头 1"
"CUST_ITEM_CM_SUIT_CARDINAL": "红衣主教长袍"
"FACIAL_EXPRESSION_DEATH_B": "死亡 2"
"FACIAL_EXPRESSION_JOYFUL": "喜悦"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "机车辣妹"
"CUST_ITEM_LPA_M_SPACEPACK": "太空背包"
"PLAYER_MORPH_FACE_AGE_TEXT": "面容年龄"
"CUST_ITEM_CF_HAIR_LONGBANGS": "埃及公主"
"FACIAL_EXPRESSION_PAIN_C": "受苦"
"CUST_BRO_COMPLIMENT_A": "兄弟会赞美 1"
"CUST_VARIANT_HAWAII": "夏威夷"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "大兔子"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "圣徒星球（男款 B）"
"CUST_ITEM_GAT_BOBBLE": "盖特摇头像"
"CUST_ITEM_6_LOOPS_RIGHT_2": "粗犷经典"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "颈后高低"
"CUST_VOICE": "嗓音"
"CUST_COLOR_TEAL_2": "蓝绿 2"
"LOGO_ADULT_SWIM": "Adult Swim WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "上城女孩"
"CUST_INSULT_CHEST": "挺胸"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "武士 "
"CUST_ITEM_CM_HAT_MOTORHELMET": "重机头盔"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "坏小子"
"CUST_MAKEUP_VARIATION": "变体"
"CUST_ITEM_LEATHER_LACE_MALE_B": "欢愉与痛苦"
"CUST_ITEM_CF_HAIR_BEEHIVE": "蜂后"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "和平烟斗凉鞋"
"CUST_WEAR_FRONT RIGHT": "前右"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "赛博空间"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "emo 板鞋"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "坏坏手套"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "坏坏时光束腰"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "鼻孔中部宽度"
"PLAYER_MORPH_HUE_TEXT": "色相"
"CUST_VARIANT_BIG_STRIPES": "粗条纹"
"CUST_VARIANT_POLO_2": "Polo 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "帮派皮上衣"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "正午帽"
"CUST_COMPLIMENT_Q": "合唱女郎"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "下眼睑弧度"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "面部整体"
"FACIAL_EXPRESSION_HAPPY": "开心 "
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "鼻坡深度"
"CUST_SKIN_CAUCASIAN_02": "高加索 2"
"CUST_TATTOO_LEFT_ARM": "整个左臂"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "狐狸精束腰"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "坏女孩高跟鞋"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "钢埠斗士手套"
"CUST_SKIN_ASIAN_03": "亚洲 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "眼睛深度"
"BRIGHT_RED": "亮红"
"FEMALE_AVERAGE": "女性标准"
"CUST_VARIANT_PRIMARY": "主色"
"CUST_COLOR_ROSE_4": "玫瑰 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "下唇中部高低"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "基础牛仔裤"
"CUST_FINGERNAILS": "指甲"
"CUST_COMPLIMENT_U": "捶胸"
"CUST_WEAR_HIGH_BOTH_ROLLED": "双侧卷起，高位"
"CUST_ITEM_IMPRESSIONS_MALE_B": "印象刺青（男款 B）"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "棉花糖背心"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "美甲"
"CUST_WEAR_TATTOO_BAND_A": "臂环 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "左侧敞开，高位"
"CUST_ITEM_TROOPER_SHADES": "好莱坞范"
"CUST_VARIANT_TIE_DYE": "扎染"
"player_lips_gloss": "唇彩"
"FACIAL_EXPRESSION_GRUMPY": "暴躁 "
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "跳投"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "皮夹克套装"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "鼻孔深度"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "艺术学校"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "鼻尖宽度"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "鸢尾花标志"
"CUST_CAT_RIGHT_WRIST": "右手腕"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "下颌宽度"
"SK02": "皮肤 02"
"CUSTOM_WALK_2": "掮客斜靠"
"MUSEUM_GIFT_NAME": "买朱庇特"
"HAIRSALON_NAME": "剪发风暴"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "恶棍与城堡 T恤 B"
"CUST_ITEM_SHORT_SOCKS": "老爹鞋"
"CUST_ITEM_BIKER_BOOTS_3": "悠闲鞋"
"CUST_TATTOO_RIGHT_LEG": "右腿"
"FACIAL_EXPRESSION_SAD": "悲伤"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "眉中高低"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "欢乐时光！丁字裤"
"PRESET_WARNING_HEADING": "警告"
"CUSTOM_WALK_MALE": "男性默认"
"PLAYER_MORPH_EYE_SPACING_TEXT": "眼距"
"Chin": "下巴"
"CUST_PRESET_SEX": "性别"
"CUST_VARIANT_STRIPESA": "条纹 1"
"CUST_SKIN_HISPANIC_01": "拉美裔 1"
"CUST_SKIN_PURPLE_5": "紫色"
"CUSTOM_WALK_16": "痞气步伐 11"
"CUST_MENU_FINE_TUNING": "面部"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "恶棍与城堡校队夹克"
"CUST_SKIN_BLACK_06": "黑人女性"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "眉骨角度"
"CUST_INSULT_N": "时尚亮相"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "鼻坡高低"
"CRAZY_1": "疯狂 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "拜金女"
"CUSTOM_WALK_FEMALE_4": "淑女掮客"
"SURGEON_CAT_BODY": "身体"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "钢埠英雄衬衫"
"CUST_COMPLIMENT_A": "独特体验"
"SURGEON_STORE_NAME_1": "天生设计"
"CUST_VARIANT_BRA_1": "圆点"
"CUST_VARIANT_WILD": "狂野"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "摇滚衬衫"
"CUST_COMPLIMENT_CC": "呜噢尖叫"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "现代敞领衬衫"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "卡巴纳墨镜"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "嘴形"
"MALE_EMACIATED": "男性骨瘦"
"LOGO_VIRAL_1": "病毒 1"
"CUST_VARIANT_2STRIPE": "双条纹"
"CUST_VARIANT_SMALL_STRIPE": "细条纹"
"CUST_VARIANT_STEEL": "钢色"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "霓虹丛林"
"PLAYER_MORPH_EYE_SIZE_TEXT": "眼睛大小"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "下唇中部大小"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "羔羊面具"
"CUST_INSULT_J": "口活"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "坏男孩衬衫"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "潮鞋"
"CUST_COMPLIMENT_E": "好兄弟"
"PLAYER_MORPH_BODY_FAT_TEXT": "肥胖度"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "颅顶高度"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "科幻风"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "恨天高"
"CUST_TATTOO_UPPER_LEG_LEFT": "左上腿"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "颅顶高低"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "迪斯科天后裤"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "束缚皮靴"
"LOGO_SKEETERS_2": "斯基特斯 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "抹胸上衣"
"CUST_VOICE_FEMALE_ASIAN": "女性 1"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "喷漆 1 与轮辋 2"
"CUST_VARIANT_ULTORSHIRT": "乌托尔"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "右侧卷起，低位"
"CUST_VARIANT_BALD": "光头"
"CUST_ITEM_CM_DECKERSUIT": "赛博帮套装"
"CUSTOM_WALK_6": "男性默认 2"
"CLOTHES_BRANDED": "品牌"
"CUST_VARIANT_SUEDESUEDE": "麂皮"
"CUST_ITEM_CM_FPIC_SETB": "右眉钉与鼻钉"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "耳朵前后位"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "偏分短发"
"CUST_OPACITY_SLIDER": "不透明度"
"CUST_MORPH_CAT_BROW": "眉骨"
"LETS_PRETEND_NAME": "假装一下"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "口袋火箭裤"
"CUST_ITEM_DANE_S_HAIR": "蝴蝶夹"
"CUST_SKIN_HISPANIC_05": "拉美裔 5"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "叛逆凉鞋"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "动漫"
"CUST_RONIN_COMPLIMENT_B": "罗宁帮赞美 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "眉弓"
"CUST_WEAR_HIGH": "高位"
"CUST_RACE_BLACK": "黑人"
"CUST_SKIN_BLACK_02": "非裔 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "下巴高低"
"CUST_SKIN_PURPLE_1": "深紫"
"CUSTOM_WALK_12": "匪帮斜靠"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "颈后深度"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "圣徒星球耳环"
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "牛仔女郎风"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "合身牛仔裤"
"CUST_COMPLIMENT_M": "忍者"
"CUST_VARIANT_STRIPES_4": "条纹 4"
"CUST_VARIANT_SOLID": "纯色"
"CUST_WEAR_BACK RIGHT": "后右"
"HAIR_COLOR_AUBURN_MATTE": "哑光赤褐"
"HAIR_COLOR_WHITE": "白色"
"CUST_VARIANT_BLOOD": "血色"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "山丘魔术师马甲"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "派对时光丁字裤"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "时尚朋克耳环"
"CUST_INSULT_B": "丹尼尔·桑"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "耳垂大小"
"CUST_CHOOSE_CHARACTER": "自定义角色"
