"CUST_ITEM_CF_HAIR_MED": "SCHULTERLANG"
"Brunette": "BRÜNETT"
"LOGO_HORSE": "PFERD"
"LOGO_SAW": "KETTENSÄGE"
"CUST_VARIANT_FLAT_TOP_DESIGN_A": "OBEN KURZ, DESIGN A"
"CUST_ITEM_CM_IMPL_UBDY_M_JSCARF": "T-ROY-STYLE"
"CUST_ITEM_FEMALE_LL_BRA_3": "HERZLICHST"
"CUST_VOICE_MALE_LATINO": "MÄNNLICH 3"
"CUST_VARIANT_GANG_CAMO": "BANDENTARNMUSTER"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "STEAMPUNK-KÄMPFER"
"PLAYER_CREATION_PRESET_MALE": "MÄNNLICH"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "Erhöhe die Magazingröße."
"CUST_COMP_MUSTACHE_26": "DER SPANIER"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "STRANDSCHÖNHEIT"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "SKANDALÖSER SAINTS-TANGA"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "BOXERSHORTS"
"STRONGHOLD_CUSTOMIZATION": "FESTUNGSANPASSUNG"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_TATTOO_LFORARM_4": "VERSTECKTE WAFFE"
"COLOR_SLOT_SOFTTOP": "SOFTTOP"
"SLOT_LIGHTS": "SCHEINWERFER"
"CUST_VARIANT_TRI_COLOR": "DREIFARBIG"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "Z-STYLE BLING"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "AUGENBRAUENRING LINKS"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "ANZUGHOSE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_E": "MACHT DER STRASSE"
"BRIGHT_PURPLE": "HELLLILA"
"LOGO_8BALL": "8 BALL"
"CUST_VARIANT_SPORT_SHORTS_1": "STIL 2"
"CUST_VARIANT_ARGYLE": "KAROMUSTER"
"CUST_TATTOO_RARM_6": "SPINNENNETZ"
"RIM_152": "LUMINATI"
"CUST_ITEM_CM_NLMA_FOOT_M_SPBOOTS": "STEAMPUNK-STIEFEL"
"CUST_ITEM_PLAIN_WHITE_TEE": "TEE-SHIRT"
"CUST_ITEM_CM_PSF_UBDY_M_SAINTSJERSEY": "TEAM SAINTS TRIKOT"
"CUST_TATTOO_TORSO_UPPER_BACK": "OBERER RÜCKEN"
"Paint": "LACK"
"LOGO_GIRL_1": "MÄDCHEN 1"
"CUST_VARIANT_10_DEFAULT": "VARIANTE 10"
"CUST_VARIANT_TIE_DYE_1": "KRAWATTENFARBE 1"
"CUST_VARIANT_CMCOA_MSUNSHINE01": "NORMAL"
"CUST_WEAR_TATTOO_AZTEC_TURTLE": "AZTEKENSCHILDKRÖTE"
"CUST_ITEM_MID_LENGTH_CHAIN_LOOPS_1": "HIP-HOP-JEANS"
"CUST_SHOES": "SCHUHE"
"CUST_TATTOO_ENTIRE_BACK": "GANZER RÜCKEN"
"PLAYER_MORPH_NOSE_SLOPE_TEXT": "NASENBOGEN"
"CUST_SKIN_CAUCASIAN_01": "KAUKASISCH 1"
"CUST_MENU_MAKEUP": "MAKEUP"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_2": "Decke einen größeren Bereich ab."
"CUST_TATTOO_STOMACH_3": "SCHILDKRÖTE"
"CUST_COMP_MUSTACHE_5": "ZAHNBÜRSTE"
"VEHICLE_COLOR_TINT_20": "20%% DECKKRAFT"
"CUST_ITEM_CF_CLASSICUP": "KLASSISCH"
"CUST_COMPLIMENT_V": "KLATSCHEN"
"PLAYER_MORPH_OLD_TEXT": "ALTER-VOREINSTELLUNGEN"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_1": "VIOLETTBLAU 1"
"LOGO_WASHINGTON": "WASHINGTON"
"CUST_GANG_ZOMBIE": "ZOMBIE"
"VEHICLE_COLOR_AMERICANA_RED": "AMERICANA-ROT"
"RIM_SET_016": "FELGENSATZ 16"
"CUST_VARIANT_PATTERN_1_DECALS": "STIL MIT AUFKLEBERN"
"CUST_FACIAL_EXP_SAINTLY": "FRIEDLICH"
"CUST_ITEM_WEAR_OPTIONS": "TRAGESTIL"
"CUST_COMP_FACE_BLOODY_FACE": "BLUTIGES GESICHT"
"LOGO": "LOGO"
"CUST_COLOR_RED_3": "ROT 3"
"CUST_ITEM_CF_IMPO_NECK_F_NECKLACE": "URBAN SAFARI KETTE"
"CUST_EYEWEAR": "BRILLEN"
"CUST_FACIAL_FEATURES": "MERKMALE"
"TATTOO_NAME": "RUSTY'S NEEDLE"
"CUST_TATTOO_RARM_2": "TODESBOTE"
"VEHICLE_PAINT_EXOTIC": "EXOTISCH"
"RIM_156": "LX-19"
"SLOT_DECAL_8": "AUFKLEBER 8"
"SLOT_MISCELLANEOUS": "VERSCHIEDENES"
"CUST_VARIANT_FADE": "VERBLASST"
"CUST_ITEM_CM_IMPB_UBDY_M_LOWSHIRT": "KASCHMIR-V-KRAGEN-PULLI"
"CUST_ITEM_CF_LLI_EYES_F_SUNGLASSES": "SONNENBRILLE"
"CUST_ITEM_CM_HAIR_WILDMESSY2": "HARD ROCK"
"CUST_ITEM_CF_PSE_FOOT_F_STRAPPYSANDLES": "STRIPPER-SANDALEN"
"CUST_SKIN_ASIAN_04": "ASIATISCH 4"
"CUST_EYELINER": "EYELINER"
"CUST_MORPH_CAT_EYES": "AUGEN"
"CUST_COLOR_CLOTHING_BLUES_8": "BLAU 8"
"SLOT_DOORS": "TÜREN"
"LOGO_BALANCE_1": "BALANCE 1"
"CUST_ITEM_LEATHER_LACE_MALE_A": "LEATHER AND LACE ANZUG"
"CUST_ITEM_CM_NLMD_UBDY_M_JACKETCOMBO": "PUNK-ANARCHIE-JACKE"
"PLAYER_MORPH_EYE_HEIGHT_TEXT": "AUGENHÖHE"
"SLOT_TORQUE": "DREHMOMENT"
"LOGO_SCORPION": "SKORPION"
"CUST_VARIANT_THICK_STRIPES": "DICKE STREIFEN"
"CUST_VARIANT_PLAID_BIG": "KARIERT 2"
"CUST_ITEM_CM_JOY_UBDY_THECODE": "JOYSTICK JUNKIES CODE CONTROL"
"CUST_ITEM_CF_LPC_LBDY_F_FEMHEROLEGS": "HELDINNEN-VON-STEELPORT-LEGGINGS"
"CUST_SKIN_CAUCASIAN_05": "KAUKASISCH 5"
"EXIT": "VERLASSEN"
"BRIGHT_BLUE-GREEN": "HELLBLAUGRÜN"
"CUST_VARIANT_LETTERMANSTYLE": "STIL 1"
"CUST_VARIANT_CMUNS_UTSHIRT04_U": "STIL 2"
"CUST_ITEM_CM_RADIATIONMASK": "NUKLEARE-KERNSCHMELZE-MASKE"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEDOWN": "KIFFER-KAPUZENPULLI, KAPUZE ABGESETZT"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_5": "VIOLETTBLAU 5"
"SLOT_CHASSIS": "CHASSIS"
"CUST_VARIANT_MATERIAL__1": "CUST_VARIANT_MATERIAL_#1"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_UNZIPPED": "RECHTS OFFEN, TIEF"
"CUST_ITEM_IMPRESSIONS_MALE_E": "SAFARI TOUR GUIDE"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRTTIE": "HERAUSGEPUTZT"
"CUST_ITEM_CF_HAIR_PUNKSHAVEDSIDES": "PUNK ROCK"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEUP": "KAPUZENPULLI MIT T-SHIRT UND KRAWATTE"
"CUST_CAT_BODY_HAIR": "KÖRPERBEHAARUNG"
"CUST_COMPLIMENT_ZZ": "NICKEN"
"PLAYER_MORPH_TIPS_SPACING_TEXT": "SPITZENABSTAND"
"CUST_COLOR_CLOTHING_GREENS_9": "GRÜN 9"
"CUST_TATTOO_STOMACH_7": "ASS DES TODES"
"CUST_COMP_MUSTACHE_1": "CHEVRON"
"RIM_202": "RBP R96 CUSTOM PURPLE"
"LOGO_ROUNDHOUSE": "RUNDHAUS"
"LOGO_REAPER": "SENSENMANN"
"CUST_COMPLIMENT_R": "DISKOFIEBER"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_4": "Fernsteuere Militärfahrzeuge."
"VEHICLE_PAINT_PEARLESCENT_PAINT": "PERLMUTTLACK"
"HAIR_COLOR_BLONDE_MATTE": "MATTBLOND"
"CUST_COLOR_ROSE_3": "ROSE 3"
"LOGO_NUMBER11": "NUMMER 11"
"CUST_ITEM_CM_LPG_MASK_M_MASKPIG": "SCHWEINEMASKE"
"CUST_CAT_PIERCING_NOSE": "NASE"
"PLAYER_MORPH_UPPER_LIP_SHAPE_TEXT": "OBERLIPPENFORM"
"CUST_VOICE_FEMALE_LATINO": "WEIBLICH 3"
"CUST_COMP_EYES_PALE_BLUE": "BLASSBLAU"
"RIM_SET_012": "FELGENSATZ 12"
"CUST_VARIANT_STOCKINGS_1": "EINFARBIG"
"CUST_VARIANT_3COLOR_THICK": "DREIFARBIG, DICK"
"CUST_WEAR_UNTUCKED": "HERAUSHÄNGEND"
"CUST_ITEM_CM_PSI_NECK_M_CHAINS": "FLEUR-KETTE"
"SLOT_FUZZY_DICE": "WÜRFEL"
"CUST_WEAR_BOTH_ROLLED_LOW": "BEIDE HOCHGEKREMPELT, TIEF"
"CUST_ITEM_CF_IMPR_LBDY_F_PANTS": "HILLS HOSE"
"CUST_ITEM_LEATHER_LACE_FEMALE_I": "PUNK-ROCK-STRIPPER"
"PLAYER_MORPH_JOWLS_SPACING_TEXT": "KIEFERABSTAND"
"CUST_COLOR_CLOTHING_VIOLET_3": "VIOLETT 3"
"CUST_ITEM_CM_DLC_HAND_M_GPGLOVES": "GENKI-HANDSCHUHE"
"CUST_CAT_UPPER_BODY": "OBERKÖRPER"
"CUST_BRO_COMPLIMENT_B": "BRUDERSCHAFT-KOMLIMENT 2"
"PLAYER_CREATION_AGE_YOUNG": "JUNG"
"PLAYER_MORPH_TIPS_ELEVATION_TEXT": "SPITZENHÖHE"
"PLAYER_CREATION_PRESET_HISPANIC": "LATINO"
"VEHICLE_COLOR_SLOW_BURN_RED": "FEUERROT"
"CUST_VARIANT_PEACE": "FRIEDEN"
"CUST_WEAR_ZIPPED_HOOD_DOWN": "GESCHLOSSEN, KAPUZE UNTEN"
"CUST_ITEM_CF_RING_F_SHARKTOOTH": "HAIBISSRING"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR2": "BONDAGE-ANZUG"
"FACIAL_EXPRESSION_DEATH_A": "TODESKAMPF 1"
"CUST_ITEM_CF_IMPO_FOOT_M_PLTFRMS": "URBAN SAFARI-PLATTFORMSOHLEN"
"CUST_ITEM_CF_NLMH_FOOT_F_SHAGBOOTSM": "RAVER-FELLSTIEFEL"
"CUST_ITEM_CF_PSB_HAT_F_BASTILLECAP": "DICHTERHUT"
"FACIAL_EXPRESSION_BLANK": "AUSDRUCKSLOS"
"PLAYER_MORPH_NOSE_ELEVATION_TEXT": "NASENHÖHE"
"CUST_COMP_MUSTACHE_22": "KINNSTREIFEN"
"VEHICLE_COLOR_RUST_BROWN": "ROSTBRAUN"
"SLOT_REAR_MODS": "HINTERE TUNINGS"
"CUST_COLOR_TEAL_1": "SAND 1"
"CUST_VARIANT_SQUARES": "QUADRATE"
"CUST_WEAR_TUCKED_ZIPPED": "IN HOSE, GESCHLOSSEN"
"CUST_ITEM_CM_PSC_FOOT_M_SNEAKERS": "HI-TOPS"
"PLAYER_MORPH_TEMPLE_WIDTH_TEXT": "SCHLÄFENBREITE"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_2": "Erhöhe die Munitionskapazität. Granaten bleiben an ihrem Ziel haften."
"CUST_GANG_GIMP": "GIMP"
"CUST_ITEM_CM_DLC_HAT_M_KNIGHT": "RITTERHELM"
"CUST_ITEM_CM_NLME_EYES_M_SUNGLASSES": "NETWORK SONNENBRILLE"
"PLAYER_MORPH_MOUTH_EDGES_TEXT": "MUNDWINKEL"
"COLOR_SLOT_TRIM_3": "ZIERSTREIFEN 3"
"LOGO_FLOWERS": "BLUMEN"
"COMPONENT_PAINT_1": "LACK 1"
"CUST_WEAR_LOW": "TIEF"
"CUST_ITEM_CF_LLR_NECK_F_IVORYCHOKER": "VERFÜHRERISCHES HALSBAND"
"CUST_CAT_HAIR_EYEBROWS": "AUGENBRAUEN"
"CUST_EXIT_WARNING_TITLE": "WARNUNG"
"PLAYER_CREATION_FIGURE_ATHLETIC": "ATHLETISCH"
"LOGO_SIZZURP": "Sizzurp 101.69"
"CUST_ITEM_CM_PSI_HAT_M_SRCAP": "SAINTS-KÄPPI"
"PLAYER_MORPH_NOSE_TIP_TEXT": "NASENSPITZE"
"VEHICLE_COLOR_TEAL_DARK_TINT": "DUNKELSEEGRÜN GETÖNT"
"CUST_COLOR_GRAY_1": "GRAU 1"
"VCUST_UNDERGLOW_COLOR": "UNTERBODENLICHTFARBE"
"CUST_GANG_NUDE": "NACKT"
"CUST_COLOR_CLOTHING_RED-ORANGE_6": "ROTORANGE 6"
"COLOR_SLOT_TINT": "TÖNUNG"
"CUST_VARIANT_TRENCH": "EINFARBIG"
"CUST_ITEM_LEATHER_LACE_MALE_I": "VERKEHRSROWDY"
"CUST_ITEM_CM_HAT_CARDINAL_HAT": "KARDINALSHUT"
"CUST_MENU_LOGO_COLOR": "LOGOFARBE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_6": "BLAUGRÜN 6"
"CUST_COMP_EYES_BLACK": "SCHWARZ"
"SLOT_HEADLIGHTS": "ABBLENDLICHTER"
"CUST_VARIANT_MATERIAL_15": "CUST_VARIANT_MATERIAL#15"
"CUST_ITEM_CM_LPC_FOOT_M_HEROBOOTS": "HELD-VON-STEELPORT-STIEFEL"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_2": "Erhöhe Schussfrequenz, Magazingröße und Schaden. Ein Leuchtpunktvisier verbessert die Zielgenauigkeit."
"CUST_VARIANT_JEANS": "NORMAL"
"CUST_VARIANT_STRIPE_2": "LÄNGSSTREIFEN"
"CUST_WEAR_LOW_BOTH_ZIPPED": "TIEF"
"CUST_ITEM_IMPRESSIONS_MALE_M": "SOUTH BEACH"
"CUST_ITEM_CM_HATHAIR_PULLEDPONYTAIL": ""
"NOBODY_LOVE_NAME": "NOBODY LOVES ME"
"CUST_COLOR_CLOTHING_GREENS_1": "GRÜN 1"
"CUST_COMP_FACE_SCAR_5": "KLEINE NARBE 1"
"CUST_COMP_MUSTACHE_9": "INSPEKTOR"
"FEMALE_SLENDER": "WEIBLICH, SCHLANK"
"CUST_VARIANT_FLAT_TOP_SHORT_SIDES": "OBEN KURZ, KURZE SEITEN"
"CUST_ITEM_CF_RING_F_LDYBUG_SPIDER": "KRABBLERRINGE"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2D": "URBAN SAFARI JACKE MIT ROLLKRAGENPULLI"
"CUST_SKIN_BLUE_1": "NACHTBLAU"
"CUST_COMPLIMENT_Z": "DAUMEN HOCH"
"IRIDESCENT_3": "IRISIEREND 3"
"DARK_YELLOW": "DUNKELGELB"
"PLAYER_MORPH_EARS_ROLL_TEXT": "OHRNEIGUNG"
"PLAYER_MORPH_LIP_NOTCH_TEXT": "AMORBOGEN"
"PLAYER_MORPH_JOWLS_TEXT": "UNTERKIEFER"
"CUST_COLOR_CLOTHING_RED_3": "ROT 3"
"RIM_190": "C-X 504 GREEN-BLACK"
"LOGO_CAVE_3": "PHANTOMHÖHLE 3"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_SUSPENDERS": "Sehr hohe Hose, Hosenträger"
"CUST_BODY_MASK": "KÖRPERMASKE"
"CUST_COLOR_CLOTHING_YELLOWS_8": "GELB 8"
"CUST_TATTOO_RUPPARM_8": "HI HAI"
"COLOR_SLOT_RIMS_2": "FELGEN 1"
"SLOT_WEAPONS": "WAFFEN"
"CUST_COLOR_ORANGE_3": "ORANGE 3"
"CUST_WEAR_TATTOO_SAM_DESIGN1": "SAM-DESIGN 1"
"CUST_WEAR_BUTTONED_HOOD_UP": "GEKNÖPFT, KAPUZE AUF"
"CUST_ITEM_ZIMOS_BLING_PACK": "Z STYLE"
"CUST_COLOR_STRAWBERRY_BLONDE": "ROTBLOND"
"LOGO_FRECKLE_1": "FRECKLE BITCHS 1"
"CUST_VARIANT_JERSEY": "STIL 1"
"CUST_ITEM_CF_DLC_SPACE_HAND_F_GLOVES": "WELTRAUMPRINZESSINNEN-HANDSCHUHE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHRTBTTNS": "MOD MÄNNLICH"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_D": "LETS PRETEND HERREN D"
"CUST_CAT_HAIR_FACIAL": "GESICHTSBEHAARUNG"
"CUST_SAMEDI_TAUNT_A": "SAMEDI-SPOTTGESTE 1"
"SLOT_HYDRAULICS": "HYDRAULIK"
"HAIR_COLOR_STRAWBERRY_BLONDE_MATTE": "MATTROTBLOND"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBODOWN": "FAULER-SACK-KAPUZENPULLI"
"CUST_INSULT_HOOK": "RECHTE FAUST"
"CUST_MENU_HAIR": "HAARE"
"CUST_COMP_EYES_GREEN": "GRÜN"
"CUST_TATTOO_LFORARM_8": "GESTUTZTER FLÜGEL"
"COMPONENT_OPTION_E": "OPTION E"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_I": "HIP-HOP-LEGENDE"
"CUST_CAT_MAKEUP_AROUND_EYES": "UM DIE AUGEN"
"CUST_SAMEDI_COMPLIMENT_D": "SAMEDI-KOMLIMENT 4"
"VEHICLE_COLOR_CAST_IRON": "GUSSEISEN"
"CUST_ITEM_IMPRESSIONS_FEMALE_Q": "DIE FALSCHEN 80ER"
"CUST_ITEM_FEMALE_LP_BRA_2": "WAHRLICH GIFTIG"
"CUST_SKIN_RED_YELLOW_5": "KRÄNKLICHES GELB"
"CUST_SKIN_METAL_2": "QUECKSILBER"
"CUST_COMP_FACE_MAKEUP_11": "ZIELSCHEIBE"
"LOGO_HHH": "HAARHELMHÜTE"
"CUST_VARIANT_BLURRY": "VERWASCHEN"
"CUST_WEAR_OPEN": "OFFEN"
"CUST_ITEM_CM_DLC_M_GLASSES01": "Z-STYLE BRILLE"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_H": "GANGSTER-BRAUT"
"CUST_CAT_LEFT_HAND": "LINKE HAND"
"PLAYER_MORPH_EYEBALLS_ELEVATION_TEXT": "AUGAPFELHÖHE"
"PLAYER_MORPH_CHEEK_WIDTH_TEXT": "WANGENWEITE"
"CUST_COLOR_CLOTHING_RED_7": "ROT 7"
"RIM_194": "AF1 MONOBLOCK CX 502"
"SLOT_WINDOW_GUARD": "FENSTERSCHUTZ"
"CUST_VARIANT_MATERIAL_#172": "NORMAL"
"CUST_COMP_FACE_WART_2": "WARZE 2"
"SLOT_MISC_COLOR": "Versch. Farben"
"CUST_VARIANT_FOREST_CAMO": "WALDTARNMUSTER"
"CUST_ITEM_FEMALE_LP_EARRINGS_4": "ALIEN-OHRRINGE"
"CUST_ITEM_CM_PSJ_UBDY_M_BDSHIRTVEST": "SWEATER-WESTE MIT HEMD"
"CUST_ITEM_THREE_QUARTER_T_SHIRT": "GEDREHTE ZINGZINGS"
"CUST_ITEM_LEFT_UPPER_ARM_GEISHA_02": "KNOCKOUT-BANDAGE"
"STORE_WEAPON_OWNED": "IN BESITZ"
"CUST_COMP_EYES_YELLOW": "GELB"
"CUST_VARIANT_CMCOA_UCOPVEST1": "POLIZEI"
"CUST_VARIANT_FLOWERS": "BLUMEN"
"CUST_WEAR_BACK LEFT": "HINTEN LINKS"
"VEHICLE_COLOR_PINK_DARK_TINT": "DUNKELROSA GETÖNT"
"COLOR_SLOT_PAINT_1": "LACK 1"
"COLOR_SLOT_INTERIOR_1": "INNENAUSSTATTUNG 1"
"COMPONENT_OPTION_A": "OPTION A"
"CUST_NO_ITEMS": "KEIN LOGO"
"LOGO_VOLITION_3": "VOLITION 3"
"CUST_PRIMARY_COLOR": "HAUPTFARBE"
"PLAYER_MORPH_SKULL_SIZE_TEXT": "SCHÄDELGRÖSSE"
"PLAYER_MORPH_LOWER_LIP_NOTCH_TEXT": "UNTERLIPPENKERBE"
"OPTION_40": "OPTION 40"
"RIM_131": "R131"
"CUST_ITEM_CM_NLMC_UBDY_M_SHIRTCOMBO": "RAVE X KANDY KONSTRUKTION"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPUP": "DAMEN-TRAININGSJACKE MIT AUFGESETZTER KAPUZE"
"CUST_ITEM_WORKER_BOOTS": "BAD-GIRL-STIEFEL"
"CUST_ITEM_PARACHUTE_BACKPACK": "ANIME-MIEZE"
"CUST_TATTOO_HEAD": "KOPF"
"PLAYER_MORPH_LOWER_LIP_SIDES_SIZE_TEXT": "UNTERLIPPENSEITENGRÖSSE"
"CUST_VARIANT_FLOWER": "GEBLÜMT"
"CUST_SKIN_RED_YELLOW_1": "TEUFELSROT"
"VEHICLE_COLOR_STEEL": "STAHL"
"CUST_VARIANT_STRIPES_BIG": "GROSSE STREIFEN"
"CUST_VARIANT_BAGGAGE": "GEPÄCK"
"CUST_ITEM_CM_PSF_UBDY_M_JERSEY23": "FREIWURF-JERSEY HERREN"
"VEHICLE_PAINT_SPECIAL_PLASTIC": "SPEZIALKUNSTSTOFF"
"SLOT_FENDER_SKIRT": "KOTFLÜGELSCHÜRZE"
"SLOT_DASH": "ARMATURENBRETT"
"CUST_VARIANT_CMBOT_WSLACKME01": "EINFARBIG"
"CUST_VARIANT_PLAID_SMALL": "KARIERT 1"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-UP": "DAUNENMANTEL"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_SIZE_TEXT": "UNTERLIPPENMITTELGRÖSSE"
"CUST_COLOR_CLOTHING_BLUES_4": "BLAU 4"
"CUST_COLOR_CLOTHING_RED-ORANGE_2": "ROTORANGE 2"
"VEHICLE_COLOR_TRUMPET_YELLOW": "TROMPETENGELB"
"CUST_VARIANT_TRACK_A": "STIL 4"
"CUST_VARIANT_TRIANGLE": "DREIECK"
"CUST_VARIANT_POLICE_CHIEF": "CHEFABZEICHEN"
"CUST_ITEM_CM_NECK_ROPECHAIN": "SEILKETTE"
"CUST_ITEM_CM_LPE_HAND_M_GLOVESCOMB": "ZUKUNFTSSOLDATENHANDSCHUHE"
"VEHICLE_COLOR_TOBIAS_FUR_WHITE": "HELLES WEISSBEIGE"
"SLOT_DECAL_4": "AUFKLEBER 4"
"CUST_VARIANT_PIMPCOAT_COAT": "UNI"
"CUST_ITEM_CM_DLC_HEAD_M_SHARKHAT": "HAIBISSHUT"
"FACIAL_EXPRESSION_DISGUSTED": "ANGEEKELT"
"VEHICLE_COLOR_TANGERINE_ORANGE": "MANDARINE"
"CUST_VARIANT_FLAME": "FLAMME"
"CUST_WEAR_BOTH_ROLLED_UP": "BEIDE HOCHGEKREMPELT"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2C": "URBAN SAFARI 3/4 T-SHIRT"
"CUST_ITEM_CM_LPG_MASK_M_MASKDOG": "HUNDEMASKE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_2": "BLAUGRÜN 2"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_4": "Granaten bleiben an allem haften, was sie treffen."
"VEHICLE_COLOR_SLATE_GRAY": "SCHIEFERBLAUGRAU"
"VEHICLE_COLOR_KHAKI_GREEN": "KHAKI-GRÜN"
"VEHICLE_COLOR_HOT_PINK": "HOT PINK"
"CUST_VARIANT_CLOUDS": "WOLKEN"
"CUST_ITEM_CM_RADIATIONSUIT": "FEUER UND FLAMME"
"CUST_ITEM_CF_LPH_UBDY_F_CLSWEATER": "CHEERLEADER-SWEATER"
"CUST_ITEM_CM_LPH_NECK_M_PIRATENECKLACE": "PIRATENKETTE"
"CUST_INSULT_Q": "MITTELFINGER"
"CUST_COLOR_CLOTHING_GREENS_5": "GRÜN 5"
"CUST_COMP_FACE_SCAR_1": "GROSSE NARBE 1"
"CUST_COMP_MALE_EYEBROWS": "NATÜRLICH MÄNNLICH"
"SLOT_LICENSE_PLATE": "NUMMERNSCHILD"
"LOGO_UNIVERSITY_2": "STILWATER U 2"
"CUST_CAT_HAIR_HEAD": "KOPF"
"CUST_SKIN_BLUE_5": "GEFRORENES BLAU"
"PLAYER_MORPH_OUTER_BROW_ELEVATION_TEXT": "ÄUSSERE BRAUENHÖHE"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_9": "VIOLETTBLAU 9"
"VEHICLE_PAINT_GANG_SOS": "SÖHNE VON SAMEDI"
"CUST_VARIANT_SHIRT_A": "STIL 1"
"CUST_ITEM_CM_LLO_FOOT_M_LTHRBOOTS": "POCKET ROCKET-STIEFEL"
"CUST_ITEM_CF_LPE_HAT_F_MHELMET": "KAMPFHELM"
"CUST_INSULT_E": "GRUNDSCHULE"
"CUST_BODY": "KÖRPERBAU"
"PLAYER_MORPH_NOSE_TEXT": "NASE"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_4": "Brandgeschosse sorgen für heiße Stimmung. Das Laservisier verbessert die Zielgenauigkeit beim Schießen aus der Hüfte."
"CUST_COMP_FINGERNAILS_L": "LACKIERTE NÄGEL"
"CUST_TATTOO_RCALF_6": "TEUFELIN"
"CUST_TATTOO_LARM_1": "DÄMON SAINT"
"CUST_TATTOO_LUPPARM_3": "MANN IN DER SONNE"
"CUST_COMP_FEMALE_EYEBROWS_1": "SUPERDÜNN"
"CUST_VARIANT_FLAME_2": "FLAMME 2"
"CUST_VARIANT_CHECKERS": "KARIERT"
"CUST_VARIANT_CMSHO_UUTIBOOT03": "LEDER"
"CUST_VARIANT_STRIPES_3": "STREIFEN 3"
"CUST_TATTOO_UPPER_LEG_RIGHT": "RECHTER OBERSCHENKEL"
"CUST_TATTOO_ENTIRE_ARM_LEFT": "GANZER LINKER ARM"
"LOGO_TUX": "TUXEDO"
"CUST_VARIANT_RIVET": "NIETEN"
"CUST_VARIANT_MATERIAL_3": "CUST_VARIANT_MATERIAL#3"
"CUST_ITEM_FEMALE_PS_EARRINGS_3": "GROSSE OHRREIFEN"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_H": "CHEERLEADER-KAPITÄN"
"CUST_COMPLIMENT_J": "JENKINS"
"PLAYER_MORPH_EARS_WIDTH_TEXT": "OHRBREITE"
"PLAYER_MORPH_EYES_TEXT": "AUGEN"
"CUST_COMP_EYE_MAKEUP_9": "WEICHER LIDSTRICH"
"VEHICLE_COLOR_ALLOY": "LEGIERUNG"
"VEHICLE_COLOR_FURIOUS_ORANGE": "WILD-ORANGE"
"RIM_182": "SD WGM TB"
"LOGO_GHOST_2": "GEIST 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ROLLED": "L. offen, r. hochgekrempelt, hoch"
"PRESET_WARNING_BODY2": "Alle vorgenommenen Änderungen gehen verloren.\nDiese Aktion kann nicht rückgängig gemacht werden.\n\nFortfahren?"
"CUST_COLOR_GRAY": "GRAU"
"PLAYER_MORPH_LOWER_LID_SLANT_TEXT": "OBERLIEDAUFSCHLAG"
"CUST_TATTOO_RFORARM_3": "SCHLANGE"
"CUST_COMP_FACE_BLOODY_SMEAR": "BLUTVERSCHMIERT"
"CUST_COMP_FACE_MOLE_2": "LEBERFLECK 2"
"VEHICLE_COLOR_PINK_SALMON": "LACHSROSA"
