"CUST_ITEM_CF_HAIR_MED": "MI-LONGS"
"CUST_WEAR_RIGHT_ROLLED_LOW": "REVERS DROITE, BAS"
"CUST_ITEM_CM_SUIT_M_CYBERAVATAR": "CYBER SAINT"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_H": "MAÎTRE DES MERS"
"CUST_BODY_HAIR": "PILOSITÉ CORPORELLE"
"CUST_COLOR_CLOTHING_YELLOWS_4": "JAUNE 4"
"CUST_TATTOO_RUPPARM_4": "GAT EN 8-BIT"
"SLOT_TRIM_COLOR": "COULEUR GARNITURE"
"CUST_ITEM_CF_NLMB_LWRST_F_WRISTBAND": "BRACELET ANARCHISTE"
"Brunette": "BRUN"
"LOGO_HORSE": "CHEVAL"
"LOGO_SAW": "TRONÇONNEUSE"
"CUST_VARIANT_FLAT_TOP_DESIGN_A": "BROSSE PLATE, TYPE A"
"CUST_ITEM_CM_IMPL_UBDY_M_JSCARF": "STYLE T-ROY"
"CUST_ITEM_FEMALE_LL_BRA_3": "DROIT AU COEUR"
"CUST_VOICE_MALE_LATINO": "HOMME 3"
"CUST_VARIANT_GANG_CAMO": "CAMOUFLAGE GANG"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "BOXEUR STEAMPUNK"
"PLAYER_CREATION_PRESET_MALE": "HOMME"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "Augmente la capacité de tes chargeurs."
"CUST_COMP_MUSTACHE_26": "ESPAGNOLE"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "RELAX PLAGE"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "CULOTTE DES SAINTS SCANDALEUSE"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "SAUT DU LIT"
"STRONGHOLD_CUSTOMIZATION": "PERSONNALISATION DE BASTION"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_TATTOO_LFORARM_4": "ARME DISSIMULÉE"
"COLOR_SLOT_SOFTTOP": "SOFT-TOP"
"SLOT_LIGHTS": "PHARES"
"CUST_VARIANT_TRI_COLOR": "TRICOLORE"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "BLING STYLE Z"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "ANNEAU AU SOURCIL (GAUCHE)"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "PANTALON CRIARD"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_E": "RAT DES RUES"
"BRIGHT_PURPLE": "VIOLET CLAIR"
"LOGO_8BALL": "8 BALL"
"CUST_VARIANT_SPORT_SHORTS_1": "STYLE 2"
"CUST_VARIANT_ARGYLE": "LOSANGES"
"CUST_TATTOO_RARM_6": "PRIS DANS LA TOILE"
"RIM_152": "LUMINATI"
"CUST_ITEM_CM_NLMA_FOOT_M_SPBOOTS": "BOTTES STEAMPUNK"
"CUST_ITEM_PLAIN_WHITE_TEE": "T-SHIRT"
"CUST_ITEM_CM_PSF_UBDY_M_SAINTSJERSEY": "MAILLOT D'ÉQUIPE SAINTS"
"CUST_TATTOO_TORSO_UPPER_BACK": "HAUT DU DOS"
"Paint": "PEINTURE"
"LOGO_GIRL_1": "FILLE 1"
"CUST_VARIANT_10_DEFAULT": "VARIANTE 10"
"CUST_VARIANT_TIE_DYE_1": "TEINTURE FROISSÉE 1"
"CUST_VARIANT_CMCOA_MSUNSHINE01": "NORMAL"
"CUST_WEAR_TATTOO_AZTEC_TURTLE": "TORTUE AZTÈQUE"
"CUST_ITEM_MID_LENGTH_CHAIN_LOOPS_1": "JEAN HIP-HOP"
"CUST_SHOES": "CHAUSSURES"
"CUST_TATTOO_ENTIRE_BACK": "DOS COMPLET"
"PLAYER_MORPH_NOSE_SLOPE_TEXT": "DOS DU NEZ"
"CUST_SKIN_CAUCASIAN_01": "CAUCASIEN 1"
"CUST_MENU_MAKEUP": "MAQUILLAGE"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_2": "Touche une plus grande surface."
"CUST_TATTOO_STOMACH_3": "RADEAU NATUREL"
"CUST_COMP_MUSTACHE_5": "BROSSE À DENTS"
"VEHICLE_COLOR_TINT_20": "TEINTE 20%%"
"CUST_ITEM_CF_CLASSICUP": "DÉBUTANTE"
"CUST_COMPLIMENT_V": "FRAPPER DES MAINS"
"PLAYER_MORPH_OLD_TEXT": "PRÉRÉGLAGES D'ÂGE"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_1": "VIOLET-BLEU 1"
"LOGO_WASHINGTON": "WASHINGTON"
"CUST_GANG_ZOMBIE": "ZOMBIE"
"VEHICLE_COLOR_AMERICANA_RED": "ROUGE AMERICANA"
"RIM_SET_016": "PACK JANTES 16"
"CUST_VARIANT_PATTERN_1_DECALS": "STYLE AVEC IMPRIMÉS"
"CUST_FACIAL_EXP_SAINTLY": "SAINT"
"CUST_ITEM_WEAR_OPTIONS": "STYLE VESTIMENTAIRE"
"CUST_COMP_FACE_BLOODY_FACE": "BATTU(E)"
"LOGO": "LOGO"
"CUST_COLOR_RED_3": "ROUGE 3"
"CUST_ITEM_CF_IMPO_NECK_F_NECKLACE": "COLLIER \"SAFARI URBAIN\""
"CUST_EYEWEAR": "LUNETTES"
"CUST_FACIAL_FEATURES": "TRAITS"
"TATTOO_NAME": "RUSTY'S NEEDLE"
"CUST_TATTOO_RARM_2": "PORTEUR DE LA MORT"
"VEHICLE_PAINT_EXOTIC": "EXOTIQUE"
"RIM_156": "LX-19"
"SLOT_DECAL_8": "STICKER 8"
"SLOT_MISCELLANEOUS": "DIVERS"
"CUST_VARIANT_FADE": "DÉLAVÉ"
"CUST_ITEM_CM_IMPB_UBDY_M_LOWSHIRT": "PULL COL V AJUSTÉ EN CACHEMIRE"
"CUST_ITEM_CF_LLI_EYES_F_SUNGLASSES": "LUNETTES DE SOLEIL DE PERVERS"
"CUST_ITEM_CM_HAIR_WILDMESSY2": "HARD ROCK"
"CUST_ITEM_CF_PSE_FOOT_F_STRAPPYSANDLES": "TALONS DE POLE DANCING"
"CUST_SKIN_ASIAN_04": "ASIATIQUE 4"
"CUST_EYELINER": "EYE-LINER"
"CUST_MORPH_CAT_EYES": "YEUX"
"CUST_COLOR_CLOTHING_BLUES_8": "BLEU 8"
"SLOT_DOORS": "PORTIÈRES"
"LOGO_BALANCE_1": "BALANCE 1"
"CUST_ITEM_LEATHER_LACE_MALE_A": "HABIT CUIR ET SANGLES"
"CUST_ITEM_CM_NLMD_UBDY_M_JACKETCOMBO": "VESTE \"ANARCHIE PUNK\""
"PLAYER_MORPH_EYE_HEIGHT_TEXT": "HAUTEUR DES YEUX"
"SLOT_TORQUE": "COUPLE"
"LOGO_SCORPION": "SCORPION"
"CUST_VARIANT_THICK_STRIPES": "GROSSES BANDES"
"CUST_VARIANT_PLAID_BIG": "ÉCOSSAIS 2"
"CUST_ITEM_CM_JOY_UBDY_THECODE": "JOYSTICK JUNKIES \"CODE CONTROL\""
"CUST_ITEM_CF_LPC_LBDY_F_FEMHEROLEGS": "COLLANTS D'HÉROÏNE DE STEELPORT"
"CUST_SKIN_CAUCASIAN_05": "CAUCASIEN 5"
"EXIT": "QUITTER"
"BRIGHT_BLUE-GREEN": "BLEU-VERT CLAIR"
"CUST_VARIANT_LETTERMANSTYLE": "STYLE 1"
"CUST_VARIANT_CMUNS_UTSHIRT04_U": "STYLE 2"
"CUST_ITEM_CM_RADIATIONMASK": "MASQUE DE FUSION NUCLÉAIRE"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEDOWN": "SWEAT DE KIFFEUSE"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_5": "VIOLET-BLEU 5"
"SLOT_CHASSIS": "CHÂSSIS"
"CUST_VARIANT_MATERIAL__1": "CUST_VARIANT_MATERIAL_#1"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_UNZIPPED": "OUVERT DROITE, BAS"
"CUST_ITEM_IMPRESSIONS_MALE_E": "GUIDE DE SAFARI"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRTTIE": "BIEN MIS"
"CUST_ITEM_CF_HAIR_PUNKSHAVEDSIDES": "PUNK ROCK"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEUP": "SWEAT À CAPUCHE ET CRAVATE"
"CUST_CAT_BODY_HAIR": "PILOSITÉ CORPORELLE"
"CUST_COMPLIMENT_ZZ": "SIGNE DE TÊTE"
"PLAYER_MORPH_TIPS_SPACING_TEXT": "ESPACEMENT DES POINTES"
"CUST_COLOR_CLOTHING_GREENS_9": "VERT 9"
"CUST_TATTOO_STOMACH_7": "AS DE LA MORT"
"CUST_COMP_MUSTACHE_1": "CHEVRON"
"RIM_202": "RBP R96 CUSTOM PURPLE"
"LOGO_ROUNDHOUSE": "ROUNDHOUSE"
"LOGO_REAPER": "FAUCHEUSE"
"CUST_COMPLIMENT_R": "LA FEMME PARFAITE"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_4": "Contrôle les véhicules militaires."
"VEHICLE_PAINT_PEARLESCENT_PAINT": "PEINTURE PERLÉE"
"HAIR_COLOR_BLONDE_MATTE": "BLOND MAT"
"CUST_COLOR_ROSE_3": "ROSE 3"
"LOGO_NUMBER11": "NUMÉRO 11"
"CUST_ITEM_CM_LPG_MASK_M_MASKPIG": "TÊTE DE COCHON"
"CUST_CAT_PIERCING_NOSE": "NEZ"
"PLAYER_MORPH_UPPER_LIP_SHAPE_TEXT": "FORME DE LA LÈVRE SUPÉRIEURE"
"CUST_VOICE_FEMALE_LATINO": "FEMME 3"
"CUST_COMP_EYES_PALE_BLUE": "BLEU CLAIR"
"RIM_SET_012": "PACK JANTES 12"
"CUST_VARIANT_STOCKINGS_1": "SOLIDE"
"CUST_VARIANT_3COLOR_THICK": "TRICOLORE ÉPAIS"
"CUST_WEAR_UNTUCKED": "NON RENTRÉ"
"CUST_ITEM_CM_PSI_NECK_M_CHAINS": "CHAÎNE FLEUR"
"SLOT_FUZZY_DICE": "DÉS DE RÉTROVISEUR"
"CUST_WEAR_BOTH_ROLLED_LOW": "REVERS, BAS"
"CUST_ITEM_CF_IMPR_LBDY_F_PANTS": "PANTALON BRANCHÉ"
"CUST_ITEM_LEATHER_LACE_FEMALE_I": "STRIP-TEASEUSE PUNK"
"PLAYER_MORPH_JOWLS_SPACING_TEXT": "ESPACEMENT DES MÂCHOIRES"
"CUST_COLOR_CLOTHING_VIOLET_3": "VIOLET 3"
"CUST_ITEM_CM_DLC_HAND_M_GPGLOVES": "GANTS MEURTRIERS"
"CUST_CAT_UPPER_BODY": "HAUT DU CORPS"
"CUST_BRO_COMPLIMENT_B": "COMPLIMENT BROTHERHOOD 2"
"PLAYER_CREATION_AGE_YOUNG": "JEUNE"
"PLAYER_MORPH_TIPS_ELEVATION_TEXT": "HAUTEUR DES POINTES"
"PLAYER_CREATION_PRESET_HISPANIC": "LATIN"
"VEHICLE_COLOR_SLOW_BURN_RED": "ROUGE BRÛLÉ"
"CUST_VARIANT_PEACE": "PAIX"
"CUST_WEAR_ZIPPED_HOOD_DOWN": "FERMÉ, CAPUCHE BAISSÉE"
"CUST_ITEM_CF_RING_F_SHARKTOOTH": "BAGUE \"MORSURE DE REQUIN\""
"CUST_ITEM_CM_LLB_SUIT_M_LTHR2": "TENUE ESCLAVAGE"
"FACIAL_EXPRESSION_DEATH_A": "AGONIE 1"
"CUST_ITEM_CF_IMPO_FOOT_M_PLTFRMS": "TALONS HAUTS \"SAFARI URBAIN\""
"CUST_ITEM_CF_NLMH_FOOT_F_SHAGBOOTSM": "BOTTES À POILS FÊTARDE"
"CUST_ITEM_CF_PSB_HAT_F_BASTILLECAP": "BONNET DE POÈTE"
"FACIAL_EXPRESSION_BLANK": "NEUTRE"
"PLAYER_MORPH_NOSE_ELEVATION_TEXT": "ÉLÉVATION DU NEZ"
"CUST_COMP_MUSTACHE_22": "MENTONNIÈRE"
"VEHICLE_COLOR_RUST_BROWN": "BRUN ROUILLE"
"SLOT_REAR_MODS": "MODIFS ARRIÈRE"
"CUST_COLOR_TEAL_1": "SARCELLE 1"
"CUST_VARIANT_SQUARES": "CARRÉS"
"CUST_WEAR_TUCKED_ZIPPED": "RENTRÉ, FERMÉ"
"CUST_ITEM_CM_PSC_FOOT_M_SNEAKERS": "HI-TOPS"
"PLAYER_MORPH_TEMPLE_WIDTH_TEXT": "LARGEUR DES TEMPES"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_2": "Augmente la capacité de munitions. Les grenades collent à ce qu'elles touchent."
"CUST_GANG_GIMP": "ESCLAVE"
"CUST_ITEM_CM_DLC_HAT_M_KNIGHT": "CASQUE DE CHEVALIER"
"CUST_ITEM_CM_NLME_EYES_M_SUNGLASSES": "LUNETTES DE SOLEIL NETWORK"
"PLAYER_MORPH_MOUTH_EDGES_TEXT": "EXTRÉMITÉS DE LA BOUCHE"
"COLOR_SLOT_TRIM_3": "GARNITURE 3"
"LOGO_FLOWERS": "FLEURS"
"COMPONENT_PAINT_1": "PEINTURE 1"
"CUST_WEAR_LOW": "TAILLE BASSE"
"CUST_ITEM_CF_LLR_NECK_F_IVORYCHOKER": "COLLIER DE SÉDUCTRICE"
"CUST_CAT_HAIR_EYEBROWS": "SOURCILS"
"CUST_EXIT_WARNING_TITLE": "AVERTISSEMENT"
"PLAYER_CREATION_FIGURE_ATHLETIC": "ATHLÉTIQUE"
"LOGO_SIZZURP": "Sizzurp 101.69"
"CUST_ITEM_CM_PSI_HAT_M_SRCAP": "CASQUETTE DES SAINTS"
"PLAYER_MORPH_NOSE_TIP_TEXT": "BOUT DU NEZ"
"VEHICLE_COLOR_TEAL_DARK_TINT": "TEINTE SARCELLE FONCÉ"
"CUST_COLOR_GRAY_1": "GRIS 1"
"VCUST_UNDERGLOW_COLOR": "COULEUR NÉON SOUS VOITURE"
"CUST_GANG_NUDE": "NU"
"CUST_COLOR_CLOTHING_RED-ORANGE_6": "ROUGE-ORANGE 6"
"COLOR_SLOT_TINT": "TEINTE"
"CUST_VARIANT_TRENCH": "SOLIDE"
"CUST_ITEM_LEATHER_LACE_MALE_I": "CHAUFFARD"
"CUST_ITEM_CM_HAT_CARDINAL_HAT": "CHAPEAU DE CARDINAL"
"CUST_MENU_LOGO_COLOR": "COULEUR LOGO"
"CUST_COLOR_CLOTHING_BLUE-GREEN_6": "BLEU-VERT 6"
"CUST_COMP_EYES_BLACK": "NOIR"
"SLOT_HEADLIGHTS": "FEUX AVANT"
"CUST_VARIANT_MATERIAL_15": "CUST_VARIANT_MATERIAL#15"
"CUST_ITEM_CM_LPC_FOOT_M_HEROBOOTS": "BOTTES DE HÉROS DE STEELPORT"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_2": "Augmente la cadence de tir, la capacité des chargeurs et les dégâts. Le point de mire rouge améliore la précision en visée."
"CUST_VARIANT_JEANS": "NORMAL"
"CUST_VARIANT_STRIPE_2": "BANDES HORIZONTALES"
"CUST_WEAR_LOW_BOTH_ZIPPED": "BAS"
"CUST_ITEM_IMPRESSIONS_MALE_M": "SOUTH BEACH"
"CUST_ITEM_CM_HATHAIR_PULLEDPONYTAIL": ""
"NOBODY_LOVE_NAME": "NOBODY LOVES ME"
"CUST_COLOR_CLOTHING_GREENS_1": "VERT 1"
"CUST_COMP_FACE_SCAR_5": "PETITE CICATRICE 1"
"CUST_COMP_MUSTACHE_9": "INSPECTEUR"
"FEMALE_SLENDER": "FEMME, MINCE"
"CUST_VARIANT_FLAT_TOP_SHORT_SIDES": "BROSSE PLATE, COURTS"
"CUST_ITEM_CF_RING_F_LDYBUG_SPIDER": "BAGUES À INSECTES"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2D": "BLOUSON \"SAFARI URBAIN\" COL ROULÉ"
"CUST_SKIN_BLUE_1": "ELFE UNDERGROUND"
"CUST_COMPLIMENT_Z": "POUCES EN L'AIR"
"IRIDESCENT_3": "IRISÉS 3"
"DARK_YELLOW": "JAUNE FONCÉ"
"PLAYER_MORPH_EARS_ROLL_TEXT": "HÉLIX DES OREILLES"
"PLAYER_MORPH_LIP_NOTCH_TEXT": "FENTE DE LA LÈVRE"
"PLAYER_MORPH_JOWLS_TEXT": "MÂCHOIRES"
"CUST_COLOR_CLOTHING_RED_3": "ROUGE 3"
"RIM_190": "C-X 504 GREEN-BLACK"
"LOGO_CAVE_3": "GROTTE FANTÔME 3"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_SUSPENDERS": "Très haut, bretelles"
"CUST_BODY_MASK": "EFFETS CORPORELS"
"CUST_COLOR_CLOTHING_YELLOWS_8": "JAUNE 8"
"CUST_TATTOO_RUPPARM_8": "DENTS DE LA MER"
"COLOR_SLOT_RIMS_2": "JANTES 1"
"SLOT_WEAPONS": "ARMES"
"CUST_COLOR_ORANGE_3": "ORANGE 3"
"CUST_WEAR_TATTOO_SAM_DESIGN1": "DESSIN SAM 1"
"CUST_WEAR_BUTTONED_HOOD_UP": "BOUTONNÉ, CAPUCHE HAUTE"
"CUST_ITEM_ZIMOS_BLING_PACK": "STYLE Z"
"CUST_COLOR_STRAWBERRY_BLONDE": "BLOND VÉNITIEN"
"LOGO_FRECKLE_1": "FRECKLE BITCHS 1"
"CUST_VARIANT_JERSEY": "STYLE 1"
"CUST_ITEM_CF_DLC_SPACE_HAND_F_GLOVES": "GANTS DE PRINCESSE DE L'ESPACE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHRTBTTNS": "VESTE MOD"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_D": "LET'S PRETEND HOMME D"
"CUST_CAT_HAIR_FACIAL": "PILOSITÉ FACIALE"
"CUST_SAMEDI_TAUNT_A": "VANNE SAMEDI 1"
"SLOT_HYDRAULICS": "HYDRAULIQUE"
"HAIR_COLOR_STRAWBERRY_BLONDE_MATTE": "BLOND VÉNITIEN MAT"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBODOWN": "SWEAT DÉCONTRACT'"
"CUST_INSULT_HOOK": "UNE BONNE DROITE"
"CUST_MENU_HAIR": "CHEVEUX"
"CUST_COMP_EYES_GREEN": "VERTS"
"CUST_TATTOO_LFORARM_8": "FAUSSES AILES"
"COMPONENT_OPTION_E": "OPTION E"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_I": "LÉGENDE DU HIP-HOP"
"CUST_CAT_MAKEUP_AROUND_EYES": "TOUR DES YEUX"
"CUST_SAMEDI_COMPLIMENT_D": "COMPLIMENT SAMEDI 4"
"VEHICLE_COLOR_CAST_IRON": "FONTE"
"CUST_ITEM_IMPRESSIONS_FEMALE_Q": "ANNÉES 80 AFFREUSES"
"CUST_ITEM_FEMALE_LP_BRA_2": "VRAIMENT VENIMEUSE"
"CUST_SKIN_RED_YELLOW_5": "JAUNE MALADIF"
"CUST_SKIN_METAL_2": "MERCURE"
"CUST_COMP_FACE_MAKEUP_11": "DANS LE MILLE"
"LOGO_HHH": "HAIR HELMET HATS"
"CUST_VARIANT_BLURRY": "FLOU"
"CUST_WEAR_OPEN": "OUVERT"
"CUST_ITEM_CM_DLC_M_GLASSES01": "LUNETTES DE MARLOU STYLE Z"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_H": "FILLE GANGSTA"
"CUST_CAT_LEFT_HAND": "MAIN GAUCHE"
"PLAYER_MORPH_EYEBALLS_ELEVATION_TEXT": "HAUTEUR GLOBES OCULAIRES"
"PLAYER_MORPH_CHEEK_WIDTH_TEXT": "LARGEUR DES JOUES"
"CUST_COLOR_CLOTHING_RED_7": "ROUGE 7"
"RIM_194": "AF1 MONOBLOCK CX 502"
"SLOT_WINDOW_GUARD": "GARDE-FENÊTRES"
"CUST_VARIANT_MATERIAL_#172": "NORMAL"
"CUST_COMP_FACE_WART_2": "VERRUE 2"
"SLOT_MISC_COLOR": "Couleur diverse"
"CUST_VARIANT_FOREST_CAMO": "CAMOUFLAGE FORÊT"
"CUST_ITEM_FEMALE_LP_EARRINGS_4": "ALIENS"
"CUST_ITEM_CM_PSJ_UBDY_M_BDSHIRTVEST": "CHEMISE ET MAILLOT"
"CUST_ITEM_THREE_QUARTER_T_SHIRT": "MACHINS BOUCLÉS"
"CUST_ITEM_LEFT_UPPER_ARM_GEISHA_02": "BANDAGES QUI TUENT"
"STORE_WEAPON_OWNED": "POSSÉDÉ"
"CUST_COMP_EYES_YELLOW": "JAUNE"
"CUST_VARIANT_CMCOA_UCOPVEST1": "POLICE"
"CUST_VARIANT_FLOWERS": "FLEURS"
"CUST_WEAR_BACK LEFT": "ARRIÈRE GAUCHE"
"VEHICLE_COLOR_PINK_DARK_TINT": "TEINTE ROSE FONCÉ"
"COLOR_SLOT_PAINT_1": "PEINTURE 1"
"COLOR_SLOT_INTERIOR_1": "INTÉRIEUR 1"
"COMPONENT_OPTION_A": "OPTION A"
"CUST_NO_ITEMS": "PAS DE LOGO"
"LOGO_VOLITION_3": "VOLITION 3"
"CUST_PRIMARY_COLOR": "COULEUR PRINCIPALE"
"PLAYER_MORPH_SKULL_SIZE_TEXT": "TAILLE DU CRÂNE"
"PLAYER_MORPH_LOWER_LIP_NOTCH_TEXT": "FENTE DE LA LÈVRE INFÉRIEURE"
"OPTION_40": "OPTION 40"
"RIM_131": "R131"
"CUST_ITEM_CM_NLMC_UBDY_M_SHIRTCOMBO": "KANDY KONSTRUCTION RAVE X"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPUP": "VESTE DE SURVÊT' À CAPUCHE"
"CUST_ITEM_WORKER_BOOTS": "BOTTES DE MAUVAISE FILLE"
"CUST_ITEM_PARACHUTE_BACKPACK": "CHATON ANIMÉ"
"CUST_TATTOO_HEAD": "TÊTE"
"PLAYER_MORPH_LOWER_LIP_SIDES_SIZE_TEXT": "TAILLE CÔTÉS LÈVRE INFÉRIEURE"
"CUST_VARIANT_FLOWER": "FLEURI"
"CUST_SKIN_RED_YELLOW_1": "ROUGE DIABOLIQUE"
"VEHICLE_COLOR_STEEL": "ACIER"
"CUST_VARIANT_STRIPES_BIG": "GROSSES BANDES"
"CUST_VARIANT_BAGGAGE": "BAGAGE"
"CUST_ITEM_CM_PSF_UBDY_M_JERSEY23": "MAILLOT \"LANCER FRANC\" HOMME"
"VEHICLE_PAINT_SPECIAL_PLASTIC": "PLASTIQUE SPÉCIAL"
"SLOT_FENDER_SKIRT": "JUPE AVANT"
"SLOT_DASH": "TABLEAU DE BORD"
"CUST_VARIANT_CMBOT_WSLACKME01": "SOLIDE"
"CUST_VARIANT_PLAID_SMALL": "ÉCOSSAIS 1"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-UP": "MANTEAU GUIMAUVE"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_SIZE_TEXT": "TAILLE MILIEU LÈVRE INFÉRIEURE"
"CUST_COLOR_CLOTHING_BLUES_4": "BLEU 4"
"CUST_COLOR_CLOTHING_RED-ORANGE_2": "ROUGE-ORANGE 2"
"VEHICLE_COLOR_TRUMPET_YELLOW": "JAUNE TROMPETTE"
"CUST_VARIANT_TRACK_A": "STYLE 4"
"CUST_VARIANT_TRIANGLE": "TRIANGLE"
"CUST_VARIANT_POLICE_CHIEF": "PLAQUE DE CHEF"
"CUST_ITEM_CM_NECK_ROPECHAIN": "CHAÎNE LÉGÈRE"
"CUST_ITEM_CM_LPE_HAND_M_GLOVESCOMB": "GANTS SOLDAT DU FUTUR"
"VEHICLE_COLOR_TOBIAS_FUR_WHITE": "BLANC FOURRURE DE TOBIAS"
"SLOT_DECAL_4": "STICKER 4"
"CUST_VARIANT_PIMPCOAT_COAT": "UNI"
"CUST_ITEM_CM_DLC_HEAD_M_SHARKHAT": "CHAPEAU MORSURE DE REQUIN"
"FACIAL_EXPRESSION_DISGUSTED": "DÉGOÛTÉ"
"VEHICLE_COLOR_TANGERINE_ORANGE": "MANDARINE"
"CUST_VARIANT_FLAME": "FLAMME"
"CUST_WEAR_BOTH_ROLLED_UP": "REVERS DOUBLE"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2C": "T-SHIRT MANCHES 3/4 \"SAFARI URBAIN\""
"CUST_ITEM_CM_LPG_MASK_M_MASKDOG": "TÊTE DE CHIEN"
"CUST_COLOR_CLOTHING_BLUE-GREEN_2": "BLEU-VERT 2"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_4": "La grenade colle à ce qu'elle touche."
"VEHICLE_COLOR_SLATE_GRAY": "GRIS ARDOISE"
"VEHICLE_COLOR_KHAKI_GREEN": "VERT KAKI"
"VEHICLE_COLOR_HOT_PINK": "ROSE BRÛLANT"
"CUST_VARIANT_CLOUDS": "NUAGES"
"CUST_ITEM_CM_RADIATIONSUIT": "TENUE DE POMPIER"
"CUST_ITEM_CF_LPH_UBDY_F_CLSWEATER": "SWEAT DE POM-POM GIRL"
"CUST_ITEM_CM_LPH_NECK_M_PIRATENECKLACE": "BUTIN DU PIRATE"
"CUST_INSULT_Q": "VA TE FAIRE FOUTRE"
"CUST_COLOR_CLOTHING_GREENS_5": "VERT 5"
"CUST_COMP_FACE_SCAR_1": "GRANDE CICATRICE 1"
"CUST_COMP_MALE_EYEBROWS": "NATUREL"
"SLOT_LICENSE_PLATE": "PLAQUE D'IMMATRICULATION"
"LOGO_UNIVERSITY_2": "U STILWATER 2"
"CUST_CAT_HAIR_HEAD": "TÊTE"
"CUST_SKIN_BLUE_5": "BLEU GLACIAL"
"PLAYER_MORPH_OUTER_BROW_ELEVATION_TEXT": "HAUTEUR EXTÉRIEUR DES SOURCILS"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_9": "VIOLET-BLEU 9"
"VEHICLE_PAINT_GANG_SOS": "SONS OF SAMEDI"
"CUST_VARIANT_SHIRT_A": "STYLE 1"
"CUST_ITEM_CM_LLO_FOOT_M_LTHRBOOTS": "BOTTES \"POCKET ROCKET\""
"CUST_ITEM_CF_LPE_HAT_F_MHELMET": "CASQUE DE JEUNE SOLDAT"
"CUST_INSULT_E": "4e ANNÉE"
"CUST_BODY": "CARRURE"
"PLAYER_MORPH_NOSE_TEXT": "NEZ"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_4": "Mets le feu avec des balles incendiaires. La visée laser améliore la précision du tir à la hanche."
"CUST_COMP_FINGERNAILS_L": "VERNIS À ONGLE"
"CUST_TATTOO_RCALF_6": "ELLE EST LE DIABLE"
"CUST_TATTOO_LARM_1": "SAINT DÉMON"
"CUST_TATTOO_LUPPARM_3": "HOMME AU SOLEIL"
"CUST_COMP_FEMALE_EYEBROWS_1": "TROP ÉPILÉS"
"CUST_VARIANT_FLAME_2": "FLAMME 2"
"CUST_VARIANT_CHECKERS": "DAMIERS"
"CUST_VARIANT_CMSHO_UUTIBOOT03": "CUIR"
"CUST_VARIANT_STRIPES_3": "BANDES 3"
"CUST_TATTOO_UPPER_LEG_RIGHT": "JAMBE DROITE HAUT"
"CUST_TATTOO_ENTIRE_ARM_LEFT": "BRAS GAUCHE COMPLET"
"LOGO_TUX": "COSTARD"
"CUST_VARIANT_RIVET": "RIVET"
"CUST_VARIANT_MATERIAL_3": "CUST_VARIANT_MATERIAL#3"
"CUST_ITEM_FEMALE_PS_EARRINGS_3": "ANNEAUX DE FILLE JERSEY"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_H": "CAPITAINE DES POM-POM GIRLS"
"CUST_COMPLIMENT_J": "DEUX MAINS GAUCHES"
"PLAYER_MORPH_EARS_WIDTH_TEXT": "LARGEUR DES OREILLES"
"PLAYER_MORPH_EYES_TEXT": "YEUX"
"CUST_COMP_EYE_MAKEUP_9": "LINER QUOTIDIEN"
