"CUST_ITEM_CF_HAIR_MED": "POR EL HOMBRO"
"LOGO_NUMBER8": "NÚMERO 8"
"LOGO_GHOST_1": "FANTASMA 1"
"CUST_BRO_TAUNT_D": "PROVOCACIÓN DE LA BROTHERHOOD 4"
"PLAYER_MORPH_UPPER_LIP_EDGES_LENGTH_TEXT": "LONGITUD BORDES LABIO SUPERIOR"
"PLAYER_MORPH_EYELID_SLANT_TEXT": "INCLINACIÓN DE PÁRPADOS"
"VEHICLE_COLOR_SATIN_BRIGHT_WHITE": "BLANCO SATÉN BRILLANTE BLANCO"
"CUST_ITEM_FEMALE_NLM_OUTFIT_H": "JUERGUISTA HIPPIE"
"CUST_COLOR_CLOTHING_VIOLET_7": "VIOLETA 7"
"CUST_WEAR_TATTOO_BAND_B": "BANDA 2"
"CUST_WEAR_RIGHT_ROLLED_LOW": "DERECHA ENROLLADO, BAJO"
"CUST_ITEM_CM_SUIT_M_CYBERAVATAR": "CIBERSAINT"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_H": "SEÑOR DE LOS MARES"
"CUST_BODY_HAIR": "VELLO CORPORAL"
"CUST_COLOR_CLOTHING_YELLOWS_4": "AMARILLO 4"
"CUST_TATTOO_RUPPARM_4": "GAT EN 8 BITS"
"SLOT_TRIM_COLOR": "COLOR DE EMBELLECEDOR"
"CUST_ITEM_CF_NLMB_LWRST_F_WRISTBAND": "BRAZALETE DE ANARQUISTA"
"Brunette": "MORENO"
"LOGO_HORSE": "CABALLO"
"LOGO_SAW": "SIERRA MECÁNICA"
"CUST_VARIANT_FLAT_TOP_DESIGN_A": "CABEZA PLANA DISEÑO A"
"CUST_ITEM_CM_IMPL_UBDY_M_JSCARF": "ESTILO T-ROY"
"CUST_ITEM_FEMALE_LL_BRA_3": "TOCA MI CORAZÓN"
"CUST_VOICE_MALE_LATINO": "VARÓN 3"
"CUST_VARIANT_GANG_CAMO": "CAMUFLAJE DE BANDA"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "LUCHADOR STEAMPUNK"
"PLAYER_CREATION_PRESET_MALE": "VARÓN"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "Aumenta el tamaño de tus cargadores."
"CUST_COMP_MUSTACHE_26": "EL ESPAÑOL"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "INFORMAL"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "TANGA DE LOS SAINTS ESCANDALOSOS"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "RECIÉN LEVANTADO"
"STRONGHOLD_CUSTOMIZATION": "PERSONALIZACIÓN DE FORTALEZA"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_TATTOO_LFORARM_4": "ARMA OCULTA"
"COLOR_SLOT_SOFTTOP": "TECHO DE LONA"
"SLOT_LIGHTS": "FAROS"
"CUST_VARIANT_TRI_COLOR": "TRICOLOR"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "MAQUEO ESTILO Z"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "ANILLO CEJA IZQUIERDA"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "PANTALONES ELEGANTES"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_E": "ESCUELA DE LA VIDA"
"BRIGHT_PURPLE": "VIOLETA BRILLANTE"
"LOGO_8BALL": "BOLA 8"
"CUST_VARIANT_SPORT_SHORTS_1": "ESTILO 2"
"CUST_VARIANT_ARGYLE": "ROMBOS INGLESES"
"CUST_TATTOO_RARM_6": "ATRAPADO EN LA RED"
"RIM_152": "LUMINATI"
"CUST_ITEM_CM_NLMA_FOOT_M_SPBOOTS": "BOTAS STEAMPUNK"
"CUST_ITEM_PLAIN_WHITE_TEE": "CAMISETA"
"CUST_ITEM_CM_PSF_UBDY_M_SAINTSJERSEY": "CAMISETA DEL EQUIPO DE LOS SAINTS"
"CUST_TATTOO_TORSO_UPPER_BACK": "ESPALDA SUPERIOR"
"Paint": "PINTURA"
"LOGO_GIRL_1": "CHICA 1"
"CUST_VARIANT_10_DEFAULT": "VARIANTE 10"
"CUST_VARIANT_TIE_DYE_1": "TEÑIDO BEIGE 1"
"CUST_VARIANT_CMCOA_MSUNSHINE01": "NORMAL"
"CUST_WEAR_TATTOO_AZTEC_TURTLE": "TORTUGA AZTECA"
"CUST_ITEM_MID_LENGTH_CHAIN_LOOPS_1": "VAQUEROS DE HIP HOP"
"CUST_SHOES": "CALZADO"
"CUST_TATTOO_ENTIRE_BACK": "TODA LA ESPALDA"
"PLAYER_MORPH_NOSE_SLOPE_TEXT": "SESGO NARIZ"
"CUST_SKIN_CAUCASIAN_01": "CAUCÁSICO 1"
"CUST_MENU_MAKEUP": "MAQUILLAJE"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_2": "Afecta un área mayor."
"CUST_TATTOO_STOMACH_3": "MONTÍCULO DE LA NATURALEZA"
"CUST_COMP_MUSTACHE_5": "CHAPLIN"
"VEHICLE_COLOR_TINT_20": "TINTE 20%%"
"CUST_ITEM_CF_CLASSICUP": "DEBUTANTE"
"CUST_COMPLIMENT_V": "PALMAS"
"PLAYER_MORPH_OLD_TEXT": "EDAD PREDEFINIDA"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_1": "AZUL VIOLETA 1"
"LOGO_WASHINGTON": "WASHINGTON"
"CUST_GANG_ZOMBIE": "ZOMBI"
"VEHICLE_COLOR_AMERICANA_RED": "ROJO AMERICANA"
"RIM_SET_016": "JUEGO DE LLANTAS 16"
"CUST_VARIANT_PATTERN_1_DECALS": "ESTILO CON PEGATINAS"
"CUST_FACIAL_EXP_SAINTLY": "SANTO"
"CUST_ITEM_WEAR_OPTIONS": "ESTILO DE PERSONALIZACIÓN"
"CUST_COMP_FACE_BLOODY_FACE": "GOLPEADO"
"LOGO": "LOGOTIPO"
"CUST_COLOR_RED_3": "ROJO 3"
"CUST_ITEM_CF_IMPO_NECK_F_NECKLACE": "COLLAR URBAN SAFARI"
"CUST_EYEWEAR": "GAFAS"
"CUST_FACIAL_FEATURES": "RASGOS"
"TATTOO_NAME": "RUSTY'S NEEDLE"
"CUST_TATTOO_RARM_2": "MENSAJERO DE LA MUERTE"
"VEHICLE_PAINT_EXOTIC": "EXÓTICO"
"RIM_156": "LX-19"
"SLOT_DECAL_8": "PEGATINA 8"
"SLOT_MISCELLANEOUS": "VARIOS"
"CUST_VARIANT_FADE": "DESVAÍDO"
"CUST_ITEM_CM_IMPB_UBDY_M_LOWSHIRT": "CUELLO DE PICO DE CACHEMIRA"
"CUST_ITEM_CF_LLI_EYES_F_SUNGLASSES": "GAFAS DE PASTA"
"CUST_ITEM_CM_HAIR_WILDMESSY2": "HARD ROCK"
"CUST_ITEM_CF_PSE_FOOT_F_STRAPPYSANDLES": "ZAPATOS DE STRIPPER"
"CUST_SKIN_ASIAN_04": "ASIÁTICO 4"
"CUST_EYELINER": "CONTORNO DE OJOS"
"CUST_MORPH_CAT_EYES": "OJOS"
"CUST_COLOR_CLOTHING_BLUES_8": "AZUL 8"
"SLOT_DOORS": "PUERTAS"
"LOGO_BALANCE_1": "BALANCE 1"
"CUST_ITEM_LEATHER_LACE_MALE_A": "TRAJE DE CUERO"
"CUST_ITEM_CM_NLMD_UBDY_M_JACKETCOMBO": "CHAQUETA ANARQUISTA PUNK"
"PLAYER_MORPH_EYE_HEIGHT_TEXT": "ALTURA DE OJOS"
"SLOT_TORQUE": "TORQUE"
"LOGO_SCORPION": "SCORPION"
"CUST_VARIANT_THICK_STRIPES": "RAYAS GRUESAS"
"CUST_VARIANT_PLAID_BIG": "CUADROS 2"
"CUST_ITEM_CM_JOY_UBDY_THECODE": "CONTROL DE CÓDIGOS JOYSTICK JUNKIES"
"CUST_ITEM_CF_LPC_LBDY_F_FEMHEROLEGS": "MALLAS DE HEROÍNA DE STEELPORT"
"CUST_SKIN_CAUCASIAN_05": "CAUCÁSICO 5"
"EXIT": "SALIR"
"BRIGHT_BLUE-GREEN": "AZUL-VERDE BRILLANTE"
"CUST_VARIANT_LETTERMANSTYLE": "ESTILO 1"
"CUST_VARIANT_CMUNS_UTSHIRT04_U": "ESTILO 2"
"CUST_ITEM_CM_RADIATIONMASK": "MÁSCARA DE FUSIÓN NUCLEAR"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEDOWN": "SUDADERA DE PORRERA"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_5": "AZUL VIOLETA 5"
"SLOT_CHASSIS": "CHASIS"
"CUST_VARIANT_MATERIAL__1": "CUST_VARIANT_MATERIAL_#1"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_UNZIPPED": "DERECHA CREM. BAJADA, BAJO"
"CUST_ITEM_IMPRESSIONS_MALE_E": "GUÍA DE SAFARI"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRTTIE": "BIEN PUESTO"
"CUST_ITEM_CF_HAIR_PUNKSHAVEDSIDES": "PUNK ROCK"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEUP": "SUDADERA, CAMISA Y CORBATA"
"CUST_CAT_BODY_HAIR": "VELLO CORPORAL"
"CUST_COMPLIMENT_ZZ": "ASENTIR CON LA CABEZA"
"PLAYER_MORPH_TIPS_SPACING_TEXT": "DISTANCIA PUNTAS"
"CUST_COLOR_CLOTHING_GREENS_9": "VERDE 9"
"CUST_TATTOO_STOMACH_7": "AS DE LA MUERTE"
"CUST_COMP_MUSTACHE_1": "DIAMANTE"
"RIM_202": "RBP R96 CUSTOM PURPLE"
"LOGO_ROUNDHOUSE": "ROUNDHOUSE"
"LOGO_REAPER": "REAPER"
"CUST_COMPLIMENT_R": "LA JESSICA"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_4": "Controla vehículos militares."
"VEHICLE_PAINT_PEARLESCENT_PAINT": "PINTURA NACARADA"
"HAIR_COLOR_BLONDE_MATTE": "RUBIO MATE"
"CUST_COLOR_ROSE_3": "ROSA 3"
"LOGO_NUMBER11": "NÚMERO 11"
"CUST_ITEM_CM_LPG_MASK_M_MASKPIG": "CABEZA DE CERDO"
"CUST_CAT_PIERCING_NOSE": "NARIZ"
"PLAYER_MORPH_UPPER_LIP_SHAPE_TEXT": "FORMA DE LABIO SUPERIOR"
"CUST_VOICE_FEMALE_LATINO": "MUJER 3"
"CUST_COMP_EYES_PALE_BLUE": "AZUL CLARO"
"RIM_SET_012": "JUEGO DE LLANTAS 12"
"CUST_VARIANT_STOCKINGS_1": "SÓLIDO"
"CUST_VARIANT_3COLOR_THICK": "TRICOLOR GRUESO"
"CUST_WEAR_UNTUCKED": "POR FUERA"
"CUST_ITEM_CM_PSI_NECK_M_CHAINS": "CADENA DE FLOR"
"SLOT_FUZZY_DICE": "DADOS DE PELUCHE"
"CUST_WEAR_BOTH_ROLLED_LOW": "ENROLLADOS BAJOS"
"CUST_ITEM_CF_IMPR_LBDY_F_PANTS": "PANTALÓN HILLS"
"CUST_ITEM_LEATHER_LACE_FEMALE_I": "STRIPPER PUNKY"
"PLAYER_MORPH_JOWLS_SPACING_TEXT": "DISTANCIA MANDÍBULA INFERIOR"
"CUST_COLOR_CLOTHING_VIOLET_3": "VIOLETA 3"
"CUST_ITEM_CM_DLC_HAND_M_GPGLOVES": "GUANTES ASESINOS"
"CUST_CAT_UPPER_BODY": "TORSO"
"CUST_BRO_COMPLIMENT_B": "CUMPLIDO DE LA BROTHERHOOD 2"
"PLAYER_CREATION_AGE_YOUNG": "JOVEN"
"PLAYER_MORPH_TIPS_ELEVATION_TEXT": "ALTURA PUNTA"
"PLAYER_CREATION_PRESET_HISPANIC": "HISPANO"
"VEHICLE_COLOR_SLOW_BURN_RED": "ROJO QUEMADURA LENTA"
"CUST_VARIANT_PEACE": "PAZ"
"CUST_WEAR_ZIPPED_HOOD_DOWN": "CREM. ABROCHADA, CAPUCHA BAJADA"
"CUST_ITEM_CF_RING_F_SHARKTOOTH": "ANILLO MORDISCO SHARK"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR2": "TRAJE BONDAGE"
"FACIAL_EXPRESSION_DEATH_A": "AGONÍA 1"
"CUST_ITEM_CF_IMPO_FOOT_M_PLTFRMS": "TACONES DE AGUJA URBAN SAFARI"
"CUST_ITEM_CF_NLMH_FOOT_F_SHAGBOOTSM": "BOTAS AQUÍ TE PILLO..."
"CUST_ITEM_CF_PSB_HAT_F_BASTILLECAP": "GORRO DE POETA"
"FACIAL_EXPRESSION_BLANK": "SIN EXPRESIÓN"
"PLAYER_MORPH_NOSE_ELEVATION_TEXT": "ELEVACIÓN NARIZ"
"CUST_COMP_MUSTACHE_22": "TIRA"
"VEHICLE_COLOR_RUST_BROWN": "MARRÓN OXIDADO"
"SLOT_REAR_MODS": "MODIFICACIONES TRASERAS"
"CUST_COLOR_TEAL_1": "VERDE AZULADO 1"
"CUST_VARIANT_SQUARES": "CUADRADOS"
"CUST_WEAR_TUCKED_ZIPPED": "POR DENTRO, CREM. ABROCHADA"
"CUST_ITEM_CM_PSC_FOOT_M_SNEAKERS": "BOTAS DEPORTIVAS"
"PLAYER_MORPH_TEMPLE_WIDTH_TEXT": "ANCHURA SIENES"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_2": "Aumenta la capacidad de munición. Las granadas se adhieren a lo que tocan."
"CUST_GANG_GIMP": "SADOMASO"
"CUST_ITEM_CM_DLC_HAT_M_KNIGHT": "CASCO DE CABALLERO"
"CUST_ITEM_CM_NLME_EYES_M_SUNGLASSES": "GAFAS DE SOL NETWORK"
"PLAYER_MORPH_MOUTH_EDGES_TEXT": "COMISURAS BOCA"
"COLOR_SLOT_TRIM_3": "EMBELLECEDOR LATERAL 3"
"LOGO_FLOWERS": "FLORES"
"COMPONENT_PAINT_1": "PINTURA 1"
"CUST_WEAR_LOW": "BAJO"
"CUST_ITEM_CF_LLR_NECK_F_IVORYCHOKER": "GARGANTILLA DE SEDUCTORA"
"CUST_CAT_HAIR_EYEBROWS": "CEJAS"
"CUST_EXIT_WARNING_TITLE": "ATENCIÓN"
"PLAYER_CREATION_FIGURE_ATHLETIC": "ATLÉTICO"
"LOGO_SIZZURP": "Sizzurp 101.69"
"CUST_ITEM_CM_PSI_HAT_M_SRCAP": "GORRA DE LOS SAINTS"
"PLAYER_MORPH_NOSE_TIP_TEXT": "PUNTA DE NARIZ"
"VEHICLE_COLOR_TEAL_DARK_TINT": "TINTE VERDE AZULADO OSCURO"
"CUST_COLOR_GRAY_1": "GRIS 1"
"VCUST_UNDERGLOW_COLOR": "COLOR DE NEÓN DE BAJOS"
"CUST_GANG_NUDE": "DESNUDO"
"CUST_COLOR_CLOTHING_RED-ORANGE_6": "NARANJA ROJIZO 6"
"COLOR_SLOT_TINT": "TINTADO"
"CUST_VARIANT_TRENCH": "SÓLIDO"
"CUST_ITEM_LEATHER_LACE_MALE_I": "MOTERO"
"CUST_ITEM_CM_HAT_CARDINAL_HAT": "SOMBRERO DE CARDENAL"
"CUST_MENU_LOGO_COLOR": "COLOR DE LOGOTIPO"
"CUST_COLOR_CLOTHING_BLUE-GREEN_6": "VERDE AZULADO 6"
"CUST_COMP_EYES_BLACK": "NEGRO"
"SLOT_HEADLIGHTS": "FAROS DELANTEROS"
"CUST_VARIANT_MATERIAL_15": "CUST_VARIANT_MATERIAL#15"
"CUST_ITEM_CM_LPC_FOOT_M_HEROBOOTS": "BOTAS DE HÉROE DE STEELPORT"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_2": "Aumenta la cadencia de fuego, el tamaño de tus cargadores y el daño. La mira de punto rojo mejora la precisión al apuntar."
"CUST_VARIANT_JEANS": "NORMAL"
"CUST_VARIANT_STRIPE_2": "RAYAS HORIZONTALES"
"CUST_WEAR_LOW_BOTH_ZIPPED": "BAJO"
"CUST_ITEM_IMPRESSIONS_MALE_M": "PLAYA DEL SUR"
"CUST_ITEM_CM_HATHAIR_PULLEDPONYTAIL": ""
"NOBODY_LOVE_NAME": "NOBODY LOVES ME"
"CUST_COLOR_CLOTHING_GREENS_1": "VERDE 1"
"CUST_COMP_FACE_SCAR_5": "CICATRIZ PEQUEÑA 1"
"CUST_COMP_MUSTACHE_9": "INSPECTOR"
"FEMALE_SLENDER": "MUJER ESBELTA"
"CUST_VARIANT_FLAT_TOP_SHORT_SIDES": "CABEZA PLANA, LADOS CORTOS"
"CUST_ITEM_CF_RING_F_LDYBUG_SPIDER": "SORTIJAS DE BICHOS"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2D": "CUELLO VUELTO CON CHAQUETA URBAN SAFARI"
"CUST_SKIN_BLUE_1": "ELFO SUBTERRÁNEO"
"CUST_COMPLIMENT_Z": "PULGARES ARRIBA"
"IRIDESCENT_3": "IRIDISCENTE 3"
"DARK_YELLOW": "AMARILLO OSCURO"
"PLAYER_MORPH_EARS_ROLL_TEXT": "ÁNGULO OREJAS"
"PLAYER_MORPH_LIP_NOTCH_TEXT": "PLIEGUE LABIO"
"PLAYER_MORPH_JOWLS_TEXT": "MANDÍBULA INFERIOR"
"CUST_COLOR_CLOTHING_RED_3": "ROJO 3"
"RIM_190": "C-X 504 GREEN-BLACK"
"LOGO_CAVE_3": "CUEVA FANTASMA 3"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_SUSPENDERS": "Extra alto, tirantes"
"CUST_BODY_MASK": "MÁSCARA CORPORAL"
"CUST_COLOR_CLOTHING_YELLOWS_8": "AMARILLO 8"
"CUST_TATTOO_RUPPARM_8": "CALENTANDO LAS AGUAS"
"COLOR_SLOT_RIMS_2": "LLANTAS 1"
"SLOT_WEAPONS": "ARMAS"
"CUST_COLOR_ORANGE_3": "NARANJA 3"
"CUST_WEAR_TATTOO_SAM_DESIGN1": "DISEÑO DE SAM 1"
"CUST_WEAR_BUTTONED_HOOD_UP": "ABROCHADO, CAPUCHA PUESTA"
"CUST_ITEM_ZIMOS_BLING_PACK": "ESTILO Z"
"CUST_COLOR_STRAWBERRY_BLONDE": "RUBIO ROJIZO"
"LOGO_FRECKLE_1": "FRECKLE BITCHS 1"
"CUST_VARIANT_JERSEY": "ESTILO 1"
"CUST_ITEM_CF_DLC_SPACE_HAND_F_GLOVES": "GUANTES DE PRINCESA ESPACIAL"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHRTBTTNS": "CHAQUETA"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_D": "LET'S PRETEND CHICO D"
"CUST_CAT_HAIR_FACIAL": "VELLO FACIAL"
"CUST_SAMEDI_TAUNT_A": "PROVOCACIÓN DE LOS SAMEDI 1"
"SLOT_HYDRAULICS": "SISTEMA HIDRÁULICO"
"HAIR_COLOR_STRAWBERRY_BLONDE_MATTE": "RUBIO ROJIZO MATE"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBODOWN": "SUDADERA DE HARAGÁN"
"CUST_INSULT_HOOK": "GANCHO DERECHO"
"CUST_MENU_HAIR": "CABELLO"
"CUST_COMP_EYES_GREEN": "VERDE"
"CUST_TATTOO_LFORARM_8": "ALAS CORTADAS"
"COMPONENT_OPTION_E": "OPCIÓN E"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_I": "LEYENDA DEL HIP HOP"
"CUST_CAT_MAKEUP_AROUND_EYES": "ALREDEDOR DE LOS OJOS"
"CUST_SAMEDI_COMPLIMENT_D": "CUMPLIDO DE LOS SAMEDI 4"
"VEHICLE_COLOR_CAST_IRON": "HIERRO COLADO"
"CUST_ITEM_IMPRESSIONS_FEMALE_Q": "EL PASADO... NO SIEMPRE FUE MEJOR"
"CUST_ITEM_FEMALE_LP_BRA_2": "VERDADERAMENTE VENENOSA"
"CUST_SKIN_RED_YELLOW_5": "AMARILLO ENFERMIZO"
"CUST_SKIN_METAL_2": "MERCURIO"
"CUST_COMP_FACE_MAKEUP_11": "BLANCO"
"LOGO_HHH": "CASCOS"
"CUST_VARIANT_BLURRY": "BORROSO"
"CUST_WEAR_OPEN": "ABIERTO"
"CUST_ITEM_CM_DLC_M_GLASSES01": "VISIÓN DE CHULO ESTILO Z"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_H": "LA GÁNSTER"
"CUST_CAT_LEFT_HAND": "MANO IZQUIERDA"
"PLAYER_MORPH_EYEBALLS_ELEVATION_TEXT": "ALTURA GLOBOS OCULARES"
"PLAYER_MORPH_CHEEK_WIDTH_TEXT": "ANCHURA MEJILLAS"
"CUST_COLOR_CLOTHING_RED_7": "ROJO 7"
"RIM_194": "AF1 MONOBLOCK CX 502"
"SLOT_WINDOW_GUARD": "PROTECTORES DE VENTANA"
"CUST_VARIANT_MATERIAL_#172": "NORMAL"
"CUST_COMP_FACE_WART_2": "VERRUGA 2"
"SLOT_MISC_COLOR": "Colores diversos"
"CUST_VARIANT_FOREST_CAMO": "CAMUFLAJE DE BOSQUE"
"CUST_ITEM_FEMALE_LP_EARRINGS_4": "PENDIENTES LOS ALIENS EXISTEN"
"CUST_ITEM_CM_PSJ_UBDY_M_BDSHIRTVEST": "CHALECO Y CAMISA"
"CUST_ITEM_THREE_QUARTER_T_SHIRT": "ZINGZINGS GIRADOS"
"CUST_ITEM_LEFT_UPPER_ARM_GEISHA_02": "VENDAS DE NOQUEO"
"STORE_WEAPON_OWNED": "PROPIEDAD"
"CUST_COMP_EYES_YELLOW": "AMARILLO"
"CUST_VARIANT_CMCOA_UCOPVEST1": "POLICÍA"
"CUST_VARIANT_FLOWERS": "FLORES"
"CUST_WEAR_BACK LEFT": "ATRÁS IZQUIERDA"
"VEHICLE_COLOR_PINK_DARK_TINT": "TINTE ROSA OSCURO"
"COLOR_SLOT_PAINT_1": "PINTURA 1"
"COLOR_SLOT_INTERIOR_1": "INTERIOR 1"
"COMPONENT_OPTION_A": "OPCIÓN A"
"CUST_NO_ITEMS": "SIN LOGOTIPO"
"LOGO_VOLITION_3": "VOLITION 3"
"CUST_PRIMARY_COLOR": "COLOR PRINCIPAL"
"PLAYER_MORPH_SKULL_SIZE_TEXT": "TAMAÑO DE CRÁNEO"
"PLAYER_MORPH_LOWER_LIP_NOTCH_TEXT": "PICO EN LABIO INFERIOR"
"OPTION_40": "OPCIÓN 40"
"RIM_131": "R131"
"CUST_ITEM_CM_NLMC_UBDY_M_SHIRTCOMBO": "KANDY KONSTRUCTION DE RAVE X"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPUP": "CHAQUETA DE CHÁNDAL DE CHICA ARRIBA"
"CUST_ITEM_WORKER_BOOTS": "BOTAS DE CHICA MALA"
"CUST_ITEM_PARACHUTE_BACKPACK": "GATITO ANIME"
"CUST_TATTOO_HEAD": "CABEZA"
"PLAYER_MORPH_LOWER_LIP_SIDES_SIZE_TEXT": "TAMAÑO LADO LABIO INFERIOR"
"CUST_VARIANT_FLOWER": "FLORIDO"
"CUST_SKIN_RED_YELLOW_1": "ROJO DIABÓLICO"
"VEHICLE_COLOR_STEEL": "ACERO"
"CUST_VARIANT_STRIPES_BIG": "RAYAS GRANDES"
"CUST_VARIANT_BAGGAGE": "EQUIPAJE"
"CUST_ITEM_CM_PSF_UBDY_M_JERSEY23": "JERSEY TIRO LIBRE DE HOMBRE"
"VEHICLE_PAINT_SPECIAL_PLASTIC": "PLÁSTICO ESPECIAL"
"SLOT_FENDER_SKIRT": "EXTENSIÓN GUARDABARROS"
"SLOT_DASH": "SALPICADERO"
"CUST_VARIANT_CMBOT_WSLACKME01": "SÓLIDO"
"CUST_VARIANT_PLAID_SMALL": "CUADROS 1"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-UP": "ANORAK AMOROSO"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_SIZE_TEXT": "TAMAÑO MEDIO LABIO INFERIOR"
"CUST_COLOR_CLOTHING_BLUES_4": "AZUL 4"
"CUST_COLOR_CLOTHING_RED-ORANGE_2": "NARANJA ROJIZO 2"
"VEHICLE_COLOR_TRUMPET_YELLOW": "AMARILLO TROMPETA"
"CUST_VARIANT_TRACK_A": "ESTILO 4"
"CUST_VARIANT_TRIANGLE": "EN TRIÁNGULO"
"CUST_VARIANT_POLICE_CHIEF": "INSIGNIA DE JEFE DE POLICÍA"
"CUST_ITEM_CM_NECK_ROPECHAIN": "CADENA LIGERA"
"CUST_ITEM_CM_LPE_HAND_M_GLOVESCOMB": "GUANTES DE SOLDADO DEL FUTURO"
"VEHICLE_COLOR_TOBIAS_FUR_WHITE": "BLANCO PELO DE TOBÍAS"
"SLOT_DECAL_4": "PEGATINA 4"
"CUST_VARIANT_PIMPCOAT_COAT": "LISO"
"CUST_ITEM_CM_DLC_HEAD_M_SHARKHAT": "SOMBRERO MORDISCO SHARK"
"FACIAL_EXPRESSION_DISGUSTED": "INDIGNADO"
"VEHICLE_COLOR_TANGERINE_ORANGE": "NARANJA MANDARINA"
"CUST_VARIANT_FLAME": "LLAMA"
"CUST_WEAR_BOTH_ROLLED_UP": "AMBAS ENROLLADAS"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2C": "CAMISETA 3/4 URBAN SAFARI"
"CUST_ITEM_CM_LPG_MASK_M_MASKDOG": "ESTILO PERRO"
"CUST_COLOR_CLOTHING_BLUE-GREEN_2": "VERDE AZULADO 2"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_4": "La granada se adhiere a todo lo que toca."
"VEHICLE_COLOR_SLATE_GRAY": "GRIS PIZARRA"
"VEHICLE_COLOR_KHAKI_GREEN": "VERDE CAQUI"
"VEHICLE_COLOR_HOT_PINK": "ROSA FUERTE"
"CUST_VARIANT_CLOUDS": "NUBES"
"CUST_ITEM_CM_RADIATIONSUIT": "ARDIENTE"
"CUST_ITEM_CF_LPH_UBDY_F_CLSWEATER": "SUÉTER DE ¡ARRIBA, CHICOS!"
"CUST_ITEM_CM_LPH_NECK_M_PIRATENECKLACE": "RECOMPENSA DE PIRATA"
"CUST_INSULT_Q": "QUE TE JODAN"
"CUST_COLOR_CLOTHING_GREENS_5": "VERDE 5"
"CUST_COMP_FACE_SCAR_1": "CICATRIZ GRANDE 1"
"CUST_COMP_MALE_EYEBROWS": "EL HOMBRE NATURAL"
"SLOT_LICENSE_PLATE": "MATRÍCULA"
"LOGO_UNIVERSITY_2": "U DE STILWATER 2"
"CUST_CAT_HAIR_HEAD": "CABEZA"
"CUST_SKIN_BLUE_5": "AZUL CONGELADO"
"PLAYER_MORPH_OUTER_BROW_ELEVATION_TEXT": "ALTURA EXTERIOR CEJA"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_9": "AZUL VIOLETA 9"
"VEHICLE_PAINT_GANG_SOS": "SONS OF SAMEDI"
"CUST_VARIANT_SHIRT_A": "ESTILO 1"
"CUST_ITEM_CM_LLO_FOOT_M_LTHRBOOTS": "BOTAS DE POCKET ROCKET"
"CUST_ITEM_CF_LPE_HAT_F_MHELMET": "SOLDADO JOVEN"
"CUST_INSULT_E": "CUARTO GRADO"
"CUST_BODY": "COMPLEXIÓN"
"PLAYER_MORPH_NOSE_TEXT": "NARIZ"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_4": "Las balas incendiarias incrementan la temperatura. La mira láser mejora la precisión al disparar desde la cadera."
"CUST_COMP_FINGERNAILS_L": "PINTAUÑAS"
"CUST_TATTOO_RCALF_6": "DIABLESA"
"CUST_TATTOO_LARM_1": "SAINT DEMONIO"
"CUST_TATTOO_LUPPARM_3": "HOMBRE AL SOL"
"CUST_COMP_FEMALE_EYEBROWS_1": "SUPERDEPILADAS"
"CUST_VARIANT_FLAME_2": "LLAMA 2"
"CUST_VARIANT_CHECKERS": "CUADROS"
