"CUST_ITEM_CF_HAIR_MED": "セミロング"
"CUST_ITEM_CM_NLME_EYES_M_SUNGLASSES": "ネットワークサングラス"
"PLAYER_MORPH_MOUTH_EDGES_TEXT": "口の縁"
"COLOR_SLOT_TRIM_3": "トリム3"
"LOGO_FLOWERS": "FLOWERS"
"COMPONENT_PAINT_1": "ペイント1"
"CUST_WEAR_LOW": "低め"
"CUST_ITEM_CF_LLR_NECK_F_IVORYCHOKER": "セクシーレースチョーカー"
"CUST_CAT_HAIR_EYEBROWS": "眉"
"CUST_EXIT_WARNING_TITLE": "警告"
"PLAYER_CREATION_FIGURE_ATHLETIC": "アスリート"
"LOGO_SIZZURP": "Sizzurp 101.69"
"CUST_ITEM_CM_PSI_HAT_M_SRCAP": "セインツキャップ"
"PLAYER_MORPH_NOSE_TIP_TEXT": "鼻の頭"
"VEHICLE_COLOR_TEAL_DARK_TINT": "ダークスモーク（ティール）"
"CUST_COLOR_GRAY_1": "グレー1"
"VCUST_UNDERGLOW_COLOR": "アンダーグロウカラー"
"CUST_GANG_NUDE": "ヌーディスト"
"CUST_COLOR_CLOTHING_RED-ORANGE_6": "レッドオレンジ6"
"COLOR_SLOT_TINT": "スモーク"
"CUST_VARIANT_TRENCH": "無地"
"CUST_ITEM_LEATHER_LACE_MALE_I": "バイカーレザー"
"CUST_ITEM_CM_HAT_CARDINAL_HAT": "カーディナルハット"
"CUST_MENU_LOGO_COLOR": "ロゴカラー"
"CUST_COLOR_CLOTHING_BLUE-GREEN_6": "ブルーグリーン6"
"CUST_COMP_EYES_BLACK": "ブラック"
"SLOT_HEADLIGHTS": "ヘッドライト"
"CUST_VARIANT_MATERIAL_15": "CUST_VARIANT_MATERIAL#15"
"CUST_ITEM_CM_LPC_FOOT_M_HEROBOOTS": "スティールポートヒーローブーツ"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_2": "連射速度、装弾数、攻撃力を上げます。ドットサイトはエイム中の精度を上げます"
"CUST_VARIANT_JEANS": "ノーマル"
"CUST_VARIANT_STRIPE_2": "ボーダー柄"
"CUST_WEAR_LOW_BOTH_ZIPPED": "低"
"CUST_ITEM_IMPRESSIONS_MALE_M": "クールビーチスタイル"
"CUST_ITEM_CM_HATHAIR_PULLEDPONYTAIL": ""
"NOBODY_LOVE_NAME": "NOBODY LOVES ME"
"CUST_COLOR_CLOTHING_GREENS_1": "グリーン1"
"CUST_COMP_FACE_SCAR_5": "傷あと（小）1"
"CUST_COMP_MUSTACHE_9": "インスペクター"
"FEMALE_SLENDER": "女性 痩せ型"
"CUST_VARIANT_FLAT_TOP_SHORT_SIDES": "フラットトップ横短め"
"CUST_ITEM_CF_RING_F_LDYBUG_SPIDER": "テントウムシ&スパイダーリング"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2D": "アーバンサファリ&タートルネック"
"CUST_SKIN_BLUE_1": "ダークブルー"
"CUST_COMPLIMENT_Z": "サムズアップ"
"IRIDESCENT_3": "レインボー3"
"DARK_YELLOW": "ダークイエロー"
"PLAYER_MORPH_EARS_ROLL_TEXT": "耳の角度2"
"PLAYER_MORPH_LIP_NOTCH_TEXT": "唇のくぼみ"
"PLAYER_MORPH_JOWLS_TEXT": "下顎"
"CUST_COLOR_CLOTHING_RED_3": "レッド3"
"RIM_190": "C-X 504 GREEN-BLACK"
"LOGO_CAVE_3": "PHANTOM CAVE 3"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_SUSPENDERS": "パンツの位置かなり高め サスペンダー有"
"CUST_BODY_MASK": "ボディマスキング"
"CUST_COLOR_CLOTHING_YELLOWS_8": "イエロー8"
"CUST_TATTOO_RUPPARM_8": "シャーク"
"COLOR_SLOT_RIMS_2": "リム1"
"SLOT_WEAPONS": "武器"
"CUST_COLOR_ORANGE_3": "オレンジ3"
"CUST_WEAR_TATTOO_SAM_DESIGN1": "サムデザイン1"
"CUST_WEAR_BUTTONED_HOOD_UP": "ボタン留フードアップ"
"CUST_ITEM_ZIMOS_BLING_PACK": "ズィーモス"
"CUST_COLOR_STRAWBERRY_BLONDE": "ストロベリーブロンド"
"LOGO_FRECKLE_1": "FRECKLE BITCHS 1"
"CUST_VARIANT_JERSEY": "スタイル1"
"CUST_ITEM_CF_DLC_SPACE_HAND_F_GLOVES": "スペースガールグローブ"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHRTBTTNS": "モッズスタイル"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_D": "LETS PRETEND（男性用）D"
"CUST_CAT_HAIR_FACIAL": "ひげ"
"CUST_SAMEDI_TAUNT_A": "サムディ挑発1"
"SLOT_HYDRAULICS": "ハイドロ"
"HAIR_COLOR_STRAWBERRY_BLONDE_MATTE": "ストロベリーブロンド（マット）"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBODOWN": "レイジーパーカー"
"CUST_INSULT_HOOK": "右フック"
"CUST_MENU_HAIR": "毛髪"
"CUST_COMP_EYES_GREEN": "グリーン"
"CUST_TATTOO_LFORARM_8": "片翼"
"COMPONENT_OPTION_E": "オプションE（使用禁止）"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_I": "ヒップホップレジェンド"
"CUST_CAT_MAKEUP_AROUND_EYES": "目の周り"
"CUST_SAMEDI_COMPLIMENT_D": "サムディ敬意4"
"VEHICLE_COLOR_CAST_IRON": "キャスト・アイアン"
"CUST_ITEM_IMPRESSIONS_FEMALE_Q": "デザイナードレス"
"CUST_ITEM_FEMALE_LP_BRA_2": "ハニートラップ"
"CUST_SKIN_RED_YELLOW_5": "シルキーイエロー"
"CUST_SKIN_METAL_2": "マーキュリー"
"CUST_COMP_FACE_MAKEUP_11": "ターゲット"
"LOGO_HHH": "HAIR HELMET HATS"
"CUST_VARIANT_BLURRY": "ぼやけた"
"CUST_WEAR_OPEN": "オープン"
"CUST_ITEM_CM_DLC_M_GLASSES01": "ズィーモススカウトパック"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_H": "ギャングスタガール"
"CUST_CAT_LEFT_HAND": "右手"
"PLAYER_MORPH_EYEBALLS_ELEVATION_TEXT": "眼球の高さ"
"PLAYER_MORPH_CHEEK_WIDTH_TEXT": "頬の幅"
"CUST_COLOR_CLOTHING_RED_7": "レッド7"
"RIM_194": "AF1 MONOBLOCK CX 502"
"SLOT_WINDOW_GUARD": "ウィンドウガード"
"CUST_VARIANT_MATERIAL_#172": "ノーマル"
"CUST_COMP_FACE_WART_2": "イボ2"
"SLOT_MISC_COLOR": "その他の色彩"
"CUST_VARIANT_FOREST_CAMO": "フォレスト迷彩"
"CUST_ITEM_FEMALE_LP_EARRINGS_4": "エイリアンピアス"
"CUST_ITEM_CM_PSJ_UBDY_M_BDSHIRTVEST": "セーターベスト&シャツ"
"CUST_ITEM_THREE_QUARTER_T_SHIRT": "ツイールジンジン"
"CUST_ITEM_LEFT_UPPER_ARM_GEISHA_02": "ノックアウトバンデージ"
"STORE_WEAPON_OWNED": "所有"
"CUST_COMP_EYES_YELLOW": "イエロー"
"CUST_VARIANT_CMCOA_UCOPVEST1": "警察"
"CUST_VARIANT_FLOWERS": "フラワー"
"CUST_WEAR_BACK LEFT": "バックレフト"
"VEHICLE_COLOR_PINK_DARK_TINT": "ダークスモーク（ピンク）"
"COLOR_SLOT_PAINT_1": "塗装1"
"COLOR_SLOT_INTERIOR_1": "内装1"
"COMPONENT_OPTION_A": "オプションA（使用禁止）"
"CUST_NO_ITEMS": "ロゴなし"
"LOGO_VOLITION_3": "VOLITION 3"
"CUST_PRIMARY_COLOR": "メインカラー"
"PLAYER_MORPH_SKULL_SIZE_TEXT": "頭頂部の大きさ"
"PLAYER_MORPH_LOWER_LIP_NOTCH_TEXT": "下唇のくぼみ"
"OPTION_40": "オプション40"
"RIM_131": "R131"
"CUST_ITEM_CM_NLMC_UBDY_M_SHIRTCOMBO": "レイヴキャンディーコンボ"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPUP": "ウィメンズトラックトップ（フードアップ）"
"CUST_ITEM_WORKER_BOOTS": "バッドガールブーツ"
"CUST_ITEM_PARACHUTE_BACKPACK": "ピンクキャット"
"CUST_TATTOO_HEAD": "頭"
"PLAYER_MORPH_LOWER_LIP_SIDES_SIZE_TEXT": "下唇外側の大きさ"
"CUST_VARIANT_FLOWER": "フラワー"
"CUST_SKIN_RED_YELLOW_1": "ディープレッド"
"VEHICLE_COLOR_STEEL": "スチール"
"CUST_VARIANT_STRIPES_BIG": "ビッグストライプ"
"CUST_VARIANT_BAGGAGE": "手荷物"
"CUST_ITEM_CM_PSF_UBDY_M_JERSEY23": "フリースロージャージ（メンズ）"
"VEHICLE_PAINT_SPECIAL_PLASTIC": "特殊プラスチック"
"SLOT_FENDER_SKIRT": "フェンダースカート"
"SLOT_DASH": "ダッシュボード"
"CUST_VARIANT_CMBOT_WSLACKME01": "無地"
"CUST_VARIANT_PLAID_SMALL": "格子模様1"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-UP": "ダウンジャケット"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_SIZE_TEXT": "下唇中央の大きさ"
"CUST_COLOR_CLOTHING_BLUES_4": "ブルー4"
"CUST_COLOR_CLOTHING_RED-ORANGE_2": "レッドオレンジ2"
"VEHICLE_COLOR_TRUMPET_YELLOW": "トランペット・イエロー"
"CUST_VARIANT_TRACK_A": "スタイル4"
"CUST_VARIANT_TRIANGLE": "トライアングル"
"CUST_VARIANT_POLICE_CHIEF": "署長バッジ"
"CUST_ITEM_CM_NECK_ROPECHAIN": "ライトチェーン"
"CUST_ITEM_CM_LPE_HAND_M_GLOVESCOMB": "ストームソルジャーグローブ"
"VEHICLE_COLOR_TOBIAS_FUR_WHITE": "トビアスファーホワイト"
"SLOT_DECAL_4": "ステッカー4"
"CUST_VARIANT_PIMPCOAT_COAT": "プレインスカウトコート"
"CUST_ITEM_CM_DLC_HEAD_M_SHARKHAT": "シャークハット"
"FACIAL_EXPRESSION_DISGUSTED": "嫌悪"
"VEHICLE_COLOR_TANGERINE_ORANGE": "タンジェリン・オレンジ"
"CUST_VARIANT_FLAME": "炎"
"CUST_WEAR_BOTH_ROLLED_UP": "左右ロールアップ"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2C": "アーバンサファリショートTシャツ"
"CUST_ITEM_CM_LPG_MASK_M_MASKDOG": "イヌマスク"
"CUST_COLOR_CLOTHING_BLUE-GREEN_2": "ブルーグリーン2"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_4": "当たったものにくっつきます"
"VEHICLE_COLOR_SLATE_GRAY": "スレート・グレー"
"VEHICLE_COLOR_KHAKI_GREEN": "カーキ・グリーン"
"VEHICLE_COLOR_HOT_PINK": "ホット・ピンク"
"CUST_VARIANT_CLOUDS": "雲"
"CUST_ITEM_CM_RADIATIONSUIT": "消防服"
"CUST_ITEM_CF_LPH_UBDY_F_CLSWEATER": "チアリーダーセーター"
"CUST_ITEM_CM_LPH_NECK_M_PIRATENECKLACE": "パイレーツネックレス"
"CUST_INSULT_Q": "エフユー"
"CUST_COLOR_CLOTHING_GREENS_5": "グリーン5"
"CUST_COMP_FACE_SCAR_1": "傷あと（大）1"
"CUST_COMP_MALE_EYEBROWS": "ナチュラル眉（男性）"
"SLOT_LICENSE_PLATE": "ナンバープレート"
"LOGO_UNIVERSITY_2": "STILWATER U 2"
"CUST_CAT_HAIR_HEAD": "頭髪"
"CUST_SKIN_BLUE_5": "フローズンブルー"
"PLAYER_MORPH_OUTER_BROW_ELEVATION_TEXT": "眉の高さ 外側"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_9": "バイオレットブルー9"
"VEHICLE_PAINT_GANG_SOS": "サンズオブサムディ"
"CUST_VARIANT_SHIRT_A": "スタイル1"
"CUST_ITEM_CM_LLO_FOOT_M_LTHRBOOTS": "ポケットロケットブーツ"
"CUST_ITEM_CF_LPE_HAT_F_MHELMET": "バトルヘルメット"
"CUST_INSULT_E": "マセガキ"
"CUST_BODY": "体格"
"PLAYER_MORPH_NOSE_TEXT": "鼻"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_4": "レーザーサイトは非エイム時の精度を上げます。\n焼夷弾は敵を炎で包みます"
"CUST_COMP_FINGERNAILS_L": "マニキュア"
"CUST_TATTOO_RCALF_6": "デビル"
"CUST_TATTOO_LARM_1": "デーモン"
"CUST_TATTOO_LUPPARM_3": "太陽"
"CUST_COMP_FEMALE_EYEBROWS_1": "極細"
"CUST_VARIANT_FLAME_2": "炎2"
"CUST_VARIANT_CHECKERS": "チェッカー"
"CUST_VARIANT_CMSHO_UUTIBOOT03": "革"
"CUST_VARIANT_STRIPES_3": "ストライプ3"
"CUST_TATTOO_UPPER_LEG_RIGHT": "右脚上部"
"CUST_TATTOO_ENTIRE_ARM_LEFT": "左腕全体"
"LOGO_TUX": "TUXEDO"
"CUST_VARIANT_RIVET": "飾り鋲"
"CUST_VARIANT_MATERIAL_3": "CUST_VARIANT_MATERIAL#3"
"CUST_ITEM_FEMALE_PS_EARRINGS_3": "ギャル系フープピアス"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_H": "チアガール"
"CUST_COMPLIMENT_J": "ジェンキン"
"PLAYER_MORPH_EARS_WIDTH_TEXT": "耳の出っ張り"
"PLAYER_MORPH_EYES_TEXT": "目"
"CUST_COMP_EYE_MAKEUP_9": "ソフトライナー"
"VEHICLE_COLOR_ALLOY": "アロイ"
"VEHICLE_COLOR_FURIOUS_ORANGE": "フュリアス・オレンジ"
"RIM_182": "SD WGM TB"
"LOGO_GHOST_2": "GHOST 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ROLLED": "左ジッパー開け右まくりあげ（高）"
"PRESET_WARNING_BODY2": "変更はすべて失われます。\n元に戻すことはできません。\n続行しますか？"
"CUST_COLOR_GRAY": "グレー"
"PLAYER_MORPH_LOWER_LID_SLANT_TEXT": "下まぶたの角度"
"CUST_TATTOO_RFORARM_3": "スネーク"
"CUST_COMP_FACE_BLOODY_SMEAR": "血痕"
"CUST_COMP_FACE_MOLE_2": "ホクロ2"
"VEHICLE_COLOR_PINK_SALMON": "サーモンピンク"
"CUST_ITEM_STAG_OUTFIT": "STAGユニフォーム"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPDN": "ウィメンズトラックトップ（フードダウン）"
"CUST_CAT_HAT": "帽子"
"CUST_SKIN_GREY_2": "スレイトグレー"
"COMPONENT_ADD_REINFORCED_FRAME": "強化フレーム"
"CUST_VARIANT_PECTORAL_COLORS": "ブロック"
"CUST_WEAR_ZIPPED": "ジッパー閉"
"CUST_ITEM_MALE_NLM_OUTFIT_A": "スチームパンクファイター"
"CUST_ITEM_SWAT_PANTS": "キャットファイトタイツ"
"PLAYER_CREATION_AGE_OLD": "高齢"
"PLAYER_MORPH_JAW_HEIGHT_TEXT": "顎骨の高さ"
"VEHICLE_PAINT_GLOSS_PAINT": "グロス塗料"
"CUST_ITEM_CM_IMPE_EYES_M_SUNGLASSES": "マイアミアビエーターサングラス"
"CUST_SKIN_GREEN_2": "ダークグリーン"
"CUSTOM_WALK_9": "悪党5"
"PLAYER_MORPH_UPPER_EYELIDS_ROLL_TEXT": "上まぶたの曲り具合"
"VEHICLE_COLOR_TINT_70": "スモーク70%%"
"VEHICLE_COLOR_WHITE_GOLD": "ホワイト・ゴールド"
"CUST_VARIANT_PLASTIC": "プラスチック"
"CUST_WEAR_HIGH_BOTH_ZIPPED": "高"
"CUST_TATTOO_TORSO_FRONT": "胸部全体"
"CUST_ITEM_CF_DLC_BC_OUTFIT": "ブラッディ・キャノネス"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-DN": "ファー付きダウンジャケット"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_3": "投てき距離が伸びます"
"CUST_COMP_EYES_PURPLE": "パープル"
"CUST_COLOR_BRIGHT_PINK": "明るいピンク"
"COMPONENT_CHASSIS": "コンポーネントシャーシ"
"LOGO_MECH_1": "MECH 1"
"PLAYER_MORPH_EAR_PITCH_TEXT": "耳の角度1"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_2": "イエローグリーン2"
"CUST_TATTOO_CHEST_1": "銃"
"CUST_COMP_TEST_EYE_MAKEUP": "ミッドナイトメイク"
"VEHICLE_COLOR_GREEN_LIGHT_TINT": "ライトスモーク（グリーン）"
"COLOR_SLOT_TRIM_AND_RIMS": "トリムとリム"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRTUP": "ギャングスタスウェット（フードアップ）"
"CUST_ITEM_FEMALE_LL_EARRINGS_4": "バッドコップイヤリング"
"CUST_ITEM_WOMEN'S_BRA_3": "コンフォートブラジャー"
"CUST_COMP_FACE_BANDAGE_2": "ばんそうこう（額）"
"VEHICLE_COLOR_TINT_100": "スモーク100%%"
"CUST_VARIANT_MUSCLE_SHIRT_TUCKED": "タイトシャツ裾入れ"
"CUST_ITEM_CM_CNC_FOOT_M_SNEAKERS": "CROOKS & CASTLESスニーカー"
"CUST_ITEM_CM_NLMC_LBDY_M_PANTS": "ハッピーレイヴパンツ"
"PLAYER_CREATION_MENU_6": "肌"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_7": "イエローオレンジ7"
"CUST_TATTOO_LHAND_5": "ボーン"
"CUST_COLOR_INDIGO_1": "インディゴ1"
"CUST_VARIANT_SMALL_POLKA_DOTS": "水玉模様スモール"
"CUST_ITEM_CM_RIP_UBDY_3RDST": "RIPPLE JUNCTIONサードストリート"
"CUST_ITEM_CM_LLL_LBDY_M_LPANTS": "クロップドカーゴパンツ"
"CUST_MORPH_CAT_EARS": "耳"
"CUST_COMP_EYES_CAT_GREEN": "ネコ目グリーン"
"VEHICLE_COLOR_DYNASTY_BLUE": "ダイナスティ・ブルー"
"SLOT_RIMS_REAR": "リアリム"
"COMPONENT_DECAL_8": "デカール8"
"PAINT_2": "ペイント2"
"CUST_VARIANT_POLO": "ポロ1"
"CUST_MOVEMENT_WALK": "徒歩スタイル"
"VEHICLE_COLOR_BROWN_LIGHT_TINT": "ライトスモーク（ブラウン）"
"SLOT_WINDOWS": "ウィンドウ"
"CUST_VARIANT_CRAZY_JACKET_TEST": "クレイジーテストジャケット"
"CUST_WEAR_NORMAL_HIGH": "普通（高）"
"CUST_ITEM_CM_LLL_HAND_M_LGLOVES": "バイカーグローブ"
"HASH_C1DEC751": "ダラス"
"CUST_COMP_MALE_EYEBROWS_3": "ワイルド"
"VEHICLE_COLOR_COCONUT_TAN": "ココナッツタン"
"DARK_PURPLE": "ダークパープル"
"CUST_VARIANT_TAPE": "テープ"
"CUST_ITEM_CF_PSC_FOOT_F_OTHEALS": "オープントゥーパンプス"
"CUST_ITEM_MEN_S_LARGE_BELT_CHAIN": "アームバンド"
"CUST_RONIN_TAUNT_C": "ローニン挑発3"
"CUST_PRESET_RACE": "人種"
"PLAYER_MORPH_EARS_PITCH_TEXT": "耳の角度1"
"CUST_COLOR_CLOTHING_ORANGE_4": "オレンジ4"
"SLOT_BUMPERS": "バンパー"
"CUST_VARIANT_TRIM": "トリム"
"CUST_RACE_WHITE": "白人"
"FACIAL_EXPRESSION_EVIL": "邪悪"
"CUST_VARIANT_VERT_STRIPES": "垂直ストライプ"
"CUST_VARIANT_SEMI_GLOSS": "セミグロス"
"CUST_VARIANT_MULTICOLOR_MEDIUM": "多色ミディアム"
"CUST_WEAR_TUCKED_HIGH_PANT_SUSPENDERS": "腰深 サスペンダー有"
"CUST_ITEM_CM_DLC_UBDY_ABOY": "侍者の法衣"
"CUST_ITEM_CM_LLL_UBDY_M_LJACKET": "バイカージャケット"
"MALE_HUGE": "男性 大柄"
"CUST_ITEM_CM_NLME_FOOT_M_COMBATBOOTS": "ネットワークコンバットブーツ"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_3": "ダイヤモンドピアス（右）"
"CUST_MORPH_CAT_FOREHEAD": "おでこ"
"PLAYER_MORPH_SEPTUM_ELEVATION_TEXT": "鼻下の高さ"
"PLAYER_CREATION_MENU_2": "頭"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_6": "イエローグリーン6"
"CUST_TATTOO_CHEST_5": "チャーチ"
"VEHICLE_COLOR_ROYAL_PURPLE": "ロイヤル・パープル"
"LOGO_HOE": "ETA OMICRON EPSILON"
"CUST_ITEM_CM_IMPO_UBDY_M_CARDIGAN": "ネイバーカーディガン"
"CUST_MORPH_CAT_NOSE": "鼻"
"CUST_COMP_MUSTACHE_19": "リトルパッチライン"
"RIM_INDUSTRIAL": "インダストリアル"
"OPTION_39": "オプション39"
"SLOT_COLOR_SCHEMES": "カラーコーディネート"
"CUST_VARIANT_FULL_STRIPES": "フルストライプ"
"CUST_ITEM_CF_RING_F_WEDDINGBAND": "ウェディングリング"
"PLAYER_MORPH_MUSCLE_TEXT": "筋肉"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_3": "イエローオレンジ3"
"CUST_TATTOO_LHAND_1": "L E F T"
"CUST_COLOR_PURPLE_4": "パープル4"
"CUST_ITEM_CF_RING_F_ALIENHEAD": "エイリアンリング"
"CUST_ITEM_CM_HAIR_LONGBG": "ロックガール"
"CUST_ITEM_LEFT_FOREARM_KILLA01": "ストライプブレスレット"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_4": "レーザー誘導ロケットは照準を追尾し、ターゲットシステムで敵をロックオンできるようになります"
"CUST_TATTOO_RCALF_2": "祈り"
"CUST_TATTOO_LARM_5": "リリー"
"CUST_TATTOO_LUPPARM_7": "ローニンソード"
"CUST_COMP_FEMALE_EYEBROWS_5": "太め(女性）"
"CUST_COMP_EYES_BROWN": "ブラウン"
"Auburn": "とび色  "
"CUST_RACE_HISPANIC": "ラテンアメリカ系"
"CUST_ITEM_CM_RIP_UBDY_WEAPONS": "RIPPLE JUNCTIONギャングバスターズ"
"CUST_ITEM_CM_IMPN_UBDY_M_CJTURTLENECK": "コート&タートルネック"
"CUST_ITEM_CM_IMPN_HAT_M_HAT": "シンプルハット"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_1": "ホットピンク ローライズ"
"PLAYER_MORPH_EYEBALLS_DEPTH_TEXT": "眼球の出っ張り"
"PLAYER_MORPH_EYEBALL_SIZE_TEXT": "眼球の大きさ"
"CUST_VARIANT_STRAPLESS": "ストラップレス"
"CUST_ITEM_CM_IMPM_HAT_M_HAT": "カバナハット"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATERTN": "ランウェイタートルネック"
"CUST_CAT_FACE_WEAR": "フェイスアクセサリー"
"CUST_INSULT_A": "ペット探偵"
"PLAYER_MORPH_UPPER_LIP_SIZE_TEXT": "上唇の厚さ"
"PLAYER_MORPH_EAR_WIDTH_TEXT": "耳の出っ張り"
"PLAYER_MORPH_EAR_RIM_TEXT": "耳の縁"
"CUST_COMP_FACE_NATURAL_EYES": "自然な目"
"CUST_VARIANT_MEDIUM": "ミディアム"
"CUST_VARIANT_MATERIAL_7": "CUST_VARIANT_MATERIAL#7"
"CUST_ITEM_CM_IMPN_UBDY_M_CJTIE": "コートジャケット&シャツ（ネクタイ付）"
"CUST_COMPLIMENT_N": "ダラーダンディ"
"PLAYER_CREATION_PRESET_FEMALE": "女性"
"CUST_VARIANT_SMALL_STRIPES": "ストライプ（薄）"
"CUST_VARIANT_STIPES_1": "ストライプ1"
"CUST_ITEM_CF_IMPQ_HAT_F_LATEXHAT": "デザイナーハット"
"PLAYER_MORPH_NOSTRIL_SIZE_TEXT": "鼻腔の大きさ"
"PLAYER_MORPH_HAIR_TEXT": "髪の毛"
"CUST_GANG_GENERIC": "セイント"
"VEHICLE_PAINT_GANG_RONIN": "ローニン"
"CUST_VARIANT_WATCHBAND": "腕時計バンド"
"CUST_INSULT_DUMP": "クソ食らえ"
"PLAYER_MORPH_SKULL_BACK_LENGTH_TEXT": "後頭部の長さ"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_4": "グレネードランチャーは手榴弾をより速く、遠くまで飛ばします。ボックスマガジンが装弾数を上げます"
"RIM_186": "V-F 605"
"SLOT_WEAPON_1": "武器1"
"DARK_YELLOW-GREEN": "ダークイエローグリーン"
"CUST_VARIANT_THREE_COLORS": "3色"
"CUST_VARIANT_TIES_": "ネクタイ"
"CUST_ITEM_CM_CNC_UBDY_M_BLKLOGOA": "CROOKS & CASTLES Tシャツ A"
"CUST_ITEM_PLANETSAINTS_TRAILBLAZING": "防火服"
"CUST_BRO_TAUNT_C": "ブラザーフッド挑発3"
"PLAYER_MORPH_SKULL_BACK_DEPTH_TEXT": "後頭部の出っ張り"
"PLAYER_MORPH_MOUTH_WIDTH_TEXT": "口の幅"
"VEHICLE_PAINT_STANDARD_MATERIAL": "一般素材"
"COMPONENT_REGULAR_PROFILE": "標準"
"SLOT_SUSPENSION_STYLE": "サスペンションスタイル"
"SLOT_PRIMARY_SURFACES": "第1表面"
"CUST_VARIANT_LARGE_FLOWERS": "フラワーラージ"
"CUST_ITEM_CF_LLJ_HAND_F_LTHRGLOVES": "ライダースグローブ"
"CUST_ITEM_MALE_NLM_OUTFIT_E": "ストラテジストコレクション"
"CUST_ITEM_CM_LPH_HAND_M_PIRATEGLOVES": "パイレーツグローブ"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_3": "連射速度を上げ反動を小さくします"
"CUST_TATTOO_RFORARM_7": "セインツアセンション"
"CUST_TATTOO_UPPBACK_8": "エンジェル"
"CUST_COMP_FACE_MOLE_6": "ホクロ6"
"SEXY_1": "セクシー1"
"CUST_VARIANT_LEATHER_SKIRT": "レザー"
"CUST_WEAR_FRONT LEFT": "フロントレフト"
"PLAYER_MORPH_LOWER_EYELIDS_PITCH_TEXT": "下まぶたの高さ"
"PLAYER_MORPH_EYELID_SHAPE_TEXT": "まぶたの形"
"CUST_COMP_EYE_MAKEUP_12": "パンクライナー"
"SLOT_NITROUS_DESC": "ニトロを車両に追加すると、速度が必要なときにバーストスピードが出せる"
"LOGO_BRITISH": "BRITISH FLAG"
"CUST_VARIANT_STRETCHED_HORIZONTAL": "ボーダー柄"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_SUSPENDERS": "裾入れ かなり腰深 サスペンダー有"
"CUST_ITEM_CM_FPIC_SETA": "左眉スタッド＆鼻スタッドセット"
"CUST_ITEM_CM_NLMB_FOOT_M_SNEAKERS": "ブラザースニーカー"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_3": "携行できる爆弾が増えます"
"CUST_TATTOO_NECK_6": "スパイダー"
"SLOT_SPOILER": "スポイラー"
"CUST_VARIANT_FEEDDOGS": "フィードドッグス"
"CUST_ITEM_CM_NECK_SHORTCHAIN": "チェーンチョーカー"
"CUST_ITEM_CM_HAIR_SIDEPARTMED2": "ショート右"
"CUST_ITEM_MALE_KILLBANEMASK": "キルベインのマスク"
"CUST_ITEM_BASIC_WRISTBAND_RIGHT": "クラシックブレスレット"
"CUST_HAIR_ACCESSORY_COLOR": "ヘアアクセサリーカラー"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_4": "ミサイルの数を増やします"
"CUST_TATTOO_LOWBACK_2": "フットプリント"
"CUST_COLOR_BLONDE": "ブロンド"
"CUST_COLOR_FLESH_2": "ベージュ2"
"CUST_ITEM_CF_IMPR_UBDY_F_TURTLENECK": "ヒルズタートルネック"
"CUST_ITEM_CF_HAIR_LONGDREADS": "ラスタ"
"CUST_ITEM_CF_HAIR_CHOPSTICKS": "チョップスティックス"
"CUST_ITEM_CF_NLMH_LBDY_F_SKIRT": "セクシーギャルスカート"
"CUST_ITEM_CF_PSC_UBDY_F_TTOPCOMBO": "トラックトップスセット"
