"HASH_B9F9F000": "Maybe later, alright?"
"HASH_A81D3C1A": "The boss was a lot more hardcore back in the day.  Managed to pull the Saints back from the grave. Didn't take any shit from anyone. Especially the Brotherhood, the Ronin or the Sons of Samedi.  Hell, anyone that got in the way lost everything they had, not just their life.  Still, it's too bad what happened to Carlos though.  He was a good kid."
"HASH_31B0081A": "Just say what you want, CID..."
"HASH_F1A76C1A": "Things are finally looking up!"
"HASH_1934C41A": "DELETE"
"HASH_FD80FC1A": "*sigh* So where is he?"
"HASH_20CC881A": "Uh, okay. Now the Cyprian Order hunt NyteBlayde too?"
"HASH_AF70AC1A": "That's what I figured."
"HASH_DCBAF41A": "Yeah, they've really improved over the years."
"HASH_48F3681A": "Asha, that light has a family..."
"HASH_CDF41C1A": "Oh Jesus."
"HASH_FFD5B01A": "Keith, listen to me!"
"HASH_8BC6181A": "So tell me what is this about."
"HASH_CDC7B01B": "You changed so much."
"HASH_1172EC1B": "Lord Almighty, look at the size of that thing--!"
"HASH_68DD281B": "Well, I suppose it's Pierce's turn."
"HASH_17A28C1B": "I'm the goddamned President."
"HASH_B660D01B": "FINALLY!"
"HASH_597A101B": "Been thinkin' about a name for this ship we got.  Since you were using my sister Angela's likeness for your statue back on earth, call it the Saint of Saints.  Would be a good tribute to her."
"HASH_FF6D781B": "Great."
"HASH_ECD6301B": "Will taking out the vehicle mess up the thing on board?"
"HASH_D7C9001B": "Shaundi, what about you?"
"HASH_7B1AD41B": "I want to feel you in my hands..."
"HASH_1868441B": "Maaaatt..."
"HASH_1D552C1B": "You're both failures. An MI6 agent trying to amend for making one mistake after another, and an aimless sociopath who poisons everything they touch."
"HASH_4699A41B": "Anthony's dead.  The Vice Kings are through."
"HASH_3F9FCC1B": "Heh. Neither am I."
"HASH_8FF72C1C": "Let's roll up on cancer and leave it bleeding in the street."
"HASH_E1E9981C": "You'll see me differently..."
"HASH_136BC41C": "What do you have in mind?"
"HASH_B2EEB01C": "Kinzie, I just had a horrible thought.  What if this portal starts pouring out the people from that godforsaken town I was trapped in?"
"HASH_D4A8D41C": "Way to go Kinzie!"
"HASH_1A9BB41C": "Have to admit, didn't think much of the boss when they first joined the crew. Thought there was no way they were gonna make it through being canonized, let alone be any help takin' over Stilwater. Hell, they didn't even talk back then. But after that shit with the Vice Kings, I knew we found ourselves one hell of a Saint. There's nothing the boss can't do."
"HASH_421CD41C": "Good point. So what's up?"
"HASH_5939701C": "Done, Kinzie."
"HASH_9451A01C": "You. Are so. Fucking. Dead."
"HASH_E38E001C": "Let's not forget saving hackers from a fate worse than bobby socks."
"HASH_0393F81C": "DO NOT fuck with my statue!"
"HASH_21598C1C": "Not a good sign if she's hangin' around."
"HASH_ABB5E41C": "Crikey, he's losing it!"
"HASH_1486A01C": "It seems in retaliation for your pissing all over his nice clean prison, Zinyak is flooding the simulation with hostile gangs from another simulation."
"HASH_720BC01C": "I have been watching you."
"HASH_E3B5141C": "I doubt it'll be that simple."
"HASH_4217F01C": "Okay, this is crazy-making..."
"HASH_90E3701C": "Aw, fuck me..."
"HASH_A5A8A81C": "With what?"
"HASH_1D95BC1C": "We're gonna need a bigger boat..."
"HASH_F50A801C": "It's a shame being fun isn't one of them."
"HASH_313E4C1D": "I figure once we're free, we need to get this ship to a new hiding spot. Somewhere safe, somewhere..."
"HASH_7E53741D": "You're wound up way too tight."
"HASH_CB05DC1D": "Why not?"
"HASH_8477801D": "Well, allow me to remove it then, yeah?"
"HASH_12CF481D": "Is Kinzie okay?"
"HASH_33914C1D": "Matt, if it makes any difference..."
"HASH_F29F281D": "Look, you're my boss. I just can't let that dynamic get ruined."
"HASH_61D6E01D": "Alright, you two with me.  Your turn to shine."
"HASH_0690541D": "Then let's not give her that chance."
"HASH_B7D9741D": "Fine. I'll go get us a vehicle."
"HASH_509D941D": "Where do these guys think they're running to?"
"HASH_D5527C1D": "...no."
"HASH_8A21F41D": "Hold up. An evil twin?"
"HASH_2E3D801D": "Murderbots? Oh. Wow."
"HASH_FE82C41D": "How 'bout a little ladle action."
"HASH_24B6F41E": "No. The brainwashing is too ingrained. I'll have to beat it out of him."
"HASH_2FCD101E": "Kinzie, sweetie, you're too tense. This is gonna be fine."
"HASH_857C241E": "Come on!"
"HASH_1B7CE81E": "So where is this \\"Army of Minions\\" at?"
"HASH_4C08C41E": "How many simulations is Asha having you build?"
"HASH_F85A701E": "I kill enough of you, I'll just build a ladder back to Earth!"
"HASH_C8764C1E": "Ben asked me to do the audio version of his book. He does know the Earth is blown up, right?"
"HASH_BA93741E": "The Saints own this simulation. Let's remind the Zin about that fact."
"HASH_555F141E": "Johnny, you having fun yet?"
"HASH_0737201E": "Yep."
"HASH_5E702C1E": "Oh god..."
"HASH_C7C6E81F": "Just... just go.  You know, back through THE DOORS I CREATED.  Argh!"
"HASH_86243C1F": "What?!"
"HASH_6B60F01F": "*sigh*  Your funeral..."
"HASH_CD458C1F": "The bonus targets are sure taking some hits."
"HASH_8939681F": "I know you've done this virus injection before but it's really good character development!"
"HASH_858E3C1F": "Don't go in there, Johnny."
"HASH_78646C1F": "God, I feel sick..."
"HASH_95755C1F": "I jumped on the flashy lights, now can you help me kill Zinyak already?"
"HASH_3800EC1F": "She's breathing."
"HASH_0BA3681F": "Women are the support system. It is their duty to make sure the needs of our home are met. It falls on them to raise children who are obedient, respect their elders, and are accepting of their future roles in the world."
"HASH_9D02401F": "Freckle Bitches Get!"
"HASH_68BBA020": "You're not going to teach me to play chess, are you?"
"HASH_79D19420": "Never doubted you for a second, Shaundi!"
"HASH_D3E08C20": "Well shit..."
"HASH_D5BF2020": "Don't suppose you got a way to fit this robot through the door, do you?"
"HASH_62138020": "Matt, get back!"
"HASH_D8320C20": "Attacked en route to the main villain. Nicely played, Matt. Good escalation of conflict."
"HASH_6CD78020": "Kinzie, be nice. But seriously what the hell?"
"HASH_291BD420": "So who set up this race?"
"HASH_56DF5020": "Yeah...a crazy, murder filled pet store...."
"HASH_1BF46420": "What the hell's he gonna do with a broadcast tower?"
"HASH_046D4820": "That must've been nice..."
"HASH_0270F020": "I knew Genki couldn't be too far behind."
"HASH_DB279C20": "Sure, CID."
"HASH_E4D49C20": "You're really reaching here..."
"HASH_D44AD820": "Is it a good plan?"
"HASH_2FFF3421": "Both of you in!"
"HASH_D772CC21": "I'm doing most of the work."
"HASH_E0DC3421": "On it."
"HASH_F64EF421": "Hold on, look at that gold floating robot thing.  I think it's controlling the security program here."
"HASH_F981B821": "It's charged. What next?"
"HASH_81578821": "I'm not happy, Shaundi..."
"HASH_A868F021": "DELETE"
"HASH_38FEFC21": "Thanks for clearing that up Matt."
"HASH_77DD0021": "Well, fuck.  Is anything gonna go right here?"
"HASH_22AF3421": "HUB?"
"HASH_2B68CC21": "Just keep going, we won't let him get away."
"HASH_B381F821": "There's gotta be something around here, Kinzie!"
"HASH_BE8AB821": "She's corrupting people with some sort of virus that's turning them all into her sex trade workers.  Matt's figured out how to stop it, and once that's done we need to end Tanya for good."
"HASH_67D2F421": "Chill, girl, I didn't mean nothing by it."
"HASH_5BEC3C21": "Believe me, that's a bad idea."
"HASH_D73A1C21": "How do you mean?"
"HASH_4153D821": "You'll need a vantage point. Get to that rooftop across the way over there."
"HASH_1BEE5821": "Who the *beep* are you and how the *beep* did I get here?"
"HASH_D0934421": "That can't be good."
"HASH_E18FF422": "That's not my usual style."
"HASH_E3D97022": "Jesus, would you look at the size of that thing?"
"HASH_2996A022": "I'm asking now."
"HASH_4FEBE822": "Shaundi, let me be frank. I am more concerned by what we might confront when Kinzie links up your portal."
"HASH_843F2822": "What do you mean, break free?"
"HASH_03BA4822": "Prize room! Nice."
"HASH_2EFAB022": "We're all that's left of humanity now.  That a big fuckin' burden for the Saints.  I know we're going for retribution, but we can't forget all those billions of people we're doin' this for."
"HASH_A588D822": "Kinzie doesn't seem to have a problem with it."
"HASH_950E9022": "So what did I get?  Teleportation?  Laser vision?  Bone claws?"
"HASH_3CBC9022": "Is everything okay?"
"HASH_6DD9CC22": "Shit, man, everything. Look, I'm trying to have a moment here. Don't ruin it. I'm just saying that when you're forced to relive the worst fucking thing in your life a million times, you can't help but feel...different."
"HASH_3EFEB822": "So we doin' this?"
"HASH_20DDA422": "The hell am I looking at?"
"HASH_F5DC9822": "I normally don't swing that way, but fuck it, I'm down."
"HASH_0BF6F822": "Oh, for a second I thought this had to do with him attacking America."
"HASH_D84EAC22": "Mate."
"HASH_AD696022": "Trust me. You'll like it."
"HASH_34573022": "Putting me in the Rollerz was a smart move on Julius's part.  We needed the intel, and I was the only tuner in the Saints.  I knew when we staged that rescue at Donnie's shop I was in.  Price owed me one for saving his best friend and didn't doubt me for a second.  I probably should've been more careful about how often I passed the boss information, though..."
"HASH_561DDC22": "Oh-ho, Zinyak. I hope you're ready for me."
"HASH_63B2E422": "How was I supposed to know that MI6 would end up offering me asylum just so they could pair me up with one of their operatives?  I mean, Asha and I got along great, but now I had to work with the government instead of against it.  Not usually my cup of tea.  Still, I guess it's better than being hunted down by the Saints or Killbane.  I just have to keep myself from pissing off a trained killer is all."
"HASH_27496823": "Sure, why not."
"HASH_ECE14423": "A bit?"
"HASH_F7AFD423": "Protect me while I disable the protocols."
"HASH_FED27023": "Yeeeeeehaaaaaw!"
"HASH_9B5CF023": "Maybe CID...maybe."
"HASH_67D1CC23": "Kinzie, where's Pierce?"
"HASH_6809B423": "The studio demanded you, Josh. I had nothing to do with it."
"HASH_92711023": "You're a dead man, Jyunichi!"
"HASH_18234423": "What the fuck is this place..."
"HASH_880D1823": "Playa, this is my best work yet. I want to thank you face to face."
"HASH_43B96C23": "But there is one more cell not far from here."
"HASH_EAD5C023": "What the fuck is that?"
"HASH_4D899023": "Kinzie's got her job and you've got yours right here.  Thought you two were supposed to be a well oiled machine?"
"HASH_B296F423": "DJ Matt Miller! Yeah, man."
"HASH_EB462423": "You can trace all these gangs back to him, right? You can find his simulation?"
"HASH_5E5A0823": "I knew it. That's Gat."
"HASH_28219823": "Pierce, you mind explaining to me what's been going on here?"
"HASH_CA9B8C23": "Okay, good point."
"HASH_A43BD023": "You're a know it all robot: how do we stop the relays?"
"HASH_B722AC23": "Say again?"
"HASH_45F0E423": "See you afterwards."
"HASH_35B33423": "Miss Press Secretary, that sounds delightful."
"HASH_6B5A2023": "Goodness me, what a dream."
"HASH_597DB024": "DELETE"
"HASH_59807424": "Hope we can snap him out of it...he's our only chance to find my friend..."
"HASH_84D86024": "I know."
"HASH_34F8F424": "Honestly, I can't find a way to open it up."
"HASH_F9D4B424": "Let's do this.  Geronimo!"
"HASH_CE2DA424": "We're almost there! Dammit, look at all these fuckin' Ronin! Let's take them out."
"HASH_0076D824": "Kinzie, I did it!"
"HASH_ECFA7C24": "No shit. I want in on that action."
"HASH_503DA424": "No problem..."
"HASH_138F9824": "Any other roadblocks else up ahead, Kinzie?"
"HASH_B13A6424": "I'm willing to try, CID, but I'd rather drop that shield entirely."
"HASH_A86C1C24": "That's just the way it works around here."
"HASH_166E2024": "Matt, why can't I swear?"
"HASH_4306F824": "Where the hell..."
"HASH_A91EDC24": "A gun? Oh. A gun. Yay."
"HASH_95F6F824": "Looks like the ability to freeze people and objects with an ice blast."
"HASH_1A810824": "Not gonna lie, Kinzie. You're kinda freaking me out."
"HASH_B009AC24": "Alright, I like the sound of that.  What is it you need?"
"HASH_00670424": "Fuckin'-a right I did."
"HASH_868F6025": "All set."
"HASH_41BE0825": "Don't blame the hostage. JUST FIX IT."
"HASH_0AFC8025": "That CID is a curious one, isn't he?"
"HASH_17449825": "DELETE"
"HASH_B3400025": "No shit."
"HASH_8B6C7C25": "Well. Looks like that's it."
"HASH_DD254425": "I think I made it."
"HASH_A9929425": "We could of just come right for him or--"
"HASH_D5992025": "You don't know Kinzie very well, do you?"
"HASH_75052025": "Hey. I'm the President of the United States."
"HASH_060E9425": "These data clusters seem to be loose bits of code left behind by the simulation for some reason.  I've only been able to locate a small amount right now, which I'm having trouble locking on to.  Once in the general area of a cluster I should be able to direct you to its location."
"HASH_03AF1425": "Feel better?"
"HASH_AA860C25": "Listen, Kinzie?  Gat and I are on site, but we're not sure where to begin our search."
"HASH_2E82DC25": "Now that's impressive looking..."
"HASH_1C0D7C25": "Whoa, that thing just came out of nowhere."
"HASH_4E7E0C25": "Think Zinyak's ship's seen better days..."
"HASH_C3127426": "This sounds AWESOME!"
"HASH_0AB50426": "Why is it Zin engineers are so stupid?"
"HASH_85CBF826": "I'm assuming that's a bad thing?"
"HASH_3E527826": "What's wrong with Keith?"
"HASH_3E1D8826": "What is Pierce's fascination with sing-alongs? He always wants to duet. I don't like it."
"HASH_5A7C1026": "Right, what's this Cyprian Order, then?  I'm not the world's biggest NyteBlayde fan."
"HASH_64D28026": "So we got people left on Earth. Good to know."
"HASH_7B468026": "Kinzie, we need some place to hide out, come up with a plan."
"HASH_0070DC26": "As probably the only surviving world leader from planet Earth, I hereby assign you all rights, titles, licenses and merchandise rights to the NyteBlayde property."
"HASH_ED47D826": "All right, let's see what ol' what's-his-name can do."
"HASH_2C35E026": "This would be so much easier if I could throw myself."
"HASH_B87CBC26": "Hmm. Johnny's a lot shorter than I imagined."
"HASH_DF177426": "This should be interesting..."
"HASH_3AF7C826": "Who you callin' \\"sidekick\\", lady?"
"HASH_1CA74027": "Kinzie, I just may cry a little."
"HASH_023F3027": "Who you callin' \\"sidekick\\", lady?"
"HASH_39D8A827": "It's explosives and chemicals, lady. What else you need to know?"
"HASH_BE6DCC27": "Good job, Kinzie."
"HASH_0CED4427": "I didn't know much about Asha Odekar before she helped us save the entire damn country, but in the years since, I've come to know her as one of the best soldiers I've ever met. If I'm going to take down Zinyak, I want her in my crew."
"HASH_B9821827": "DELETE"
"HASH_4487C027": "I always knew the Saints were ambitious, but I never thought I'd see them end up in the White House.  And when the playa called me saying how they couldn't do it without me, how could I say no.  Thought maybe I was in line for Vice President, but I guess Keith beat me to it.  Still, being the President's Chief of Staff certainly had its perks.  Not bad for a kid from Sunnyvale Gardens."
