"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_3BDA8DB0": "TRENDY AND MODERN"
"HASH_A08C97B1": "URBAN SAFARI WITH COLLARED SHIRT"
"cf_hair_funbob-01": "FUN BOB"
"HASH_A7910DB1": "MONSIEUR"
"HASH_95D161B1": "LARGE SCAR 4"
"HASH_A5055FB2": "Overinflated enemies' explosions now damage others nearby."
"HASH_57F55DB2": "All boxed up and ready to rumble"
"HASH_DAB33FB2": "NOPE"
"HASH_CF4C1BB2": "COLD WASH BLUE"
"cm_hair_mohawkshort": "SHORT HAWK"
"HASH_31FE79B2": "BLUE GREEN 7"
"HASH_8ED50DB3": "Destroy enemies with the power of sound!"
"HASH_58560FB3": "Upgrading your bumper durability lets you dish out devastating damage to anything that gets in your path."
"HASH_66E187B3": "GHOULISH GRIN"
"HASH_104689B4": "CHIN DEPTH"
"HASH_5F4763B4": "DECAL 1"
"HASH_7F888BB4": "GRAY DARK"
"cf_hat_amazontiara": "AMAZON TIARA"
"HASH_9E512BB4": "BRA"
"HASH_DBFB55B5": "LET'S PRETEND"
"HASH_8DC8F3B5": "ENTIRE LEFT LEG"
"HASH_84A495B5": "TRIM"
"HASH_481367B5": "MALE MODEL SHIRT"
"HASH_AA919FB5": "SAINTS FRO"
"HASH_DB7983B5": "WARRIOR PRINCESS LOWER"
"HASH_E11DF1B5": "RED ORANGE 7"
"HASH_36859DB5": "BLUE 1"
"HASH_8473D3B6": "DEEP SILVER"
"HASH_59883DB6": "EYEBALL SPACING"
"HASH_73696FB6": "BRIGHT RED"
"HASH_5ACAE7B6": "LAZY DAY CAPRIS"
"HASH_8FDD3BB6": "SAFEWORD BOOTS"
"HASH_9E0343B6": "REDHEAD"
"HASH_1EB117B7": "Bling that bounce, playa!"
"HASH_22FDBBB7": "FLAMETHROWER"
"HASH_3A0B31B7": "AUTUMN WOOD BROWN"
"HASH_CC89D7B7": "MYSTERY MAN T"
"HASH_9C00B5B8": "ARMOR PIERCING AMMO"
"HASH_F3524FB8": "NOSTRIL SPACING"
"HASH_BF8315B8": "LEMON"
"HASH_A482ADB8": "GOLD"
"HASH_605C7BB8": "BLACK TIE DRESS"
"HASH_0AEB0FB8": "BEACH BANDEAU"
"cf_hair_wavybob-01": "KNIGHT OF FLOWERS"
"HASH_266643B9": "CAMO"
"HASH_788C1DB9": "Is good color, da, comrade?"
"HASH_E9134BB9": "CHOCOLATE BROWN"
"HASH_D4D23FB9": "STEAMPUNK GLOVE"
"HASH_162395B9": "GRANDMA GLASSES"
"HASH_CD4979B9": "BLACK EYE LEFT"
"HASH_68D0DFBA": "SINGULARITY GUN"
"HASH_6C4025BA": "HOOOOOOOOOOOOOOOOOOO"
"HASH_B9ED4DBA": "Upgraded torque will give you the acceleration edge to win those street races - or avoid the authorities."
"HASH_1E99E9BA": "MODERN MALE SWEATER"
"HASH_BDAEFBBA": "CRUISE-IN"
"HASH_913EBFBA": "LIGHT BROWN"
"HASH_45EFBDBB": "UPPER LIP SIDE SIZE"
"HASH_32DEC9BB": "{0} {1}(EQUIPPED)[/format]"
"HASH_C7DE39BB": "LIPSTICK RED"
"HASH_32CFABBB": "PAINT 4"
"HASH_B1B78FBB": "HOT DOG"
"HASH_E3BBE1BC": "TEMPLE SPACING"
"HASH_E7380FBC": "WINGS"
"HASH_77DF67BC": "CAPTAIN'S BOOTS"
"cm_lp35i_lbdy_f_stplegs": "APOC PANTS"
"HASH_2231A1BC": "YELLOW 9"
"HASH_ACACF5BD": "La Guitarra del muy conocido Mister Holt"
"HASH_604CDBBD": "GREEN METAL"
"HASH_11E63DBD": "BUSINESS CASUAL"
"HASH_7D2705BD": "DRESS SHOES"
"HASH_6976D9BE": "Exit Player Creation?"
"HASH_EAABFBBE": "FENDER SKIRTS"
"HASH_45EBABBE": "HANDLEBARS"
"HASH_4E7651BE": "DEFENSE"
"HASH_1BEF35BE": "LADYBUG EARRINGS"
"HASH_EC42A5BE": "MOD MALE WITH SHIRT AND BOWTIE"
"HASH_6B2E4FBE": "TEEN DREAM"
"HASH_D804F3BE": "IRIDESCENT 2"
"HASH_97E037BF": "You'll look good in black."
"HASH_6B711DBF": "ION BLASTER"
"HASH_9052B7BF": "FAINT TARRAGON GRAY"
"HASH_9E9E4FBF": "3RD STREET HOODIE"
"HASH_F319E7BF": "MYSTERIOUS IN PINK"
"HASH_20EFF1BF": "RED 2"
"HASH_CA04A3C0": "ULTRAS"
"HASH_8C0803C0": "BIG MANE MASK"
"HASH_450111C0": "HOLLYWOODIAN"
"HASH_F8DC23C0": "THE NATURAL FEMALE"
"HASH_E09E8FC1": "The weapon does more damage"
"HASH_70E65BC1": "PAINT ALL"
"male_bodybuilder": "MALE BODYBUILDER"
"HASH_ED40ADC1": "SPEEDRACER"
"HASH_9FD53FC1": "REBEL VEST"
"HASH_0EDF07C1": "2015 SHADES"
"HASH_B978BDC1": "SEA'S BOUNTY"
"HASH_D2F343C1": "YELLOW ORANGE 2"
"HASH_2CBB95C2": "CAMOBLOCK"
"HASH_0F7165C2": "SEPTUM WIDTH"
"HASH_1C0385C2": "GIRLS BEST FRIEND LEFT"
"HASH_372799C2": "NEVER BE CONTROLLED"
"Level_1": "LEVEL 1"
"HASH_12FD95C3": "QUEEN OF HEARTS EARRINGS"
"cm_ubdy_fbitchtee": "FRECKLE BITCH'S TEE"
"cm_suit_goo01": "OOEY GOOEY"
"HASH_5CCFA9C3": "SAINTS SOAP"
"HASH_68CCC9C3": "YELLOW GREEN 7"
"HASH_163E49C4": "REINFORCED BUMPER"
"HASH_F29FF1C4": "PANDA MASK"
"HASH_CEA975C4": "WARRIOR PRINCESS HELMET"
"HASH_A30463C4": "ORANGE 5"
"HASH_EF5971C5": "Bullets do extra damage to armored and mechanical targets."
"HASH_93F513C5": "USA! USA! USA!"
"cm_hat_donkey_mask": "DONKEY MASK"
"HASH_FD01E5C6": "The weapon powers-up and fires more rapidly"
"HASH_32DB41C7": "Even a potato gun can look threatening if you try hard enough."
"HASH_A406A3C7": "Big-League Basher"
"HASH_06B0E5C7": "SKELETON MASK"
"cm_lp35q_hat_buttons": "BUTTONS "
"cm_lp35e_foot_m_entertain": "ENTERTAINER SHOES"
"HASH_9F2EFFC7": "PERSEVERANCE"
"HASH_5C8975C7": "THE OLD MAN"
"HASH_6A8017C8": "Looks fast, shoots fast"
"HASH_4C9BA5C8": "Bang, bang.  You're dead."
"HASH_21C807C8": "PUNK ROCK ANARCHIST"
"HASH_8A2993C9": "For those who prefer a more hard-edged sound."
"HASH_4FBD95C9": "FOREHEAD"
"HASH_9F1A3DC9": "FOUR 20 103.6"
"HASH_E56CA5C9": "EYE FOR AN EYE"
"HASH_1BF7D3C9": "MOLE 7"
"HASH_D3E5BDCA": "Lets the weapon regenerate its ammo charge more quickly"
"HASH_A57665CA": "NOTHING BETTER TO WEAR"
"HASH_F986ABCA": "FLOWER POWER SANDALS"
"cm_msspcl_suit": "MORNINGSTAR SPECIALIST"
"cm_lp35p_eyes_m_nerdy": "NERDY"
"HASH_BC24E1CB": "GOLD-PLATED"
"HASH_CEA405CB": "TINT 50%%"
"HASH_5156E3CB": "HEYDAY SUPER SHIFT"
"HASH_3D6BE1CB": "LUCHADOR SPECIALIST"
"HASH_476621CB": "NAUGHTY BUNNY SLIPPERS"
"HASH_39170DCB": "\\"Z\\""
"HASH_13FFB9CC": "THE SEVEN VEILS"
"HASH_2FAC5DCC": "STEAMPUNK GOGGLES"
"HASH_63933DCC": "CHISELED FRO"
"HASH_8C6B07CC": "HIPSTER TRUCKER HAT"
"HASH_DB8945CD": "For St. Valentine's Day, or any day!"
"HASH_5F46AFCD": "REAR FENDERS"
"HASH_1E2EBBCD": "BAGGY SHORTS"
"HASH_77D327CD": "I HAZ A SAD HOODIE"
"HASH_CF082FCD": "RODEO QUEEN BOOTS"
"HASH_5ABEB5CE": "OL' RUSTY"
"HASH_559CA3CE": "NITROUS"
"HASH_8B9DCDCE": "BUTTERFLY IN THE SKY"
"HASH_AF0447CE": "SAINTS FOREVER"
"HASH_F7E3B3CE": "FLOWER POWER"
"HASH_750AEBCE": "HIGH CURVE"
"HASH_924E0BCF": "Police Brutality, anyone?"
"HASH_BD1C1BCF": "ENTIRE RIGHT ARM"
"HASH_835ACDCF": "PENNY ZINC"
"HASH_F6C455CF": "HELLISH PRINCESS"
"HASH_B8AD2BCF": "NEIGHBOR SHIRT WITH TIE"
"HASH_F9F6E1CF": "VOLUMINOUS"
"HASH_0BACE5D0": "RECTIFIER"
"HASH_2C809DD0": "TEMPLE DEPTH"
"HASH_6ACD37D0": "CHARCOAL"
"HASH_1DA97FD0": "GREEN DARK TINT"
"HASH_E20161D0": "THE HARD SIXES"
"HASH_E1915FD0": "ZOMBIE GENKI"
"HASH_1C9A17D0": "MOLE 3"
"HASH_D82E21D0": "DEEP POCK MARKS"
"HASH_CB326BD1": "DUBSTEP GUN"
"HASH_EB9905D1": "CAUCASIAN"
"HASH_C4940BD1": "ZOMBIE PANTS"
"HASH_D83429D2": "Increases the weapon's accuracy"
"HASH_006A0DD2": "V.I.P. WATCH"
"HASH_D8CB05D2": "SAUSAGE CASING"
"cm_ubdy_dlm": "DE LA MUERTE HOODIE"
"HASH_47EE51D2": "80'S SCI-FI"
"HASH_8DCA85D3": "Stalk your prey ..."
"none": "NONE"
"HASH_A025ADD3": "LOVE MACHINE BOXER"
"HASH_BF00A9D3": "TIGHT PONY"
"HASH_2EA5C3D3": "RED"
"cf_hair_vintagebob-01": "VINTAGE BOB"
"HASH_2BEFF5D5": "You take less damage while wielding this weapon."
"HASH_520551D5": "A commanding choice."
"HASH_14927DD5": "TOUCHDOWN"
"HASH_CFFF43D5": "KLASSIC 102.4"
"HASH_DBC5A9D5": "VAMPIRE REPELLANT EARRINGS"
"HASH_411977D5": "SAINTS HEIST BANDANA"
"HASH_2BAEF3D5": "SHARK ATTACK"
"HASH_695275D5": "POWER"
"HASH_143041D5": "BLACK"
"HASH_56D36DD6": "RAT STICK"
"HASH_C7042FD6": "THE DOUGLAS"
"HASH_043FF9D6": "You have %ls.  Surgery costs %ls.\nWould you like to get surgery?\nChanges made cannot be reverted."
"HASH_D99F87D6": "PARTY GIRL HEELS"
"HASH_E0538FD6": "MORNINGSTAR SPECIALIST"
"HASH_6C6FE1D7": "The outlaw's choice"
"HASH_0D82ABD7": "Don't taze me, bro!"
"HASH_CD8049D7": "BANANA YELLOW"
"HASH_9845E9D7": "BIKER"
"HASH_8CF009D7": "SPIRIT OF THE DRAGON"
"HASH_A86983D7": "SPIRIT OF THE WOLF"
"HASH_358B99D8": "INTERIOR ACCESSORIES"
"HASH_E15253D8": "FOUR SKULLS"
"HASH_D59E87D8": "YELLOW ORANGE 6"
"HASH_080275D9": "THE GOOD DOCTOR"
"HASH_B11079D9": "PAINT 3"
"HASH_BDAC3FD9": "DECAL 9"
"HASH_105351D9": "NETWORK CARGO PANTS"
"HASH_256761D9": "PUNKER SEPTUM RING"
"HASH_C0929BD9": "MIAMI SHOES"
"HASH_BF354FD9": "FANCY FISHNETS"
"HASH_F25FE3DA": "HISPANIC"
"HASH_A4314BDA": "DARKER SIDE BOOTS"
"cm_ubdy_nolovetee": "NOBODY LOVES ME TEE"
"HASH_D6A7BFDA": "NINJA2 SHIRT"
"HASH_6FA10DDA": "YELLOW GREEN 3"
"HASH_1DA673DB": "HOT BLADE"
"HASH_CA2E39DB": "This ain't no kid's toy."
"HASH_2D7027DB": "TRIMS"
"HASH_B7ECB9DB": "FRONT WHEELS"
"HASH_1B6E41DB": "PRIMP AND PROPER"
"HASH_98B163DB": "CHEEK BANDAGE"
"HASH_FF6305DC": "ABDUCT-O-MATIC"
"HASH_A1C38BDC": "MOD MALE WITH SWEATER"
"HASH_85E957DC": "ELEGANT COUTURE"
"HASH_E03E71DD": "No matter how alien the weapon, it still looks good in purple."
"HASH_32E39BDD": "MOUTH"
"Genki Pack": "FUNTIME! OUTFIT"
"HASH_89DE45DD": "JERSEY"
"HASH_A469A7DD": "ORANGE 1"
"HASH_83D07BDE": "Kills with this weapon now reduce its overheat level."
"HASH_A24837DE": "DUST DEVIL"
"HASH_736C8BDE": "The scavenger's choice"
"HASH_CF473DDE": "FROG PRINCE"
"HASH_C4D659DE": "MIDNIGHT BLUE"
"HASH_143B15DE": "RIM SET 9"
"HASH_531143DE": "THE REALITY CLIMAX BOBBLEHEAD"
"HASH_FC26E9DE": "WOMEN'S ZIP-UP JACKET"
"cm_hand_leathertrendy": "LEATHER GLOVES"
"HASH_5982EBDF": "RECTO-ROCKETS"
"HASH_C21477DF": "A classic of the genre."
"HASH_A0CF07DF": "TIRE DURABILITY"
"HASH_BBAB97DF": "DARK BLUE METAL"
"Wonder Saint": "QUEEN AMAZONIA"
"HASH_04C9FBDF": "EVERYDAY BOXER"
"HASH_DD8D71DF": "SAMURAI ARMOR"
"cf_hair_pompadour-01": "POMPADOUR BRAIDS"
"HASH_D5A881E0": "BLACK GOLD"
"HASH_12A6D5E0": "ANGRY "
"HASH_67D5EDE0": "MODERN MALE"
"HASH_0E630BE0": "KABANA POLO SHIRT"
"cf_foot_50sshoes": "SOCK HOP SHOES"
"HASH_09C3BBE1": "BIKE BOOT"
"HASH_17944FE1": "PUNKALICIOUS"
"HASH_B9CD3FE1": "SUITS"
"HASH_275421E2": "Increases the effective range of the weapon"
"HASH_FFDB4DE2": "MOUTH SIDE DEPTH"
"HASH_AD97CBE2": "LOWER BACK"
"HASH_87CB3DE2": "HIPSTER GLASSES"
"HASH_DCB803E2": "POP THE CHERRIES"
"HASH_E43E9BE3": "Once a Saint, always a Saint."
"HASH_4ABCF9E3": "INFLATO-RAY"
"HASH_8FA409E3": "ASIAN"
"HASH_911421E3": "SO DEVILISH SWIM BOTTOM"
"HASH_3E08DFE3": "FACE PIERCINGS"
"HASH_9E5D9BE4": "ENTIRE RIGHT LEG"
"HASH_C9DFA7E4": "ANGELMANIA"
"HASH_48089BE4": "DOUBLE YELLOW"
"HASH_91927FE4": "MUNICIPAL"
"HASH_76A477E4": "GANGSTA GIRL"
"HASH_739405E4": "MALE MODEL SHIRT AND BOWTIE"
"HASH_6A6851E4": "STEELPORT HEROINE SHIRT"
"HASH_600113E5": "They'll never see you coming."
"HASH_0B5AF3E5": "OILED SPRAY TAN"
"HASH_C9168FE5": "DOG PISSER"
"HASH_C9CAADE5": "SLASHER BOOT"
"HASH_8F198FE5": "LOOSE PONY"
"cm_lp35q_hat_strainer": "STRAINER"
"cm_lp35h_suit_m_karate": "KARATE COBRA"
"HASH_FE55FFE5": "TRIBAL BAND"
"HASH_2244FFE6": "Puts a hurtin' on uppity humans."
"HASH_919A4DE6": "NOSTRIL HEIGHT"
"Redhead": "REDHEAD"
"HASH_1174BDE6": "JOKER"
"HASH_BE47FFE6": "GREY 2"
"HASH_1A49F5E7": "WILD STALLION"
"HASH_D49E3FE7": "GAT MASCOT OUTFIT"
"HASH_E5293DE7": "SKULL CRUSHER EARRINGS"
"HASH_1473FDE8": "GALACTIC RED"
"HASH_A8A603E8": "PLASTIC"
"cm_ubdy_ffiretee": "FRIENDLY FIRE TEE"
"HASH_48D721E8": "HEARTBROKEN"
"HASH_5579E5E8": "TIME TO SOAR"
"HASH_9CC421E9": "HISPANIC 3"
"HASH_929F37E9": "BIG PUSSY MASK"
"HASH_9A09A5E9": "CARDINAL GLASSES"
"cf_hair_mullet_01": "80'S ROCKER GIRL"
"HASH_70714BE9": "SON OF SAMEDI"
"HASH_CAC4D9EA": "RESPECT MY AUTHORITY"
"HASH_CAE577EA": "OFFENSE"
"cf_eyes_pixelshades": "LOW RES SHADES"
"HASH_B0CEF1EA": "CLEAR NIGHT SKY"
"HASH_2F9A35EB": "MINETHROWER ARM"
"HASH_3733B1EB": "AFRICAN AMERICAN 4"
"HASH_291D6DEB": "BLACK TITANIUM"
"HASH_B377B7EB": "DECAL 1"
"HASH_E0EE55EB": "ANGRY TIGER MASK"
"HASH_B33513EB": "DIVA HOOPS"
"cm_ubdy_volition": "V HOODIE"
"HASH_4CB75DEB": "THE 5 O'CLOCK"
"HASH_2D337BEB": "VIOLET RED 2"
"HASH_E33BD7EB": "BROWN 3"
"HASH_32EA47EB": "STOMACH"
"HASH_D1875BEC": "GREEN CAMO"
"HASH_02F69DEC": "OPTION 3"
"HASH_CC2EA5EC": "UNCLE SAM"
"HASH_831D47EC": "NOSE STUD RIGHT"
"cm_lp35l_head_m_flighthelm": "AVIATORS HELMET"
"HASH_477C0FEC": "HAZEL"
"HASH_DACADFED": "PITCH"
"HASH_3B6B5BED": "SOLID TEAL"
"HASH_52E98BED": "PEACE FROM WITHIN"
"HASH_D42AF1EE": "JOWL DEPTH"
"HASH_9DDC55EE": "HARLEQUIN PURPLE"
"HASH_6D4435EE": "STEELPORT STUNNERS CAP"
"cm_lbdy_boardshorts01": "BOARD SHORTS"
"HASH_3DE76DEE": "PUZZLED"
"HASH_402BC9EE": "BIKINI TAN, THONG"
"HASH_0EF2C1EF": "SPEC OPS SMG"
"HASH_2677A3EF": "ICE WHITE"
"HASH_3FF1F5EF": "GRAY MEDIUM"
"HASH_9038ADEF": "DOWN THE MIDDLE"
"HASH_2316FBEF": "RIGHT BROW RING AND NOSE STUD"
"HASH_556C5FEF": "ALTAR BOY"
"cm_ubdy_sweat3rdst": "3RD STREET SWEATSHIRT"
"HASH_01E543EF": "SMOKEY"
"HASH_AAB22FEF": "ORANGE 9"
"HASH_19C0A9EF": "ENTIRE FACE"
"HASH_3DADEBF0": "SAINT OF SAINTS BRA"
"HASH_37BF57F0": "BROSEPH SKULLY KNIT"
"HASH_8E3B51F0": "TRIFLE TURTLENECK"
"HASH_FE4699F0": "SARGE"
"HASH_D2AE15F0": "BASIC DENIM"
"HASH_771C8FF0": "RISING SUN"
"HASH_D4482DF1": "TIP HEIGHT"
"HASH_59C2F5F1": "21ST CENTURY JEANS"
"HASH_55F2FFF1": "DEVIL HORNS"
"HASH_3B9365F1": "TRASH T-SHIRT"
"HASH_B41A73F2": "DECAL 5"
"HASH_4BDA99F2": "PENCILED ON"
"HASH_2A5EBFF2": "VIOLET RED 6"
"HASH_E45613F2": "BROWN 7"
"HASH_A8DF83F3": "MOUTH SIDE SIZE"
"HASH_91C379F3": "SOFT PURPLE"
"HASH_233FB5F3": "CYBER"
"HASH_B250ABF3": "HEAVYWEIGHT MASK"
"HASH_F910BBF3": "STREET GLIDERS"
"HASH_99F3BDF3": "STEELPORT HEROINE BOOTS"
"cm_ubdy_spacesmuggler": "PUCKISH ROGUE VEST"
"HASH_C9616BF4": "EAR SPACING"
"HASH_B34AEDF4": "MELLOW "
"CUST_WEAR_NORMAL": "NORMAL"
"HASH_E3EE87F4": "POCKET ROCKET GLOVES"
"HASH_2489F3F5": "VAMPIRIC AMMO"
"HASH_2CF6BBF5": "WORKMAN'S COMP"
"HASH_059B59F5": "OPTION 7"
"HASH_1D8D59F5": "RIM SET 5"
"HASH_A871FBF5": "LIP GLOSS"
"cm_ubdy_plaintee": "BASIC TEE"
"HASH_763ED5F6": "It's deep. It's silver. It's deeply silver."
"HASH_E9883DF6": "Alien Tech, Saints Attitude"
"HASH_53D075F6": "FEMALE 1"
"HASH_8592EFF6": "GANG SMASH BOOTIES"
"cf_wrstr_80sbracelet": "80'S BANGLES"
"HASH_068887F6": "EGYPTIAN PRINCESS"
"HASH_702081F7": "HEAVYWEIGHT BOOTS"
"HASH_654619F7": "BLOCK BODY"
"cm_blowupdoll": "BLOWUP DOLL"
"HASH_3A8AA9F7": "DRESSED FOR DEATH"
"HASH_E797C7F8": "EXPLOSIVE AMMO"
"HASH_10F98BF8": "STEAMPUNK COUTURE"
"HASH_4D3F8BF9": "NECK"
"HASH_27B191F9": "WINE RED"
"HASH_11A469F9": "LEATHER GLOVES"
"HASH_5303B7F9": "CHIN STUD"
"HASH_9A2DAFF9": "RAWK WRIST BRACELET"
"HASH_9EEA85F9": "WILD CHILD PANTS"
"HASH_A96B01F9": "OKTOBERFEST SKIRT"
"cf_hat_bathtowel": "TOWEL CROWN"
"HASH_4E581DF9": "CRIME FIGHTER"
"HASH_87924DFA": "TIRES"
"HASH_725D5FFA": "FINS"
"HASH_FE8C8BFA": "THREE COUNT TOP"
"HASH_0F9413FB": "LIL' STINGER"
"HASH_1C8F7FFB": "ACCESS GATEWAY WEAPONS"
"HASH_1E6795FB": "GENTLEMANS COAT"
"HASH_DBD5C7FB": "SKULL PILE"
"HASH_79158FFB": "LEFT SHOULDER"
"HASH_BE3F41FC": "GOLD-PLATED"
"HASH_B9F62FFC": "UPPER BODY"
"HASH_C4DC21FC": "DRAPES"
"male_athletic": "MALE ATHLETIC"
"HASH_56EDB1FC": "LUCHADOR SOLDIER"
"HASH_82EBA1FD": "Elegant and understated ... until you pull the trigger."
"HASH_0F991BFD": "Zin gone gangsta."
"HASH_90BC7FFD": "SKULL TOP WIDTH"
"HASH_CEB263FD": "BELCH"
"cm_ubdy_springjackettrendy": "BELTED LEATHER JACKET"
"cm_eyes_president_specs": "PRESIDENTIAL SHADES"
"HASH_3EE135FE": "GOLD-PLATED"
"HASH_1D2431FE": "TELL 'EM"
"HASH_CFB1FFFE": "DEEP BRONZE BROWN"
"HASH_2EAC11FE": "COPPER"
"HASH_E244F9FE": "PREPPY STUDS"
"HASH_2EFBF1FE": "COMBAT BABE"
"HASH_1665E9FE": "THE RINGWALD"
"HASH_5EFB45FE": "TITS AND GRITS"
"HASH_2218BFFE": "CHERRY ON TOP"
"HASH_8A89C9FF": "RELOAD SPEED"
"HASH_C838DBFF": "WHEATFIELD YELLOW"
"Matt Miller Outfit": "DECKER KING"
"HASH_DB7D85FF": "SAMURAI HELMET"
"cm_lp35c_suit_m_hero": "DESERT DWELLER ROBE"
"HASH_B92A3BFF": "GREY 6"
