"CUST_ITEM_CF_HAIR_MED": "ALLE SPALLE"
"LOGO_HORSE": "CAVALLO"
"LOGO_SAW": "MOTOSEGA"
"CUST_VARIANT_FLAT_TOP_DESIGN_A": "SOMMITÀ PIATTA, MODELLO A"
"CUST_ITEM_CM_IMPL_UBDY_M_JSCARF": "STILE TROY"
"CUST_ITEM_FEMALE_LL_BRA_3": "TOCCAMI IL CUORE"
"CUST_VOICE_MALE_LATINO": "UOMO 3"
"CUST_VARIANT_GANG_CAMO": "MIMETICO GANG"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "GUERRIERO STEAMPUNK"
"PLAYER_CREATION_PRESET_MALE": "UOMO"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "Aumenta la capienza dei caricatori."
"CUST_COMP_MUSTACHE_26": "LO SPAGNOLO"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "SPIAGGIA DIPENDENTE"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "TANGA SAINTS SCANDALOSO"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "APPENA SVEGLIO"
"STRONGHOLD_CUSTOMIZATION": "PERSONALIZZAZIONE ROCCAFORTE"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_TATTOO_LFORARM_4": "ARMA NASCOSTA"
"COLOR_SLOT_SOFTTOP": "TETTUCCIO"
"SLOT_LIGHTS": "FANALI"
"CUST_VARIANT_TRI_COLOR": "TRICOLORE"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "ANELLI VISTOSI STILE Z"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "PIERCING SOPRACCIGLIO SINISTRO"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "PANTALONI SGARGIANTI"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_E": "FIGLIO DELLA STRADA"
"BRIGHT_PURPLE": "VIOLA BRILLANTE"
"LOGO_8BALL": "8 BALL"
"CUST_VARIANT_SPORT_SHORTS_1": "STILE 2"
"CUST_VARIANT_ARGYLE": "A ROMBI"
"CUST_TATTOO_RARM_6": "PRESO IN TRAPPOLA"
"RIM_152": "LUMINATI"
"CUST_ITEM_CM_NLMA_FOOT_M_SPBOOTS": "STIVALI STEAMPUNK"
"CUST_ITEM_PLAIN_WHITE_TEE": "T-SHIRT"
"CUST_ITEM_CM_PSF_UBDY_M_SAINTSJERSEY": "CANOTTIERA SAINTS"
"CUST_TATTOO_TORSO_UPPER_BACK": "SCHIENA IN ALTO"
"Paint": "VERNICE"
"LOGO_GIRL_1": "RAGAZZA 1"
"CUST_VARIANT_10_DEFAULT": "VARIANTE 10"
"CUST_VARIANT_TIE_DYE_1": "TIE DYE 1"
"CUST_VARIANT_CMCOA_MSUNSHINE01": "NORMALE"
"CUST_WEAR_TATTOO_AZTEC_TURTLE": "TARTARUGA AZTECA"
"CUST_ITEM_MID_LENGTH_CHAIN_LOOPS_1": "JEANS DA RAPPER"
"CUST_SHOES": "SCARPE"
"CUST_TATTOO_ENTIRE_BACK": "TUTTA LA SCHIENA"
"PLAYER_MORPH_NOSE_SLOPE_TEXT": "INCLINAZIONE NASO"
"CUST_SKIN_CAUCASIAN_01": "CAUCASICO 1"
"CUST_MENU_MAKEUP": "TRUCCO"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_2": "Colpisce un'area più vasta."
"CUST_TATTOO_STOMACH_3": "ZATTERA NATURALE"
"CUST_COMP_MUSTACHE_5": "SPAZZOLINO"
"VEHICLE_COLOR_TINT_20": "TINTA 20%%"
"CUST_ITEM_CF_CLASSICUP": "RAGAZZINA VIZIATA"
"CUST_COMPLIMENT_V": "APPLAUSO"
"PLAYER_MORPH_OLD_TEXT": "SET PREDEFINITI ETÀ"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_1": "VIOLA BLU 1"
"LOGO_WASHINGTON": "WASHINGTON"
"CUST_GANG_ZOMBIE": "ZOMBI"
"VEHICLE_COLOR_AMERICANA_RED": "ROSSO AMERICANO"
"RIM_SET_016": "SET DI CERCHIONI 16"
"CUST_VARIANT_PATTERN_1_DECALS": "STILE CON DECALCOMANIE"
"CUST_FACIAL_EXP_SAINTLY": "SANTERELLINO"
"CUST_ITEM_WEAR_OPTIONS": "STILE ABBIGLIAMENTO"
"CUST_COMP_FACE_BLOODY_FACE": "PESTATO"
"LOGO": "LOGO"
"CUST_COLOR_RED_3": "ROSSO 3"
"CUST_ITEM_CF_IMPO_NECK_F_NECKLACE": "COLLANA URBAN SAFARI"
"CUST_EYEWEAR": "OCCHIALI"
"CUST_FACIAL_FEATURES": "CARATTERISTICHE"
"TATTOO_NAME": "RUSTY'S NEEDLE"
"CUST_TATTOO_RARM_2": "PORTATORE DI MORTE"
"VEHICLE_PAINT_EXOTIC": "ESOTICO"
"RIM_156": "LX-19"
"SLOT_DECAL_8": "DECALCOMANIA 8"
"SLOT_MISCELLANEOUS": "VARIE"
"CUST_VARIANT_FADE": "SCOLORITI"
"CUST_ITEM_CM_IMPB_UBDY_M_LOWSHIRT": "MAGLIA ADERENTE CASHMERE CON SCOLLO A V"
"CUST_ITEM_CF_LLI_EYES_F_SUNGLASSES": "OCCHIALI STRANI"
"CUST_ITEM_CM_HAIR_WILDMESSY2": "HARD ROCK"
"CUST_ITEM_CF_PSE_FOOT_F_STRAPPYSANDLES": "TACCHI DA SPOGLIARELLISTA"
"CUST_SKIN_ASIAN_04": "ASIATICO 4"
"CUST_EYELINER": "EYELINER"
"CUST_MORPH_CAT_EYES": "OCCHI"
"CUST_COLOR_CLOTHING_BLUES_8": "BLU 8"
"SLOT_DOORS": "PORTIERE"
"LOGO_BALANCE_1": "BALANCE 1"
"CUST_ITEM_LEATHER_LACE_MALE_A": "COMPLETO LEATHER & LACE"
"CUST_ITEM_CM_NLMD_UBDY_M_JACKETCOMBO": "GIACCA DA PUNK ANARCHICO"
"PLAYER_MORPH_EYE_HEIGHT_TEXT": "ALTEZZA OCCHI"
"SLOT_TORQUE": "COPPIA MOTRICE"
"LOGO_SCORPION": "SCORPION"
"CUST_VARIANT_THICK_STRIPES": "STRISCE SPESSE"
"CUST_VARIANT_PLAID_BIG": "PLAID 2"
"CUST_ITEM_CM_JOY_UBDY_THECODE": "JOYSTICK JUNKIES CODE CONTROL"
"CUST_ITEM_CF_LPC_LBDY_F_FEMHEROLEGS": "CALZAMAGLIA EROINA STEELPORT"
"CUST_SKIN_CAUCASIAN_05": "CAUCASICO 5"
"EXIT": "ESCI"
"BRIGHT_BLUE-GREEN": "VERDE-BLU BRILLANTE"
"CUST_VARIANT_LETTERMANSTYLE": "STILE 1"
"CUST_VARIANT_CMUNS_UTSHIRT04_U": "STILE 2"
"CUST_ITEM_CM_RADIATIONMASK": "MASCHERA RISCHIO NUCLEARE"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEDOWN": "GIACCA CON CAPPUCCIO DA CALUMET"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_5": "VIOLA BLU 5"
"SLOT_CHASSIS": "TELAIO"
"CUST_VARIANT_MATERIAL__1": "CUST_VARIANT_MATERIAL_#1"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_UNZIPPED": "LAMPO APERTA A DX, BASSI"
"CUST_ITEM_IMPRESSIONS_MALE_E": "GUIDA SAFARI"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRTTIE": "RIPULITO PER BENE"
"CUST_ITEM_CF_HAIR_PUNKSHAVEDSIDES": "PUNK"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEUP": "GIACCA CON CAPPUCCIO, CAMICIA E CRAVATTA"
"CUST_CAT_BODY_HAIR": "PELI DEL CORPO"
"CUST_COMPLIMENT_ZZ": "ANNUIRE"
"PLAYER_MORPH_TIPS_SPACING_TEXT": "DISTANZA PUNTA"
"CUST_COLOR_CLOTHING_GREENS_9": "VERDE 9"
"CUST_TATTOO_STOMACH_7": "L'ASSO DELLA MORTE"
"CUST_COMP_MUSTACHE_1": "CONDUTTORE TELEVISIVO"
"RIM_202": "RBP R96 CUSTOM PURPLE"
"LOGO_ROUNDHOUSE": "ROUNDHOUSE"
"LOGO_REAPER": "REAPER"
"CUST_COMPLIMENT_R": "JESSICA"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_4": "Controlla i veicoli militari."
"VEHICLE_PAINT_PEARLESCENT_PAINT": "VERNICE PERLATA"
"HAIR_COLOR_BLONDE_MATTE": "BIONDO OPACO"
"CUST_COLOR_ROSE_3": "ROSA 3"
"LOGO_NUMBER11": "NUMERO 11"
"CUST_ITEM_CM_LPG_MASK_M_MASKPIG": "IL PORCO"
"CUST_CAT_PIERCING_NOSE": "NASO"
"PLAYER_MORPH_UPPER_LIP_SHAPE_TEXT": "FORMA LABBRO SUPERIORE"
"CUST_VOICE_FEMALE_LATINO": "DONNA 3"
"CUST_COMP_EYES_PALE_BLUE": "BLU PALLIDO"
"RIM_SET_012": "SET DI CERCHIONI 12"
"CUST_VARIANT_STOCKINGS_1": "SOLIDO"
"CUST_VARIANT_3COLOR_THICK": "TRICOLORE SPESSO"
"CUST_WEAR_UNTUCKED": "FUORI"
"CUST_ITEM_CM_PSI_NECK_M_CHAINS": "COLLANA GIGLIO"
"SLOT_FUZZY_DICE": "DADI DI PELUCHE"
"CUST_WEAR_BOTH_ROLLED_LOW": "ENTRAMBE ARROTOLATE, BASSI"
"CUST_ITEM_CF_IMPR_LBDY_F_PANTS": "PANTALONI HILLS"
"CUST_ITEM_LEATHER_LACE_FEMALE_I": "SPOGLIARELLISTA PUNK"
"PLAYER_MORPH_JOWLS_SPACING_TEXT": "DIST. MANDIBOLA"
"CUST_COLOR_CLOTHING_VIOLET_3": "VIOLA 3"
"CUST_ITEM_CM_DLC_HAND_M_GPGLOVES": "GUANTI DA ASSASSINO"
"CUST_CAT_UPPER_BODY": "BUSTO"
"CUST_BRO_COMPLIMENT_B": "COMPLIMENTO BROTHERHOOD 2"
"PLAYER_CREATION_AGE_YOUNG": "GIOVANE"
"PLAYER_MORPH_TIPS_ELEVATION_TEXT": "ALTEZZA PUNTA"
"PLAYER_CREATION_PRESET_HISPANIC": "ISPANICO"
"VEHICLE_COLOR_SLOW_BURN_RED": "ROSSO INFUOCATO"
"CUST_VARIANT_PEACE": "PACE"
"CUST_WEAR_ZIPPED_HOOD_DOWN": "LAMPO CHIUSA, CAPPUCCIO ABBASSATO"
"CUST_ITEM_CF_RING_F_SHARKTOOTH": "ANELLO MORSO DI SQUALO"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR2": "COSTUME SADOMASO"
"FACIAL_EXPRESSION_DEATH_A": "AGONIA 1"
"CUST_ITEM_CF_IMPO_FOOT_M_PLTFRMS": "ZEPPE URBAN SAFARI"
"CUST_ITEM_CF_NLMH_FOOT_F_SHAGBOOTSM": "STIVALI DA BORDELLO"
"CUST_ITEM_CF_PSB_HAT_F_BASTILLECAP": "CAPPELLO DA POETA"
"FACIAL_EXPRESSION_BLANK": "INESPRESSIVO"
"PLAYER_MORPH_NOSE_ELEVATION_TEXT": "ELEVAZIONE NASO"
"CUST_COMP_MUSTACHE_22": "STRISCIA"
"VEHICLE_COLOR_RUST_BROWN": "RUGGINE"
"SLOT_REAR_MODS": "MODIFICHE DIETRO"
"CUST_COLOR_TEAL_1": "AZZURRO 1"
"CUST_VARIANT_SQUARES": "QUADRATI"
"CUST_WEAR_TUCKED_ZIPPED": "DENTRO, LAMPO CHIUSA"
"CUST_ITEM_CM_PSC_FOOT_M_SNEAKERS": "HI-TOPS"
"PLAYER_MORPH_TEMPLE_WIDTH_TEXT": "LARG. TEMPIA"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_2": "Aumenta capienza munizioni. Le granate si attaccano al bersaglio."
"CUST_GANG_GIMP": "MASOCHISTI"
"CUST_ITEM_CM_DLC_HAT_M_KNIGHT": "ELMO DA CAVALIERE"
"CUST_ITEM_CM_NLME_EYES_M_SUNGLASSES": "OCCHIALI DA SOLE NETWORK"
"PLAYER_MORPH_MOUTH_EDGES_TEXT": "ESTREMITÀ BOCCA"
"COLOR_SLOT_TRIM_3": "RIFINITURA 3"
"LOGO_FLOWERS": "FIORI"
"COMPONENT_PAINT_1": "VERNICE 1"
"CUST_WEAR_LOW": "BASSI"
"CUST_ITEM_CF_LLR_NECK_F_IVORYCHOKER": "GIROCOLLO DA SEDUTTRICE"
"CUST_CAT_HAIR_EYEBROWS": "SOPRACCIGLIA"
"CUST_EXIT_WARNING_TITLE": "ATTENZIONE"
"PLAYER_CREATION_FIGURE_ATHLETIC": "ATLETICO"
"LOGO_SIZZURP": "Sizzurp 101.69"
"CUST_ITEM_CM_PSI_HAT_M_SRCAP": "BERRETTO DEI SAINTS"
"PLAYER_MORPH_NOSE_TIP_TEXT": "PUNTA NASO"
"VEHICLE_COLOR_TEAL_DARK_TINT": "TINTA AZZURRO SCURO"
"CUST_COLOR_GRAY_1": "GRIGIO 1"
"VCUST_UNDERGLOW_COLOR": "COLORE NEON"
"CUST_GANG_NUDE": "NUDI"
"CUST_COLOR_CLOTHING_RED-ORANGE_6": "ROSSO ARANCIONE 6"
"COLOR_SLOT_TINT": "TINTA"
"CUST_VARIANT_TRENCH": "SOLIDO"
"CUST_ITEM_LEATHER_LACE_MALE_I": "PIRATA DELLA STRADA"
"CUST_ITEM_CM_HAT_CARDINAL_HAT": "CAPPELLO DEL CARDINALE"
"CUST_MENU_LOGO_COLOR": "COLORE LOGO"
"CUST_COLOR_CLOTHING_BLUE-GREEN_6": "BLU VERDE 6"
"CUST_COMP_EYES_BLACK": "NERI"
"SLOT_HEADLIGHTS": "FANALI ANTERIORI"
"CUST_VARIANT_MATERIAL_15": "CUST_VARIANT_MATERIAL#15"
"CUST_ITEM_CM_LPC_FOOT_M_HEROBOOTS": "STIVALI EROE STEELPORT"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_2": "Aumenta il rateo di fuoco, la capienza dei caricatori e i danni. Mirino Red dot per una maggiore precisione."
"CUST_VARIANT_JEANS": "NORMALE"
"CUST_VARIANT_STRIPE_2": "STRISCE ORIZZONTALI"
"CUST_WEAR_LOW_BOTH_ZIPPED": "BASSI"
"CUST_ITEM_IMPRESSIONS_MALE_M": "SPIAGGIA DEL SUD"
"CUST_ITEM_CM_HATHAIR_PULLEDPONYTAIL": ""
"NOBODY_LOVE_NAME": "NOBODY LOVES ME"
"CUST_COLOR_CLOTHING_GREENS_1": "VERDE 1"
"CUST_COMP_FACE_SCAR_5": "CICATRICE PICCOLA 1"
"CUST_COMP_MUSTACHE_9": "ISPETTORE"
"FEMALE_SLENDER": "FEMMINA IN FORMA"
"CUST_VARIANT_FLAT_TOP_SHORT_SIDES": "SOMMITÀ PIATTA, MODELLO C"
"CUST_ITEM_CF_RING_F_LDYBUG_SPIDER": "ANELLI INSETTI MOLESTI"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2D": "URBAN SAFARI CON T-SHIRT A LUPETTO"
"CUST_SKIN_BLUE_1": "ELFO METROPOLITANO"
"CUST_COMPLIMENT_Z": "POLLICE SU"
"IRIDESCENT_3": "IRIDESCENTE 3"
"DARK_YELLOW": "GIALLO SCURO"
"PLAYER_MORPH_EARS_ROLL_TEXT": "ROTAZIONE ORECCHIO"
"PLAYER_MORPH_LIP_NOTCH_TEXT": "PIEGA LABBRO"
"PLAYER_MORPH_JOWLS_TEXT": "MASCELLE"
"CUST_COLOR_CLOTHING_RED_3": "ROSSO 3"
"RIM_190": "C-X 504 GREEN-BLACK"
"LOGO_CAVE_3": "CAVERNA FANTASMI 3"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_SUSPENDERS": "Vita molto alta, bretelle"
"CUST_BODY_MASK": "ABBRONZATURA"
"CUST_COLOR_CLOTHING_YELLOWS_8": "GIALLO 8"
"CUST_TATTOO_RUPPARM_8": "ESCA IN ACQUA"
"COLOR_SLOT_RIMS_2": "CERCHIONI 1"
"SLOT_WEAPONS": "ARMI"
"CUST_COLOR_ORANGE_3": "ARANCIONE 3"
"CUST_WEAR_TATTOO_SAM_DESIGN1": "SAM 1"
"CUST_WEAR_BUTTONED_HOOD_UP": "CHIUSA, CAPPUCCIO ALZATO"
"CUST_ITEM_ZIMOS_BLING_PACK": "STILE Z"
"CUST_COLOR_STRAWBERRY_BLONDE": "BIONDO RAMATO"
"LOGO_FRECKLE_1": "FRECKLE BITCHS 1"
"CUST_VARIANT_JERSEY": "STILE 1"
"CUST_ITEM_CF_DLC_SPACE_HAND_F_GLOVES": "GUANTI DA PRINCIPESSA SPAZIALE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHRTBTTNS": "UOMO MOD"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_D": "LET'S PRETEND UOMO D"
"CUST_CAT_HAIR_FACIAL": "PELURIA VISO"
"CUST_SAMEDI_TAUNT_A": "PROVOCAZIONE SAMEDI 1"
"SLOT_HYDRAULICS": "SOSPENSIONI IDRAULICHE"
"HAIR_COLOR_STRAWBERRY_BLONDE_MATTE": "BIONDO RAMATO OPACO"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBODOWN": "GIACCA CON CAPPUCCIO DA STRACCIONE"
"CUST_INSULT_HOOK": "GANCIO"
"CUST_MENU_HAIR": "CAPELLI"
"CUST_COMP_EYES_GREEN": "VERDI"
"CUST_TATTOO_LFORARM_8": "ALI MOZZATE"
"COMPONENT_OPTION_E": "OPZIONE E"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_I": "LEGGENDA HIP HOP"
"CUST_CAT_MAKEUP_AROUND_EYES": "ATTORNO AGLI OCCHI"
"CUST_SAMEDI_COMPLIMENT_D": "COMPLIMENTO SAMEDI 4"
"VEHICLE_COLOR_CAST_IRON": "GHISA"
"CUST_ITEM_IMPRESSIONS_FEMALE_Q": "GLI ANNI 80 SI SBAGLIAVANO"
"CUST_ITEM_FEMALE_LP_BRA_2": "MOLTO VELENOSA"
"CUST_SKIN_RED_YELLOW_5": "GIALLO PALLIDO"
"CUST_SKIN_METAL_2": "MERCURIO"
"CUST_COMP_FACE_MAKEUP_11": "CENTRO"
"LOGO_HHH": "HAIR HELMET HATS"
"CUST_VARIANT_BLURRY": "SFOCATO"
"CUST_WEAR_OPEN": "APERTO"
"CUST_ITEM_CM_DLC_M_GLASSES01": "OCCHIALI DA PAPPONE STILE Z"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_H": "RAGAZZA GANGSTER"
"CUST_CAT_LEFT_HAND": "MANO SINISTRA"
"PLAYER_MORPH_EYEBALLS_ELEVATION_TEXT": "ALTEZZA BULBO"
"PLAYER_MORPH_CHEEK_WIDTH_TEXT": "LARGHEZZA GUANCIA"
"CUST_COLOR_CLOTHING_RED_7": "ROSSO 7"
"RIM_194": "AF1 MONOBLOCK CX 502"
"SLOT_WINDOW_GUARD": "PROTEZIONI FINESTRINI"
"CUST_VARIANT_MATERIAL_#172": "NORMALE"
"CUST_COMP_FACE_WART_2": "VERRUCA 2"
"SLOT_MISC_COLOR": "Colori vari"
"CUST_VARIANT_FOREST_CAMO": "MIMETICO FORESTA"
"CUST_ITEM_FEMALE_LP_EARRINGS_4": "ORECCHINI GLI ALIENI ESISTONO"
"CUST_ITEM_CM_PSJ_UBDY_M_BDSHIRTVEST": "GILET E CAMICIA"
"CUST_ITEM_THREE_QUARTER_T_SHIRT": "MOTIVO A SPIRALE"
"CUST_ITEM_LEFT_UPPER_ARM_GEISHA_02": "FASCIATURA KO"
"STORE_WEAPON_OWNED": "IN POSSESSO"
"CUST_COMP_EYES_YELLOW": "GIALLI"
"CUST_VARIANT_CMCOA_UCOPVEST1": "POLIZIA"
"CUST_VARIANT_FLOWERS": "FIORI"
"CUST_WEAR_BACK LEFT": "DIETRO SINISTRA"
"VEHICLE_COLOR_PINK_DARK_TINT": "TINTA ROSA SCURO"
"COLOR_SLOT_PAINT_1": "VERNICE 1"
"COLOR_SLOT_INTERIOR_1": "INTERNI 1"
"COMPONENT_OPTION_A": "OPZIONE A"
"CUST_NO_ITEMS": "NESSUN LOGO"
"LOGO_VOLITION_3": "VOLITION 3"
"CUST_PRIMARY_COLOR": "COLORE PRIMARIO"
"PLAYER_MORPH_SKULL_SIZE_TEXT": "DIMENSIONE CRANIO"
"PLAYER_MORPH_LOWER_LIP_NOTCH_TEXT": "INCAVO LABBRO INFERIORE"
"OPTION_40": "OPZIONE 40"
"RIM_131": "R131"
"CUST_ITEM_CM_NLMC_UBDY_M_SHIRTCOMBO": "RAVE X KATENA KONFETTO"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPUP": "GIACCA TUTA DONNA CON CAPPUCCIO"
"CUST_ITEM_WORKER_BOOTS": "STIVALI DA RAGAZZACCIA"
"CUST_ITEM_PARACHUTE_BACKPACK": "GATTINA ANIME"
"CUST_TATTOO_HEAD": "TESTA"
"PLAYER_MORPH_LOWER_LIP_SIDES_SIZE_TEXT": "MISURA LATO LABBRO INF."
"CUST_VARIANT_FLOWER": "A FIORI"
"CUST_SKIN_RED_YELLOW_1": "ROSSO DIAVOLO"
"VEHICLE_COLOR_STEEL": "ACCIAIO"
"CUST_VARIANT_STRIPES_BIG": "GROSSE STRISCE"
"CUST_VARIANT_BAGGAGE": "BAGAGLIO"
"CUST_ITEM_CM_PSF_UBDY_M_JERSEY23": "MAGLIETTA DA BASKET UOMO"
"VEHICLE_PAINT_SPECIAL_PLASTIC": "PLASTICA SPECIALE"
"SLOT_FENDER_SKIRT": "COPRIRUOTA"
"SLOT_DASH": "CRUSCOTTO"
"CUST_VARIANT_CMBOT_WSLACKME01": "SOLIDO"
"CUST_VARIANT_PLAID_SMALL": "PLAID 1"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-UP": "PIUMINO MARSHMALLOW"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_SIZE_TEXT": "MISURA CENTRO LABBRO INF."
"CUST_COLOR_CLOTHING_BLUES_4": "BLU 4"
"CUST_COLOR_CLOTHING_RED-ORANGE_2": "ROSSO ARANCIONE 2"
"VEHICLE_COLOR_TRUMPET_YELLOW": "GIALLO TROMBETTA"
"CUST_VARIANT_TRACK_A": "STILE 4"
"CUST_VARIANT_TRIANGLE": "TRIANGOLO"
"CUST_VARIANT_POLICE_CHIEF": "DISTINTIVO CAPO"
"CUST_ITEM_CM_NECK_ROPECHAIN": "CATENA LEGGERA"
"CUST_ITEM_CM_LPE_HAND_M_GLOVESCOMB": "GUANTI SOLDATO DEL FUTURO"
"VEHICLE_COLOR_TOBIAS_FUR_WHITE": "BEIGE TOBIAS"
"SLOT_DECAL_4": "DECALCOMANIA 4"
"CUST_VARIANT_PIMPCOAT_COAT": "NORMALE"
"CUST_ITEM_CM_DLC_HEAD_M_SHARKHAT": "CAPPELLO MORSO SQUALO"
"FACIAL_EXPRESSION_DISGUSTED": "DISGUSTATO"
"VEHICLE_COLOR_TANGERINE_ORANGE": "ARANCIONE MANDARINO"
"CUST_VARIANT_FLAME": "FIAMMA"
"CUST_WEAR_BOTH_ROLLED_UP": "ENTRAMBE ARROTOLATE"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2C": "T-SHIRT URBAN SAFARI CON MANICHE A 3/4"
"CUST_ITEM_CM_LPG_MASK_M_MASKDOG": "SOLO COME UN CANE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_2": "BLU VERDE 2"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_4": "La granata si attacca a tutto ciò che colpisce."
"VEHICLE_COLOR_SLATE_GRAY": "GRIGIO ARDESIA"
"VEHICLE_COLOR_KHAKI_GREEN": "VERDE KAKI"
"VEHICLE_COLOR_HOT_PINK": "ROSA SHOCKING"
"CUST_VARIANT_CLOUDS": "NUVOLE"
"CUST_ITEM_CM_RADIATIONSUIT": "BRUCIO PER TE"
"CUST_ITEM_CF_LPH_UBDY_F_CLSWEATER": "MAGLIONE CHEERLEADER"
"CUST_ITEM_CM_LPH_NECK_M_PIRATENECKLACE": "GOIELLO PIRATA"
"CUST_INSULT_Q": "FOTTITI"
"CUST_COLOR_CLOTHING_GREENS_5": "VERDE 5"
"CUST_COMP_FACE_SCAR_1": "CICATRICE GRANDE 1"
"CUST_COMP_MALE_EYEBROWS": "UOMO AL NATURALE"
"SLOT_LICENSE_PLATE": "TARGA"
"LOGO_UNIVERSITY_2": "U DI STILWATER 2"
"CUST_CAT_HAIR_HEAD": "TESTA"
"CUST_SKIN_BLUE_5": "BLU GHIACCIO"
"PLAYER_MORPH_OUTER_BROW_ELEVATION_TEXT": "ALT. ESTERNO SOPRACCIGLIA"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_9": "VIOLA BLU 9"
"VEHICLE_PAINT_GANG_SOS": "SONS OF SAMEDI"
"CUST_VARIANT_SHIRT_A": "STILE 1"
"CUST_ITEM_CM_LLO_FOOT_M_LTHRBOOTS": "STIVALI POCKET ROCKET"
"CUST_ITEM_CF_LPE_HAT_F_MHELMET": "SOLDATO GIOVANE"
"CUST_INSULT_E": "PIVELLO"
"CUST_BODY": "CORPORATURA"
"PLAYER_MORPH_NOSE_TEXT": "NASO"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_4": "Incendia i nemici e aumenta la precisione degli spari dall'anca grazie al mirino laser."
"CUST_COMP_FINGERNAILS_L": "SMALTO PER UNGHIE"
"CUST_TATTOO_RCALF_6": "DONNA DIAVOLO"
"CUST_TATTOO_LARM_1": "DEMONE SANTO"
"CUST_TATTOO_LUPPARM_3": "UOMO AL SOLE"
"CUST_COMP_FEMALE_EYEBROWS_1": "RADE"
"CUST_VARIANT_FLAME_2": "FIAMMA 2"
"CUST_VARIANT_CHECKERS": "SCACCHI"
"CUST_VARIANT_CMSHO_UUTIBOOT03": "PELLE"
"CUST_VARIANT_STRIPES_3": "STRISCE 3"
"CUST_TATTOO_UPPER_LEG_RIGHT": "GAMBA DESTRA IN ALTO"
"CUST_TATTOO_ENTIRE_ARM_LEFT": "TUTTO IL BRACCIO SINISTRO"
"LOGO_TUX": "SMOKING"
"CUST_VARIANT_RIVET": "RIVETTATA"
"CUST_VARIANT_MATERIAL_3": "CUST_VARIANT_MATERIAL#3"
"CUST_ITEM_FEMALE_PS_EARRINGS_3": "ORECCHINI DA RAGAZZA FACILE"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_H": "CAPO CHEERLEADER"
"CUST_COMPLIMENT_J": "L'IMPIASTRO"
"PLAYER_MORPH_EARS_WIDTH_TEXT": "LARG. ORECCHIO"
"PLAYER_MORPH_EYES_TEXT": "OCCHI"
"CUST_COMP_EYE_MAKEUP_9": "LINER QUOTIDIANO"
"VEHICLE_COLOR_ALLOY": "LEGA"
"VEHICLE_COLOR_FURIOUS_ORANGE": "ARANCIONE BRILLANTE"
"RIM_182": "SD WGM TB"
"LOGO_GHOST_2": "FANTASMA 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ROLLED": "Lampo aperta a sx, dx arrotolata, alti"
"PRESET_WARNING_BODY2": "Perderai tutte le modifiche apportate.\nL'azione non può essere annullata.\n\nContinuare?"
"CUST_COLOR_GRAY": "GRIGIO"
"PLAYER_MORPH_LOWER_LID_SLANT_TEXT": "INCLIN. LABBRO INF."
"CUST_TATTOO_RFORARM_3": "LADRO ACQUISITO"
"CUST_COMP_FACE_BLOODY_SMEAR": "FESTA DI SANGUE"
"CUST_COMP_FACE_MOLE_2": "NEO 2"
"VEHICLE_COLOR_PINK_SALMON": "ROSA SALMONE"
