"CUST_ITEM_CF_HAIR_MED": "PO RAMENA"
"STORE_WEAPON_AMMO": "KOUPIT MUNICI/GRANÁTY"
"CUST_COMP_FACE_BANDAGE_1": "NÁPLAST NA NOSE"
"CUST_COMP_FACE_MAKEUP_9": "PRAVÝ MONOKL"
"VEHICLE_COLOR_ALUMINUM": "HLINÍK"
"VEHICLE_PAINT_TIRE_TREAD": "PROFIL PNEUMATIKY"
"SLOT_TIRE_DURABILITY_DESC": "U vylepšených pneumatik je menší šance, že píchneš."
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_4": "NÁUŠNICE S DRAHOKAMEM"
"PLAYER_CREATION_MENU_5": "TĚLO"
"CUST_COLOR_CLOTHING_GREYS_8": "ŠEDÁ 8"
"DARK_INDIGO": "TMAVĚ INDIGOVÁ"
"CUST_VARIANT_POCKET": "KAPESNÍ"
"CUST_ITEM_CF_LPC_MASK_F_FEMHEROMASK": "MASKA SUPERHRDINKY"
"CUST_CAT_LEFT_WRIST": "LEVÉ ZÁPĚSTÍ"
"CUST_TATTOO_HAND_LEFT": "LEVÁ RUKA"
"PLAYER_MORPH_EAR_ELEVATION_TEXT": "POSAZENÍ UCHA"
"VEHICLE_COLOR_ACTIVE_RED": "AKTIVNÍ ČERVENÁ"
"CUST_VARIANT_SHOE": "JEMNÝ ŘEMÍNEK"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_UNZIPPED": "Levou srolovat, pravou rozepnout, vysoko"
"CUST_ITEM_CM_IMPO_LBDY_M_PANTS": "USEDLÉ KALHOTY"
"CUST_ITEM_FEMALE_MURDERBRAWL_OUTFIT": "DÁMSKÝ KOSTÝM 3 COUNT"
"CUST_COMPLIMENT_I": "RODEO"
"VEHICLE_COLOR_FRESH_PLUM_PURPLE": "ŠVESTKOVĚ FIALOVÁ"
"VEHICLE_COLOR_PURPLE_DARK_TINT": "TMAVĚ FIALOVÝ ODSTÍN"
"Gray": "ŠEDÁ"
"CUST_VARIANT_DIAMONDS": "MALÉ DIAMANTY"
"CUST_ITEM_CM_FPIC_EYEBRIGHT": "PIERCING OBOČÍ NAPRAVO"
"CUST_ITEM_CM_HAIR_SHORTAFRO": "ZKROCENÉ AFRO"
"CUST_INSULT_F": "SJEZD"
"PLAYER_MORPH_MOUTH_BITE_TEXT": "SKUS"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_3": "Větší síla."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_2": "Delší střelba dávkami."
"CUST_TATTOO_RCALF_5": "NOSÍM SI KŘÍŽ"
"CUST_TATTOO_LARM_2": "DISTRIBUTOR SMRTI"
"CUST_COMP_FEMALE_EYEBROWS_2": "ZAKROUCENÉ"
"CUST_ITEM_CM_PSC_EYES_M_HPSGLASS": "HIPSTERSKÉ BRÝLE"
"CUST_PRESET_DESTRUCT_WARNING_TEXT": "Použitím předvolby zrušíš všechny provedené změny.\n\nPřeješ si pokračovat?"
"CUST_SECONDARY_COLOR": "VEDLEJŠÍ BARVA"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_4": "Průrazné střelivo zvyšuje sílu zbraně a dokáže prostřelit zbroj nebo pancíř."
"CUST_COMP_FACE_MOLE_1": "PIHA 1"
"VEHICLE_COLOR_DUST_RED": "CIHLOVĚ ČERVENÁ"
"VEHICLE_COLOR_MINT_CHAR_GREEN": "MÁTOVĚ ZELENÁ"
"CUST_WEAR_NORMAL_EXTRA_HIGH": "NORMÁLNÍ, EXTRA VYSOKÉ"
"CUST_ITEM_CM_PSD_FOOT_M_HIPSNEAKERS": "KOALA KIKS"
"CUST_SKIN_GREY_1": "ALABASTROVÁ"
"FACIAL_EXPRESSION_SMARMY": "PODLÉZAVÝ"
"PLAYER_MORPH_EARS_YAW_TEXT": "UŠNÍ OTVOR"
"PLAYER_MORPH_NOSTRIL_WIDTH_TEXT": "ŠÍŘKA NOSNÍCH DÍREK"
"VEHICLE_PAINT_GANG_BROTHERHOOD": "BRATRSTVO"
"SLOT_HOOD": "KAPOTY"
"CUST_ITEM_MALE_NLM_OUTFIT_B": "EX-VĚZEŇ"
"CUST_ITEM_CM_LPC_HAND_M_HEROGLOVES": "RUKAVICE SUPERHRDINY"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_3": "Zvětšení zásobníků a větší kadence."
"RIM_181": "SD WGM TY"
"LOGO_NUMBER8": "ČÍSLO 8"
"LOGO_GHOST_1": "DUCH 1"
"CUST_BRO_TAUNT_D": "URÁŽKA BRATRSTVA 4"
"PLAYER_MORPH_UPPER_LIP_EDGES_LENGTH_TEXT": "DÉLKA OKRAJŮ HORNÍHO RTU"
"PLAYER_MORPH_EYELID_SLANT_TEXT": "SKLON VÍČKA"
"VEHICLE_COLOR_SATIN_BRIGHT_WHITE": "SATÉNOVÁ SVĚTLE BÍLÁ"
"CUST_ITEM_FEMALE_NLM_OUTFIT_H": "HIPPIE RAVER"
"CUST_COLOR_CLOTHING_VIOLET_7": "FIALOVÁ 7"
"CUST_WEAR_TATTOO_BAND_B": "PÁSEK 2"
"CUST_WEAR_RIGHT_ROLLED_LOW": "SROLOVAT PRAVOU, NÍZKO"
"CUST_ITEM_CM_SUIT_M_CYBERAVATAR": "KYBER SVATÝ"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_H": "VLÁDCE MOŘÍ"
"CUST_BODY_HAIR": "OCHLUPENÍ"
"CUST_COLOR_CLOTHING_YELLOWS_4": "ŽLUTÁ 4"
"CUST_TATTOO_RUPPARM_4": "8BITOVÝ GAT"
"SLOT_TRIM_COLOR": "BARVA OBRUB"
"CUST_ITEM_CF_NLMB_LWRST_F_WRISTBAND": "PUNKERSKÝ NÁRAMEK"
"Brunette": "BRUNETA"
"LOGO_HORSE": "KŮŇ"
"LOGO_SAW": "MOTOROVÁ PILA"
"CUST_VARIANT_FLAT_TOP_DESIGN_A": "TRIČKO NÁVRH A"
"CUST_ITEM_CM_IMPL_UBDY_M_JSCARF": "T-ROY"
"CUST_ITEM_FEMALE_LL_BRA_3": "DOTKNI SE MÉHO SRDCE"
"CUST_VOICE_MALE_LATINO": "MUŽ 3"
"CUST_VARIANT_GANG_CAMO": "GANGSTERSKÁ KAMUFLÁŽ"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "STEAMPUNKOVÝ BOJOVNÍK"
"PLAYER_CREATION_PRESET_MALE": "MUŽ"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "Zvětšení zásobníků."
"CUST_COMP_MUSTACHE_26": "ŠPANĚLÁK"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "PLÁŽOVÁ POVALEČKA"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "SKANDÁLNÍ TANGA"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "DOBRÝ RÁNO"
"STRONGHOLD_CUSTOMIZATION": "ÚPRAVA PEVNOSTI"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_TATTOO_LFORARM_4": "SKRYTÁ ZBRAŇ"
"COLOR_SLOT_SOFTTOP": "SKLÁDACÍ STŘECHA"
"SLOT_LIGHTS": "SVĚTLA"
"CUST_VARIANT_TRI_COLOR": "TŘI BARVY"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "PRSTENY VE STYLU ZET"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "PIERCING OBOČÍ NALEVO"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "KALHOTY K OBLEKU"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_E": "POULIČNÍ FRAJER"
"BRIGHT_PURPLE": "SVĚTLE FIALOVÁ"
"LOGO_8BALL": "8 BALL"
"CUST_VARIANT_SPORT_SHORTS_1": "STYL 2"
"CUST_VARIANT_ARGYLE": "PROUŽKY"
"CUST_TATTOO_RARM_6": "CHYTILI MĚ DO SÍTĚ"
"RIM_152": "LUMINATI"
"CUST_ITEM_CM_NLMA_FOOT_M_SPBOOTS": "STEAMPUNKOVÉ BOTY"
"CUST_ITEM_PLAIN_WHITE_TEE": "TRIČKO"
"CUST_ITEM_CM_PSF_UBDY_M_SAINTSJERSEY": "DRES TÝMU SAINTS"
"CUST_TATTOO_TORSO_UPPER_BACK": "HORNÍ ČÁST ZAD"
"Paint": "LAK"
"LOGO_GIRL_1": "HOLKA 1"
"CUST_VARIANT_10_DEFAULT": "VARIANTA 10"
"CUST_VARIANT_TIE_DYE_1": "BATIKA 1"
"CUST_VARIANT_CMCOA_MSUNSHINE01": "NORMÁLNÍ"
"CUST_WEAR_TATTOO_AZTEC_TURTLE": "AZTÉCKÝ HAD"
"CUST_ITEM_MID_LENGTH_CHAIN_LOOPS_1": "HIPHOPOVÉ DŽÍNY"
"CUST_SHOES": "BOTY"
"CUST_TATTOO_ENTIRE_BACK": "CELÁ ZÁDA"
"PLAYER_MORPH_NOSE_SLOPE_TEXT": "HŘBET NOSU"
"CUST_SKIN_CAUCASIAN_01": "BĚLOCH 1"
"CUST_MENU_MAKEUP": "MAKE-UP"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_2": "Větší oblast účinku."
"CUST_TATTOO_STOMACH_3": "PŘÍRODNÍ VOR"
"CUST_COMP_MUSTACHE_5": "KARTÁČEK NA ZUBY"
"VEHICLE_COLOR_TINT_20": "ODSTÍN 20%%"
"CUST_ITEM_CF_CLASSICUP": "DEBUTANTKA"
"CUST_COMPLIMENT_V": "POTLESK"
"PLAYER_MORPH_OLD_TEXT": "VĚK"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_1": "MODROFIALOVÁ 1"
"LOGO_WASHINGTON": "WASHINGTON"
"CUST_GANG_ZOMBIE": "ZOMBIE"
"VEHICLE_COLOR_AMERICANA_RED": "AMERICKÁ ČERVENÁ"
"RIM_SET_016": "SADA RÁFKŮ 16"
"CUST_VARIANT_PATTERN_1_DECALS": "STYL S POTISKY"
"CUST_FACIAL_EXP_SAINTLY": "SVATOUŠKOVSKÝ"
"CUST_ITEM_WEAR_OPTIONS": "STYL OBLEČENÍ"
"CUST_COMP_FACE_BLOODY_FACE": "ZKRVAVENÁ TVÁŘ"
"LOGO": "LOGO"
"CUST_COLOR_RED_3": "ČERVENÁ 3"
"CUST_ITEM_CF_IMPO_NECK_F_NECKLACE": "NÁHRDELNÍK URBAN SAFARI"
"CUST_EYEWEAR": "DOPLŇKY"
"CUST_FACIAL_FEATURES": "RYSY"
"TATTOO_NAME": "RUSTY'S NEEDLE"
"CUST_TATTOO_RARM_2": "OBCHODNÍK SE SMRTÍ"
"VEHICLE_PAINT_EXOTIC": "EXOTICKÝ"
"RIM_156": "LX-19"
"SLOT_DECAL_8": "POTISK 8"
"SLOT_MISCELLANEOUS": "RŮZNÉ BARVY"
"CUST_VARIANT_FADE": "VYBLEDLÉ"
"CUST_ITEM_CM_IMPB_UBDY_M_LOWSHIRT": "KAŠMÍR NA MÍRU"
"CUST_ITEM_CF_LLI_EYES_F_SUNGLASSES": "DĚSIVÉ BRÝLE"
"CUST_ITEM_CM_HAIR_WILDMESSY2": "HARD ROCK"
"CUST_ITEM_CF_PSE_FOOT_F_STRAPPYSANDLES": "STŘEVÍCE TANEČNICE U TYČE"
"CUST_SKIN_ASIAN_04": "ASIAT 4"
"CUST_EYELINER": "OČNÍ LINKY"
"CUST_MORPH_CAT_EYES": "OČI"
"CUST_COLOR_CLOTHING_BLUES_8": "MODRÁ 8"
"SLOT_DOORS": "DVEŘE"
"LOGO_BALANCE_1": "ROVNOVÁHA 1"
"CUST_ITEM_LEATHER_LACE_MALE_A": "KOŽENÝ OBLEK"
"CUST_ITEM_CM_NLMD_UBDY_M_JACKETCOMBO": "PUNKERSKÁ ANARCHISTICKÁ BUNDA"
"PLAYER_MORPH_EYE_HEIGHT_TEXT": "VÝŠKA OKA"
"SLOT_TORQUE": "TOČIVÝ MOMENT"
"LOGO_SCORPION": "ŠKORPIÓN"
"CUST_VARIANT_THICK_STRIPES": "ŠIROKÉ PRUHY"
"CUST_VARIANT_PLAID_BIG": "PLÉD 2"
"CUST_ITEM_CM_JOY_UBDY_THECODE": "JOYSTICK JUNKIES CODE CONTROL"
"CUST_ITEM_CF_LPC_LBDY_F_FEMHEROLEGS": "KALHOTY SUPERHRDINKY"
"CUST_SKIN_CAUCASIAN_05": "BĚLOCH 5"
"EXIT": "KONEC"
"BRIGHT_BLUE-GREEN": "SVĚTLE MODROZELENÁ"
"CUST_VARIANT_LETTERMANSTYLE": "STYL 3"
"CUST_VARIANT_CMUNS_UTSHIRT04_U": "STYL 2"
"CUST_ITEM_CM_RADIATIONMASK": "ATOMOVÁ KATASTROFA"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEDOWN": "HULIČSKÁ BUNDA"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_5": "MODROFIALOVÁ 5"
"SLOT_CHASSIS": "ŠASI"
"CUST_VARIANT_MATERIAL__1": "CUST_VARIANT_MATERIAL_#1"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_UNZIPPED": "ROZEPNOUT PRAVOU, NÍZKO"
"CUST_ITEM_IMPRESSIONS_MALE_E": "PRŮVODCE PO SAFARI"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRTTIE": "DO KANCELÁŘE"
"CUST_ITEM_CF_HAIR_PUNKSHAVEDSIDES": "PUNK ROCK"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEUP": "KOŠILE, KRAVATA A BUNDA S KAPUCÍ "
"CUST_CAT_BODY_HAIR": "OCHLUPENÍ"
"CUST_COMPLIMENT_ZZ": "POKÝVNUTÍ"
"PLAYER_MORPH_TIPS_SPACING_TEXT": "POLOHA ŠPIČEK UŠÍ"
"CUST_COLOR_CLOTHING_GREENS_9": "ZELENÁ 9"
"CUST_TATTOO_STOMACH_7": "ESO SMRTI"
"CUST_COMP_MUSTACHE_1": "KNÍR"
"RIM_202": "RBP R96 CUSTOM PURPLE"
"LOGO_ROUNDHOUSE": "ŠATLAVA"
"LOGO_REAPER": "SEKÁČ"
"CUST_COMPLIMENT_R": "JESSICA"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_4": "Schopnost ovládat vojenská vozidla."
"VEHICLE_PAINT_PEARLESCENT_PAINT": "PERLEŤOVÝ LAK"
"HAIR_COLOR_BLONDE_MATTE": "MATNÁ BLOND"
"CUST_COLOR_ROSE_3": "RŮŽOVÁ 3"
"LOGO_NUMBER11": "ČÍSLO 11"
"CUST_ITEM_CM_LPG_MASK_M_MASKPIG": "CHROCHTÁK"
"CUST_CAT_PIERCING_NOSE": "NOS"
"PLAYER_MORPH_UPPER_LIP_SHAPE_TEXT": "TVAR HORNÍHO RTU"
"CUST_VOICE_FEMALE_LATINO": "ŽENA 3"
"CUST_COMP_EYES_PALE_BLUE": "SVĚTLE HNĚDÁ"
"RIM_SET_012": "SADA RÁFKŮ 12"
"CUST_VARIANT_STOCKINGS_1": "JEDNOBAREVNÝ"
"CUST_VARIANT_3COLOR_THICK": "TRIKOLORA ŠIROKÁ"
"CUST_WEAR_UNTUCKED": "NEZASTRČENÉ"
"CUST_ITEM_CM_PSI_NECK_M_CHAINS": "LILIE"
"SLOT_FUZZY_DICE": "CHLUPATÁ KOSTKA"
"CUST_WEAR_BOTH_ROLLED_LOW": "OBOJÍ SROLOVAT, NÍZKO"
"CUST_ITEM_CF_IMPR_LBDY_F_PANTS": "KALHOTY NA TÚRU"
"CUST_ITEM_LEATHER_LACE_FEMALE_I": "PUNKROCKOVÁ STRIPTÉRKA"
"PLAYER_MORPH_JOWLS_SPACING_TEXT": "ROZESTUP ČELISTÍ"
"CUST_COLOR_CLOTHING_VIOLET_3": "FIALOVÁ 3"
"CUST_ITEM_CM_DLC_HAND_M_GPGLOVES": "RUKAVICE NA VRAŽDEDNÍ"
"CUST_CAT_UPPER_BODY": "HORNÍ ČÁST TĚLA"
"CUST_BRO_COMPLIMENT_B": "POKLONA BRATRSTVA 2"
"PLAYER_CREATION_AGE_YOUNG": "NÍZKÝ VĚK"
"PLAYER_MORPH_TIPS_ELEVATION_TEXT": "VÝŠKA ŠPIČEK UŠÍ"
"PLAYER_CREATION_PRESET_HISPANIC": "HISPÁNEC"
"VEHICLE_COLOR_SLOW_BURN_RED": "TMAVĚ ČERVENÁ"
"CUST_VARIANT_PEACE": "MÍR"
"CUST_WEAR_ZIPPED_HOOD_DOWN": "ZAPNUTÉ, KAPUCE DOLE"
"CUST_ITEM_CF_RING_F_SHARKTOOTH": "PRSTEN SE ŽRALOČÍM ZUBEM"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR2": "OBLEK NA BONDAGE"
"FACIAL_EXPRESSION_DEATH_A": "SMRTKA 1"
"CUST_ITEM_CF_IMPO_FOOT_M_PLTFRMS": "PODPATKY URBAN SAFARI"
"CUST_ITEM_CF_NLMH_FOOT_F_SHAGBOOTSM": "BOTY PARTY TIME"
"CUST_ITEM_CF_PSB_HAT_F_BASTILLECAP": "BÁSNICKÁ ČAPKA"
"FACIAL_EXPRESSION_BLANK": "BEZVÝRAZNÝ"
"PLAYER_MORPH_NOSE_ELEVATION_TEXT": "POSAZENÍ NOSU"
"CUST_COMP_MUSTACHE_22": "PRUH NA BRADĚ"
"VEHICLE_COLOR_RUST_BROWN": "REZAVĚ HNĚDÁ"
"SLOT_REAR_MODS": "ÚPRAVY ZADKU"
"CUST_COLOR_TEAL_1": "MODROZELENÁ 1"
"CUST_VARIANT_SQUARES": "KÁRO"
"CUST_WEAR_TUCKED_ZIPPED": "ZASTRČENÉ, ZAPNUTÉ"
"CUST_ITEM_CM_PSC_FOOT_M_SNEAKERS": "HI TOPS"
"PLAYER_MORPH_TEMPLE_WIDTH_TEXT": "ŠÍŘKA SPÁNKU"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_2": "Větší kapacita munice, granáty se po zásahu přichytí na cíl."
"CUST_GANG_GIMP": "OTROK"
"CUST_ITEM_CM_DLC_HAT_M_KNIGHT": "RYTÍŘSKÁ PŘÍLBICE"
"CUST_ITEM_CM_NLME_EYES_M_SUNGLASSES": "BRÝLE NETWORK"
"PLAYER_MORPH_MOUTH_EDGES_TEXT": "OKRAJE ÚST"
"COLOR_SLOT_TRIM_3": "LEMOVÁNÍ 3"
"LOGO_FLOWERS": "KVĚTINY"
"COMPONENT_PAINT_1": "LAK 1"
"CUST_WEAR_LOW": "NÍZKÉ"
"CUST_ITEM_CF_LLR_NECK_F_IVORYCHOKER": "OBOJEK SVŮDNICE"
"CUST_CAT_HAIR_EYEBROWS": "OBOČÍ"
"CUST_EXIT_WARNING_TITLE": "VAROVÁNÍ"
"PLAYER_CREATION_FIGURE_ATHLETIC": "ATLETICKÁ"
"LOGO_SIZZURP": "Sizzurp 101.69"
"CUST_ITEM_CM_PSI_HAT_M_SRCAP": "ČEPICE SAINTS"
"PLAYER_MORPH_NOSE_TIP_TEXT": "ŠPIČKA NOSU"
"VEHICLE_COLOR_TEAL_DARK_TINT": "TMAVĚ NAZELENALÝ ODSTÍN"
"CUST_COLOR_GRAY_1": "ŠEDÁ 1"
"VCUST_UNDERGLOW_COLOR": "BARVA PODSVÍCENÍ"
"CUST_GANG_NUDE": "NAHÁČ"
"CUST_COLOR_CLOTHING_RED-ORANGE_6": "ČERVENOORANŽOVÁ 6"
"COLOR_SLOT_TINT": "ODSTÍN"
"CUST_VARIANT_TRENCH": "JEDNOBAREVNÉ"
"CUST_ITEM_LEATHER_LACE_MALE_I": "SILNIČNÍ PRASE"
"CUST_ITEM_CM_HAT_CARDINAL_HAT": "KARDINÁLŮV KLOBOUK"
"CUST_MENU_LOGO_COLOR": "BARVA LOGA"
"CUST_COLOR_CLOTHING_BLUE-GREEN_6": "MODROZELENÁ 6"
"CUST_COMP_EYES_BLACK": "ČERNÁ"
"SLOT_HEADLIGHTS": "PŘEDNÍ SVĚTLA"
"CUST_VARIANT_MATERIAL_15": "CUST_VARIANT_MATERIAL#15"
"CUST_ITEM_CM_LPC_FOOT_M_HEROBOOTS": "BOTY SUPERHRDINY"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_2": "Zvyšuje kadenci, velikost zásobníku a sílu zbraně. Holografický zaměřovač pro přesnější mířenou střelbu."
"CUST_VARIANT_JEANS": "NORMÁLNÍ"
"CUST_VARIANT_STRIPE_2": "VODOROVNÉ PRUHY"
"CUST_WEAR_LOW_BOTH_ZIPPED": "NÍZKO"
"CUST_ITEM_IMPRESSIONS_MALE_M": "SOUTH BEACH"
"CUST_ITEM_CM_HATHAIR_PULLEDPONYTAIL": ""
"NOBODY_LOVE_NAME": "NOBODY LOVES ME"
"CUST_COLOR_CLOTHING_GREENS_1": "ZELENÁ 1"
"CUST_COMP_FACE_SCAR_5": "MALÁ JIZVA 1"
"CUST_COMP_MUSTACHE_9": "INSPEKTOR"
"FEMALE_SLENDER": "ŠTÍHLÁ ŽENA"
"CUST_VARIANT_FLAT_TOP_SHORT_SIDES": "KRÁTKÉ TRIČKO"
"CUST_ITEM_CF_RING_F_LDYBUG_SPIDER": "BROUČÍ PRSTENY"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2D": "URBAN SAFARI S ROLÁKEM"
"CUST_SKIN_BLUE_1": "PODZEMNÍ ELF"
"CUST_COMPLIMENT_Z": "PALEC NAHORU"
"IRIDESCENT_3": "DUHOVÁ 3"
"DARK_YELLOW": "TMAVĚ ŽLUTÁ"
"PLAYER_MORPH_EARS_ROLL_TEXT": "NATOČENÍ UŠÍ"
"PLAYER_MORPH_LIP_NOTCH_TEXT": "VZHLED RTU"
"PLAYER_MORPH_JOWLS_TEXT": "ČELISTI"
"CUST_COLOR_CLOTHING_RED_3": "ČERVENÁ 3"
"RIM_190": "C-X 504 GREEN-BLACK"
"LOGO_CAVE_3": "FANTÓMOVA JESKYNĚ 3"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_SUSPENDERS": "Extra vysoké kalhoty, kšandy"
"CUST_BODY_MASK": "OPÁLENÍ"
"CUST_COLOR_CLOTHING_YELLOWS_8": "ŽLUTÁ 8"
"CUST_TATTOO_RUPPARM_8": "PÁN MOŘE"
"COLOR_SLOT_RIMS_2": "RÁFKY 1"
"SLOT_WEAPONS": "ZBRANĚ"
"CUST_COLOR_ORANGE_3": "ORANŽOVÁ 3"
"CUST_WEAR_TATTOO_SAM_DESIGN1": "SAMŮV NÁVRH 1"
"CUST_WEAR_BUTTONED_HOOD_UP": "ZAPNOUT, KAPUCE NAHOŘE"
"CUST_ITEM_ZIMOS_BLING_PACK": "STYL \"Z\""
"CUST_COLOR_STRAWBERRY_BLONDE": "BLOND S ČERVENÝMI ODLESKY"
"LOGO_FRECKLE_1": "PIHATÝ DĚVKY 1"
"CUST_VARIANT_JERSEY": "STYL 1"
"CUST_ITEM_CF_DLC_SPACE_HAND_F_GLOVES": "RUKAVICE VESMÍRNÉ PRINCEZNY"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHRTBTTNS": "MODELOVÁ PÁNSKÁ"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_D": "LETS PRETEND MUŽ D"
"CUST_CAT_HAIR_FACIAL": "VOUSY"
"CUST_SAMEDI_TAUNT_A": "URÁŽKA SYNŮ SAMEDIHO 1"
"SLOT_HYDRAULICS": "HYDRAULIKA"
"HAIR_COLOR_STRAWBERRY_BLONDE_MATTE": "MATNÁ BLOND S ČERVENÝMI ODLESKY"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBODOWN": "BUNDA LENIVÉHO POVALEČE"
"CUST_INSULT_HOOK": "PRAVÝ HÁK"
"CUST_MENU_HAIR": "VLASY"
"CUST_COMP_EYES_GREEN": "ZELENÁ"
"CUST_TATTOO_LFORARM_8": "ZASTŘIHNUTÉ KŘÍDLO"
"COMPONENT_OPTION_E": "OPTION E (SHOULD NOT BE USED)"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_I": "HIPHOPOVÁ LEGENDA"
"CUST_CAT_MAKEUP_AROUND_EYES": "KOLEM OČÍ"
"CUST_SAMEDI_COMPLIMENT_D": "POKLONA SYNŮ SAMEDIHO 4"
"VEHICLE_COLOR_CAST_IRON": "LITINA"
"CUST_ITEM_IMPRESSIONS_FEMALE_Q": "BLÁZNIVÁ OSMDESÁTÁ"
"CUST_ITEM_FEMALE_LP_BRA_2": "OPRAVDU JEDOVATÁ"
"CUST_SKIN_RED_YELLOW_5": "NEMOCNĚ ŽLUTÁ"
"CUST_SKIN_METAL_2": "STŘÍBRNÁ REFLEXNÍ"
"CUST_COMP_FACE_MAKEUP_11": "TERČ"
"LOGO_HHH": "VLASY HELMY KLOBOUKY"
"CUST_VARIANT_BLURRY": "ROZMAZANÝ"
"CUST_WEAR_OPEN": "REZEPNUTÉ"
"CUST_ITEM_CM_DLC_M_GLASSES01": "PASÁCKÉ BRÝLE VE STYLU ZET"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_H": "GANGSTERKA"
"CUST_CAT_LEFT_HAND": "LEVÁ RUKA"
"PLAYER_MORPH_EYEBALLS_ELEVATION_TEXT": "VÝŠKA OČÍ"
"PLAYER_MORPH_CHEEK_WIDTH_TEXT": "ŠÍŘKA TVÁŘE"
"CUST_COLOR_CLOTHING_RED_7": "ČERVENÁ 7"
"RIM_194": "AF1 MONOBLOCK CX 502"
"SLOT_WINDOW_GUARD": "OKENNÍ RÁMY"
"CUST_VARIANT_MATERIAL_#172": "NORMÁLNÍ"
"CUST_COMP_FACE_WART_2": "BRADAVICE 2"
"SLOT_MISC_COLOR": "Různé barvy"
"CUST_VARIANT_FOREST_CAMO": "LESNÍ KAMUFLÁŽ"
"CUST_ITEM_FEMALE_LP_EARRINGS_4": "NÁUŠNICE MIMOZEMŠŤANKY"
"CUST_ITEM_CM_PSJ_UBDY_M_BDSHIRTVEST": "KOŠILE, SVETR A VESTA"
"CUST_ITEM_THREE_QUARTER_T_SHIRT": "TWIRLY ZINGZINGS"
"CUST_ITEM_LEFT_UPPER_ARM_GEISHA_02": "WRESTLERSKÉ OBVAZY"
"STORE_WEAPON_OWNED": "VLASTNÍ"
"CUST_COMP_EYES_YELLOW": "ŽLUTÁ"
"CUST_VARIANT_CMCOA_UCOPVEST1": "POLICEJNÍ"
"CUST_VARIANT_FLOWERS": "KVĚTINY"
"CUST_WEAR_BACK LEFT": "VZADU VLEVO"
"VEHICLE_COLOR_PINK_DARK_TINT": "TMAVĚ FIALOVÝ NÁDECH"
"COLOR_SLOT_PAINT_1": "LAK 1"
"COLOR_SLOT_INTERIOR_1": "INTERIÉR 1"
"COMPONENT_OPTION_A": "OPTION A (SHOULD NOT BE USED)"
"CUST_NO_ITEMS": "BEZ LOGA"
"LOGO_VOLITION_3": "ROZHODNUTÍ 3"
"CUST_PRIMARY_COLOR": "HLAVNÍ BARVA"
"PLAYER_MORPH_SKULL_SIZE_TEXT": "VELIKOST LEBKY"
"PLAYER_MORPH_LOWER_LIP_NOTCH_TEXT": "VZHLED SPODNÍHO RTU"
"OPTION_40": "VOLBA 40"
"RIM_131": "R131"
"CUST_ITEM_CM_NLMC_UBDY_M_SHIRTCOMBO": "RAVE X KANDY KONSTRUCTION"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPUP": "DÁMSKÁ TEPLÁKOVÁ BUNDA S KAPUCÍ"
"CUST_ITEM_WORKER_BOOTS": "BOTY PRO ZLOBIVÉ HOLKY"
"CUST_ITEM_PARACHUTE_BACKPACK": "KOČIČKA ANIME"
"CUST_TATTOO_HEAD": "HLAVA"
