"UNL_DESC_RESPECT_LUCHA_3": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_HOMIE_ZGAT": "МОЗГИИИИИИ"
"UNL_CLOTHING_AVATAR": "КОСТЮМ - КОСТЮМ ДЛЯ ЗАХВАТА ДВИЖЕНИЯ"
"TUT_WHORED_Z_RITA": "РИТА"
"TUT_WHORED_D_ANKLE_BITERS": "КУСАТЕЛИ ЛОДЫЖЕК"
"TUT_WHORED_BEERMUSCLES": "МЕГА-МЫШЦЫ"
"TUT_TITLE_CHOPSHOP": "УГОНЫ"
"TUT_STORE_INTRO_SURGEON": "В \"Образе и подобии\" можно изменить свой внешний вид а также наборы комплиментов и насмешек. "
"ENTER_WATERCRAFT_MESSAGE": "ПОДНЯТЬСЯ НА СУДНО"
"HUD_CRUISE_CONTROL_ACTIVE_NEW": "[format][scale:1]{CRUISE_CONTROL_B_IMG}[/format] КРУИЗ-КОНТРОЛЬ"
"UNL_DLC_ASSET04_ALERT": "НАБОР СПЕЦМАШИН"
"UNL_DESC_DLC_PREORDER03_WEAPONS": "Выпускает целую кучу гранат для максимального разрушения."
"UNL_DESC_PLAYER_HEALTH_2": "Уровень здоровья игрока увеличивается на 50%%."
"UNL_RESPECT_BONUS_MODIFIER": "БОНУС - АВТОРИТЕТ"
"TUT_TITLE_RC_GUN": "МОБИЛЬНАЯ ПУШКА RC"
"TUT_TITLE_STORE_INTRO_MUSIC": "МУЗЫКАЛЬНЫЕ МАГАЗИНЫ"
"TUT_DIV_INTRO_STREAKING": "Покажите свой товар!"
"TUT_TAUNTING": "{MENU_DP_LEFT_IMG} НАСМЕШКА\n{MENU_DP_RIGHT_IMG} КОМПЛИМЕНТ\nВы можете общаться с людьми и зарабатывать авторитет, а также провоцировать с помощью насмешек членов вражеских банд и убивать их."
"RESPECT_RANK_UP": "РАНГ ПОВЫШАЕТСЯ"
"ACHIEVE_SR3_ONCE_BITTEN_BRAAAAAAAINS": "ОДНАЖДЫ УКУШЕННЫЙ... МОЗГИИИИИ"
"ENTER_VEHICLE_PASSENGER_SEAT_MESSAGE": "НАЖМИТЕ %ls, ЧТОБЫ СЕСТЬ НА МЕСТО ПАССАЖИРА В МАШИНУ."
"UNL_DESC_DRUGTRAFFICKING": "Вы открыли новые локации для задания НАРКОТРАФИК. \nПоищите их на карте."
"UNL_DUAL_WIELD_SMGS": "ДВЕ РУКИ - АВТОМАТЫ"
"UNL_DESC_WEP_SONIC_WAVE_GUN": "Взять звуковой удар вы сможете на оружейном складе в вашем жилище."
"TUT_STORE_INTRO_TATTOO": "В тату-салонах можно изменить своего персонажа. Татуировки также позволяют повысить авторитет."
"HUD_RESPECT_RANK_004": "СТРЕЛОК"
"HUD_KICK_DOOR_MESSAGE": "ОТКРЫТЬ ДВЕРЬ"
"UNL_WIPE_NOTORIETY_POLICE": "БЕЗ ДУРНОЙ СЛАВЫ - ПОЛИЦИЯ"
"UNL_LUMP_SUM_OF_MONEY": "БОНУС - БАБЛО ЗА ШЛЮХ"
"UNL_DESC_GARAGE_TANK": "Взять танк вы сможете в вашем жилище."
"WPNCAT_PISTOL": "ПИСТОЛЕТ"
"UNL_FASTER_HOMIE_REVIVE_1": "ВОЗРОЖДЕНИЕ - СКОРОСТЬ"
"UNL_UPGRADE_AMMO_GRENADE_3": "ГРАНАТЫ 3"
"UNL_UPGRADE_AMMO_SHOTGUN_2": "ПАТРОНЫ - ДРОБОВИК 2"
"UNL_HOMIE_ZIMOS": "БРАТОК - ЗАЙМОС"
"TUT_WHORED_NUTSHOTS": "ПО ЯЙЦАМ"
"TUT_TITLE_IMPROVISED_WEAPONS": "ИМПРОВИЗИРОВАННОЕ ОРУЖИЕ"
"TUT_TITLE_AUTOSAVE": "АВТОСОХРАНЕНИЕ"
"UNL_TRAILBLAZING": "ПУТЬ ОГНЯ"
"UNL_MAYHEM": "РАЗГРОМ"
"UNL_DESC_CYPHER_OUTFIT": "Любой представитель Ультора должен выглядеть соответствующим образом. Этот эротичный костюмчик позволяет убивать с шиком."
"UNL_DESC_INSTANT_RELOAD_RIFLE": "Ваши винтовки перезаряжаются мгновенно."
"TUT_WHORED_A_ICON": "ИКОНА"
"TUT_RESPECT_METER": "Зарабатывая авторитет, вы повышаете свой ранг и получаете доступ к улучшениям. \nПопробуйте купить улучшение, открыв на своем мобильном {PAUSE_MENU_IMG} магазин улучшений. "
"TUT_ACT_INTRO_INS_FRAUD": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} ТРЯПИЧНАЯ КУКЛА \nБросайтесь на автомобили, различные объекты и здания, чтобы заработать больше на получении страховки."
"CS_TITLE_STAG_HQ_PR_CENTER": "ШТАБ-КВАРТИРА ОТРЯДА КАБАН - PR-ЦЕНТР"
"WPN_RC_GUN_DESCRIPT": "Зачем играться с радиоуправляемыми моделями, когда можно управлять на расстоянии настоящей машиной!"
"FLASHPOINT_COMPLETE_TITLE": "ОПЕРАЦИЯ БАНДЫ"
"HOMIES_RANK_UP": "%ls ПОВЫСИЛ СВОЙ РАНГ!"
"HOOD_DOWNERS_GROVE": "РОЩА"
"UNL_DESC_DLC_GAMEPLAY03_ALERT02": "Награды, связанные с решениями в мисии Декеров, теперь действуют в игре."
"UNL_WEEKLY_PAYMENTS_1": "БОНУС - ПОЧАСОВАЯ ВЫПЛАТА"
"TUT_VEHICLE_TURRET": "{ATTACK_PRIMARY_IMG} ВЫСТРЕЛ ИЗ ТУРЕЛИ\nВо время нахождения в машине с турелью. "
"WPN_KBGLOVES_DESCRIPT": "Разработанная Киллбейном разрушительная особоая атака - теперь в перчатке!"
"HUD_HEALTH": "ЗДОРОВЬЕ"
"HOMIES_SAINTS_BACKUP": "РЕЗЕРВ СВЯТЫХ"
"TUT_WEAPON_UPGRADES": "Оружие можно улучшать в оружейном магазине. Попробуйте купить оружие и улучшивать его."
"CHOP_SHOP_DISPLAY_DISTRICT_UNKNOWN": "НЕИЗВЕСТНО"
"UNL_CASH_LIMIT_LUCHA_1": "ЛИМИТ ТРАНСФЕРА"
"UNL_DESC_NOTORIETY_LUCHA_2": "Уровень дурной славы в отношениях с Лучадорами снижается быстрее."
"CS_TITLE_STILWATER": "STILWATER"
"HOMIES_DISMISSED": "%ls отстранен!"
"UNL_DESC_RESPECT_MSTAR_1": "За приобретение жилья \"Бордель МЕГА\" количество любого зарабатываемого вами авторитета увеличивается на 5%%."
"UNL_DESC_CASH_LIMIT_LUCHA_2": "За улучшение жилья \"Казино Раз-Два-Три\" ваш лимит перевода денег увеличивается."
"UNL_DESC_FASTER_HOMIE_REVIVE_2": "Последователи возрождаются на 20%% быстрее."
"UNL_UNLIMITED_AMMO_SPECIAL": "ОСОБЫЕ ПАТРОНЫ 4"
"UNL_FOLLOWER2": "БАНДА - ПОСЛЕДОВАТЕЛИ 2"
"TUT_WHORED_Z_10_CENTS": "10 ЦЕНТОВ НАЗАД"
"TUT_DRIVING_STUNTS": "Авторитет можно получить за трюковое вождение. Все типы такого вождения отображены в дисплее хулиганства."
"HOMIES_NYTEBLAYDE": "НОЧНОЙ КЛИНОК"
"TUT_WHORED_MEGAWHORE": "МЕГА-ШЛЮХА"
"TUT_NAG_WEAPON_UPGRADES": "В \"Веселой пуле\" можно улучшать свое оружие."
"TUT_TEMP_WEAPON": "Это оружие можно использовать ограниченное число раз. Его нельзя носить с собой, как обычное оружие. Перед посадкой в машины его необходимо выбрасывать."
"TUT_TITLE_NOTORIETY_DECREASES": "ДУРНАЯ СЛАВА"
"UNL_DESC_GANG_NPC_GIMP": "Теперь в вашей банде могут быть уроды."
"UNL_DESC_BLOODY_MESS": "Каждое совершенное вами убийство превращается в кровавую бойню."
"UNL_UNLIMITED_AMMO_SHOTGUN": "ПАТРОНЫ - ДРОБОВИК 4"
"UNL_HOMIE_NYTEBLAYDE": "БРАТОК - НОЧНОЙ КЛИНОК"
"PLAYER_CHOICE_M22_OPTION1_BODY": "Убейте Киллбейна, но тогда погибнет Шаунди"
"TUT_TITLE_EXPLORE": "ПРИНАДЛЕЖАЩАЯ ТЕРРИТОРИЯ"
"SATELLITE_MISSILES_LEFT": "СНАРЯДОВ"
"UNL_RESPECT_LUCHA_2": "БОНУС АВТОРИТЕТА"
"TUT_WHORED_D_31DAYS": "31 день спустя "
"UNL_PLAYER_HEALTH_4": "УВЕЛИЧЕНИЕ ЗДОРОВЬЯ 4"
"UNL_NPC_CASH_DROP": "НАВЫК - ПАДАЛЬЩИК"
"TUT_DLC_GENKI_GUN": "{ATTACK_SECONDARY_IMG} ВЗОРВАТЬ ОСЬМИНОЖЕК.\nПоражение людей из Осьминога Дженки заставляет их сражаться на вашей стороне, а осьминожек можно в любой момент подорвать."
"UNL_RESPECT_MSTAR_3": "БОНУС АВТОРИТЕТА"
"UNL_DLC_ASSET03_OUTFITS03": "КОСТЮМ - СОЛДАТ \"МОРГЕНШТЕРНА\""
"TUT_WHORED_QUESTIONMARKS": "ПОД ВОПРОСОМ"
"PLAYER_CHOICE_M13_OPTION1_BODY": "НАГРАДА: КАБАН захватит для Святых район"
"CHOP_SHOP_DISPLAY_DISTRICT_FREEWAY": "ШОССЕ"
"UNL_DESC_CASH_LIMIT_MSTAR_3": "За улучшение жилья \"Бордель МЕГА\" ваш лимит перевода денег увеличивается."
"UNL_CASH_FOR_RESPECT_3": "ПОДМЕНА - НАЛИК ЗА АВТОРИТЕТ 3"
"TUT_FLASHPOINT": "Убивая помеченного члена банды во время андитской операции, Святые получают соответствующую территорию!"
"TUT_TITLE_STORE_INTRO_VEHICLE_DEALER": "АВТОМОБИЛЬНЫЕ ДИЛЕРЫ"
"HUD_USE_PARACHUTE": "ОТКРЫТЬ ПАРАШЮТ"
"UNL_CASH_LIMIT_EURO_2": "ЛИМИТ ТРАНСФЕРА"
"UNL_DESC_DLC_ASSET03_OUTFITS04": "Костюм специалиста \"Моргенштерна\"."
"UNL_CASH_MULTIPLIER_1": "БОНУС - НАЛИЧКА"
"UNL_DESC_HOMIE_TANK": "В вашем телефоне есть номер братка на танке. Он поможет Святым в бою."
"UNL_DESC_HOMIE_JOSH": "Номер Джоша есть в меню \"ТЕЛЕФОН\" вашего мобильника. Он поможет Святым в бою."
"TUT_TITLE_JUMP_CLIMB": "ПРЫГАТЬ/КАРАБКАТЬСЯ"
"TUT_DIV_INTRO_BASE_JUMPING": "Постарайтесь приземлиться как можно ближе к отметке, чтобы поднять свой авторитет. "
"HUD_USE_LEFT_STICK_MESSAGE": "ИСПОЛЬЗУЙТЕ {ANALOG_LS_IMG}, ЧТОБЫ ДВИГАТЬСЯ."
"TUT_WHORED_MEGACAN": "МЕГА-БАНКА"
"TUT_MIS_02_SKYDIVE_FLIP": "{ANALOG_LS_IMG} ДВИГАТЬСЯ\n{ANALOG_RS_IMG} СМОТРЕТЬ\n{SKYDIVE_FLIP_IMG} ВЗЛЕТЕТЬ ИЛИ ОПУСТИТЬСЯ"
"UNL_DESC_UNLIMITED_AMMO_RIFLE": "Количество патронов для винтовки неограниченно."
"UNL_DESC_NOTORIETY_MSTAR_3": "Уровень дурной славы в отношениях с Моргенштерном снижается быстрее."
"GARAGE_AIRPLANES_ONLY": "ЗДЕСЬ МОЖНО ОСТАВИТЬ ТОЛЬКО САМОЛЕТ."
"HUD_TRIGGER_DISABLED_MISSION": "ВЫ НЕ МОЖЕТЕ ЗАЙТИ СЮДА ВО ВРЕМЯ МИССИИ"
"HUD_OPEN_DOOR_MESSAGE": "ОТКРЫТЬ ДВЕРЬ"
"UNL_WEP_CHAINSAW": "ОРУЖИЕ - БЕНЗОПИЛА"
"TUT_TITLE_TEMP_WEAPON": "ВРЕМЕННОЕ ОРУЖИЕ"
"RIFLE_NG": "AR-55"
"SATELLITE_FIRE_MISSILE": "НЕУПРАВЛЯЕМАЯ РАКЕТА"
"HUD_MINUTES": "МИН."
"HOMIES_ZOMBIE_GAT": "ЗОМБИ-ГЭТ"
"UNL_FRAUD": "СТРАХОВОЕ МОШЕННИЧЕСТВО"
"UNL_DLC_PREORDER03_OUTFITS": "КОСТЮМ - СОЛДАТ БУДУЩЕГО"
"UNL_DESC_VEHICLE_STAG_PROTOTYPE": "Теперь в гараже вашего жилища есть прототип танка"
"UNL_SPRINT_4": "УЛУЧШЕННЫЙ БЕГ 4"
"TUT_TITLE_ACT_INTRO_HUMAN_TORCH": "ПУТЬ ОГНЯ"
"TUT_TITLE_ACT_INTRO_MAYHEM": "РАЗГРОМ"
"HOMIES_ANGRY_LEFT": "%ls покидает вас!"
"UNL_AMMO_LUCHA_2": "СКЛАД ОРУЖИЯ - БОЕПРИПАСЫ"
"UNL_DESC_DLC_PREORDER01_OUTFITS": "С этим костюмом каждый день может стать ВЕСЕЛЫМ ДНЕМ УБИЙСТВ!"
"UNL_DESC_MUSCLES_1": "В ближнем бою удары отбрасывают противников немного дальше."
"UNL_DESC_UPGRADE_AMMO_GRENADE_2": "Можно переносить на 50%% больше гранат."
"UNL_DESC_UPGRADE_AMMO_SHOTGUN_3": "Можно переносить на 75%% больше патронов для дробовика."
"UNL_DESC_NOTORIETY_COPS_1": "Уровень дурной славы в отношениях с полицией снижается несколько быстрее."
"TUT_WHORED_A_AW_NUTS": "АЙ, ЯЙЦА"
"TUT_WHORED_A_WELCOME": "ВРЕМЯ МОЛОТКА"
"TUT_TITLE_ACTIVITY_COMPLETE": "ЗАДАНИЕ ВЫПОЛНЕНО"
"USE_TRIGGER_DROP_BIKE": "СПРЫГНУТЬ С МОТОЦИКЛА"
"HOOD_POINT_PRYOR": "ПОРТ-ПРАЙОР"
"UNL_GANG_NPC_GIMP": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_VEHICLE_LUCHADOR": "ГАРАЖ - НОВЫЕ МАШИНЫ"
"UNL_DESC_DLC_ASSET03_ALERT": "В вашем гардеробе доступен загружаемый контент."
"UNL_DESC_COLLECTIBLE_FINDER": "Коллекционные предметы в мире будут подсвечены."
"TUT_WHORED_Z_START_YOUNG": "НАЧИНАЙ СМОЛОДУ"
"TUT_WHORED_D_WEENIE ROAST": "ЖАРКА МЛАДЕНЦЕВ"
"TUT_TITLE_STORE_INTRO_SURGEON": "ПЛАСТИЧЕСКАЯ ХИРУРГИЯ"
"HUD_CANCEL_PERSISTENT": "ОЧИСТИТЬ "
"UNL_DESC_VEHICLE_SPOTLIGHT": "Теперь в гараже вашего жилища есть этот вертолет."
"UNL_DBNO_EXTRA_TIME_1": "БАНДА - ТАЙМЕР ОЖИВЛЕНИЯ"
"UNL_DESC_DAMAGE_EXPLOSIVE_3": "Урон от взрывов снижается на 20%%. "
"TUT_WHORED_DRUNKENROCKETS": "ПЬЯНЫЕ РАКЕТЫ"
"FORMAT_TIME_SECS": "{0} cek."
"HOMIES_NYTEBLAYDE_DESC": "Получите поддержку от Ночного Клинка."
"UNL_VEHICLE_CUSTOMIZATION": "ИЗМЕНЕНИЕ МАШИНЫ"
"TUT_WHORED_Z_HANK_EAST": "ХЭНК ИСТ"
"TUT_WHORED_MINISNIPERS": "МИНИ-СНАЙПЕРЫ"
"PLAYER_CHOICE_M21_OPTION2_BODY": "НАГРАДА: Кулак Апокалипсиса"
"FLASHPOINT_TOTAL_COMPLETED": "ЗАКОНЧЕНО ОПЕРАЦИЙ БАНДЫ %d/%d"
"TUT_FINAL_ACT_LEVEL_COMPLETE": "Теперь стал доступен следующий этап этого задания. Посмотрите на карту. Для этого необходимо нажать на {MAP_MENU_IMG}.\nПовторное прохождение этого этапа задания принесет вам деньги, но не авторитет."
"GARAGE_HELI_ONLY": "НА ПОСАДОЧНОЙ ПЛОЩАДКЕ ДЛЯ ВЕРТОЛЕТОВ ВЫ МОЖЕТЕ СТАВИТЬ ТОЛЬКО ВЕРТОЛЕТЫ."
"HUD_FOOTAGE": "ОТСНЯТЫЙ МАТЕРИАЛ"
"FRIENDLY_FIRE_LIGHT_TURNED_ON__NYOU_CAN_NOW_DEAL_SOME_DAMAGE_TO_YOUR_PARTNER": "Огонь по своим включен!\nВы можете причинить вред партнеру."
"HOOD_NW_02": "ЭШВУД"
"UNL_DESC_INCOME_MSTAR_3": "Вы получаете бонус 15%% к почасовому доходу с района Нью-Колвин."
"UNL_HOMIE_HP_INCREASE_3": "БРАТОК - УВЕЛИЧЕНИЕ ЗДОРОВЬЯ 3"
"UNL_GANG_WEAPONS_RIFLE": "БАНДА - ОРУЖИЕ - ВИНТОВКИ"
"TUT_WHORED_HOBO_SHOTGUN": "УЛИЧНОЕ ПРАВОСУДИЕ"
"TUT_TAKEOVER_RESPECT": "Выполнение миссий, заданий и хулиганств, а также захват города, повышают ваш авторитет и ранг, а такжу дают вам доступ к улучшениям."
"HOMIES_SHAUNDI": "ШАУНДИ"
"UNL_GANG_NPC_DECKER": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DESC_VAMPIRE": "Вы можете высосать кровь человека, которого используете в качестве живого щита, чтобы восстановить свое здоровье."
"UNL_NOTORIETY_LUCHA_3": "ДУРНАЯ СЛАВА - ЛУЧАДОРЫ 3"
"TUT_WHORED_NUT_ASSAULT": "УДАР ПО ЯЙЦАМ"
"TUT_UPGRADE_STORE": "Модернизируйте свое имущество, чтобы вы, ваши машины и ваша банда были лучше, сильнее и смертоноснее."
"TUT_TITLE_DIV_INTRO_STREAKING": "БЕГ ГОЛЫМ"
"TUT_TITLE_MISSION_CHECKPOINT": "КОНТРОЛЬНЫЕ ТОЧКИ"
"TUT_ACT_INTRO_MAYHEM": "Устройте всеобщую резню предоставленным оружием."
"TUT_COMBAT_MELEE_SPRINT": "{SPRINT_IMG} + {MELEE_POWER_ATTACK_IMG} / {ATTACK_PRIMARY_IMG} УДАРЫ В РЫВКЕ"
"WPN_RIFLENG_DESCRIPT": "Профессиональная винтовка со съемными прицелами."
"HUD_PRESS_BACK_CANCEL_HOSTAGE": "НАЖМИТЕ %ls ЕЩЕ РАЗ, ЧТОБЫ ОТПУСТИТЬ ЗАЛОЖНИКА."
"PLAYER_ALREADY_HEALED": "Вы уже вылечили товарища!"
"UNL_DESC_GANG_NPC_MSTAR": "Теперь в вашей банде могут состоять Моргенштерны."
"UNL_CYPHER_OUTFIT": "КОСТЮМ - УБИЙЦА УЛЬТОРА"
"TUT_TITLE_CASH_INCOME": "ЕЖЕЧАСОВОЙ ДОХОД ОТ ГОРОДА"
"UNL_NOTORIETY_MSTAR_2": "ДУРНАЯ СЛАВА - МОРГЕНШТЕРН 2"
"HUD_TRIGGER_DISABLED_COOP_USING": "МАГАЗИНОМ ПОЛЬЗУЕТСЯ ПАРТНЕР"
"HUD_LOCKON_SCANNING": "СКАНИРОВАНИЕ ЦЕЛИ"
"MAP_HIDDENNAME_ACTIVITY": "ЗАДАНИЕ"
"PAUSE_ACT_HITMAN_ADD_HUD": "ДОБАВИТЬ НА ЭКРАН"
"UNL_DESC_GANG_NPC_LUCHA": "Теперь в вашей банде могут состоять Лучадоры."
"UNL_DLC_ASSET04_VEHICLES": "МАШИНА - ВОЕННЫЕ МАШИНЫ СВЯТЫХ"
"UNL_DLC_PREORDER03_ALERT": "БОЕВОЙ ВЗРЫВНОЙ НАБОР"
"UNL_DAMAGE_MELEE_2": "БЛИЖНИЙ БОЙ - СИЛА 2"
"UNL_DESC_FOLLOWER3": "Теперь вы можете завербовать трех Святых. Нажмите {RECRUIT_DISMISS_IMG}, чтобы завербовать бойцов."
"TUT_WHORED_Z_MS_SEBERT": "ГОСПОЖА СЕБЕРТ"
"TUT_WHORED_A_GOOD_VIBRATIONS": "ХОРОШИЕ ВИБРАЦИИ"
"TUT_TITLE_PLAYER_CHOICE": "ВЫБОР ИГРОКА"
"SATELLITE_RC_SIGNAL_STRENGTH": "СИГНАЛ {0}"
"HUD_CANCEL_DIVERSION": "ПОКИНУТЬ ХУЛИГАНСТВО"
"HUD_HITMAN_LOCATED": "МОЖНО НАЙТИ В: "
"HUD_MILES": "МИЛЬ"
"UNL_DESC_UPGRADE_AMMO_RIFLE_2": "Можно переносить на 50%% больше патронов для винтовки."
"PLAYER_CHOICE_M09_OPTION1_BODY": "НАГРАДА: Единовременная выплата "
"HUD_GARAGE_NEED_VEHICLES": "ДОБАВЬТЕ В ГАРАЖ МАШИНЫ, ЧТОБЫ ЗАЙТИ В НЕГО"
"GENKI_AMMO": "БОЕПРИПАСЫ К УСТАНОВКЕ ДЖЕНКИ"
"STRONGHOLD_UPGRADE_BASE": "БАЗА"
"UNL_DESC_INCOME_LUCHA_2": "Вы получаете бонус 10%% к почасовому доходу с района Карвер-Айленд."
"TUT_CRUISE_CONTROL": "{CRUISE_CONTROL_B_IMG} - ВКЛЮЧИТЬ КРУИЗ-КОНТРОЛЬ\n{BRAKE_REVERSE_IMG} / {ACCELERATE_IMG} ИЗМЕНИТЬ СКОРОСТЬ ДВИЖЕНИЯ\nКруиз-контрполь позволяет вам поддерживать выбранную скорость движения без вашего участия и сосредоточиться на стрельбе."
"CS_TITLE_3_COUNT_CASINO": "3 COUNT CASINO"
"ACHIEVE_SR3_TANK_YOU_VERY_MUCH": "СПАСИБО ВАМ ОГРОТАНКОВОЕ"
"RIFLE_KILLSHOT": "ТОГО-13"
"TUT_TITLE_DIV_INTRO_TAGGING": "ГРАФФИТИ"
"UNL_CASH_LIMIT_DECKER_1": "ЛИМИТ ТРАНСФЕРА"
"UNL_HOMIE_MAYOR_REYNOLDS": "БРАТОК - БЕРТ РЕЙНОЛДС"
"TUT_CASH_INCOME": "$%ls доступно в меню \"ДЕНЬГИ\" вашего телефона. Кажый час вы получаете $%ls наличными в качестве дохода от принадлежащих вам районов Стилпорта."
"ACHIEVE_SR3_FENCE_KILLA_2011": "УНИЧТОЖЕНИЕ ЗАБОРОВ 2011"
"UNL_DLC_GAMEPLAY02_ALERT": "НАБОР \"КРОВОСОС\""
"UNL_DESC_VEHICLE_AIRCRAFT": "Теперь в вашем гараже есть несколько самолетов."
"UNL_DESC_UPGRADE_AMMO_PISTOL_3": "Можно переносить на 75%% больше патронов для пистолета."
"UNL_NOTORIETY_DECKERS_2": "ДУРНАЯ СЛАВА - ДЕКЕРЫ 2"
"UNL_DAMAGE_VEHICLE_1": "УРОН ОТ МАШИН"
"HUD_AMT_SECS_B": "+{0} СЕК."
"UNL_DESC_STRONGHOLD_03_CUSTOMIZATION": "Вносите изменения в эту крепость в жилище \"Реакторы Бернс-хилл\", чтобы получить огромные бонусы."
"UNL_TANKMAYHEM": "ТАНКОВЫЙ РАЗГРОМ"
"UNL_RESPECT_DECKER_3": "БОНУС АВТОРИТЕТА"
"UNL_DESC_CASH_LIMIT_EURO_3": "За улучшение жилья \"Порох\" ваш лимит перевода денег увеличивается."
"UNL_DESC_UPGRADE_AMMO_EXPLOSIVE_1": "Вы можете переносить на 25%% больше взрывчатки."
"TUT_WHORED_MONEYSHOTS": "ВЫСТРЕЛЫ В ГОЛОВУ"
"TUT_TITLE_QUICK_KILL": "ЧЕЛОВЕЧЕСКИЙ ЩИТ - БЫСТРОЕ УБИЙСТВО"
"HUD_DAMAGE": "УРОН"
"UNL_VEHICLE_DECKER": "ГАРАЖ - НОВЫЕ МАШИНЫ"
"UNL_DESC_NPC_CASH_DROP": "Вы сможете собирать с трупов в два раза больше денег."
"TUT_RANK_UP": "{MAP_MENU_IMG} МАГАЗИН УЛУЧШЕНИЙ\nВаш ранг только что увеличился! \nВ магазине теперь доступны новые улучшения."
"TUT_TITLE_STRONGHOLD_START": "КРЕПОСТИ"
"ACHIEVE_SR3_HATERS_GONNA_HATE": "ХЕЙТЕРЫ НЕ ОБРАДУЮТСЯ"
"Grenade": "ГРАНАТЫ"
"UNL_DESC_DAMAGE_FIRE_3": "Урон от огня снижается на 50%%."
"UNL_DESC_HIDDEN": "Эта награда скрыта до тех пор, пока вы ее не обнаружите. "
"TUT_TITLE_ANNIHILATOR": "УЛУЧШЕННЫЙ ГРАНАТОМЕТ"
"TUT_TITLE_CRIB_GARAGE": "ГАРАЖ"
"TUT_TITLE_HUMAN_SHIELD": "ЖИВОЙ ЩИТ"
"TUT_VTOL_CONTROL_A": "{HELI_UP_IMG} ПОВЫСИТЬ УГОЛ ПОДЪЕМА\n{HELI_DOWN_IMG} ПОНИЗИТЬ УГОЛ ПОДЪЕМА\n{VTOL_TRANSITION_IMG} ПЕРЕКЛЮЧИТЬСЯ В РЕЖИМ ПОЛЕТА"
"TUT_SHOOTING_STUNTS": "Авторитет можно заслужить за убийства представителей вражеских банд. Чем сложнее и экстремальнее убийство, тем больший авторитет вы заслужите."
"RESTRICTED_ZONE_EXIT": "ВЫХОД ИЗ ЗАПРЕЩЕННОЙ ЗОНЫ"
"HOOD_NE_02": "КАМАНО"
"UNL_CRIB_3COUNT": "ЖИЛЬЕ - КАЗИНО \"РАЗ-ДВА-ТРИ\""
"TUT_WHORED_A_EYE_BEHOLDER": "ГЛАЗ СОЗЕРЦАТЕЛЯ"
"TUT_WHORED_BOWLING": "БОУЛИНГ"
"SMG_GANG": "ТЕК Z-10"
"HOMIES_TANK_DESC": "Пусть вам доставят танк."
"UNL_DESC_DAMAGE_BULLET_3": "Урон от пуль снижается на 20%%."
"UNL_DESC_CRIB_SHAUNDIS_EX": "Теперь это место является жильем Святых. Здесь вы можете получить доступ к вашему оружию и одежде."
"TUT_WHORED_A_4_JULY": "ЧЕТВЕРТОЕ ИЮЛЯ"
"TUT_LOW_AMMO": "У вас кончаются патроны. Загляните в магазин \"Веселая пуля\" {MAP_IMG_WEAPON} и пополните запас."
"TUT_TITLE_STORE_INTRO_FOOD": "РЕСТОРАНЫ"
"UNL_DLC_PREORDER01_WEAPONS": "ОРУЖИЕ - МОЛЛЮСКОМЕТ ДЖЕНКИ"
"UNL_DAMAGE_FALL_2": "УРОН ОТ ПАДЕНИЯ 2"
"TUT_DIVERSION_COMPLETE": "Вы совершили хулиганство! Можете повторить, но получить только деньги или авторитет."
"CS_TITLE_POWDER": "POWDER"
"UNL_DESC_STRONGHOLD_04_CUSTOMIZATION": "Вносите изменения в эту крепость в жилище \"Раз-два-три\", чтобы получить огромные бонусы."
"UNL_NOTORIETY_COPS_2": "ДУРНАЯ СЛАВА - ПОЛИЦИЯ 2"
"PLAYER_CHOICE_M16_OPTION1_BODY": "НАГРАДА: цены на изменение машин заметно снижаются"
"ACTIVITY_CANCEL_SUB_TEXT": "ЗАДАНИЕ ОТМЕНЕНО"
"UNL_DESC_UPGRADE_AMMO_SMG_3": "Можно переносить на 75%% больше патронов для автомата."
"UNL_WEEKLY_CASH_FOR_HOS": "БОНУС - СУТЕНЕРСТВО"
"TUT_WHORED_Z_ANGEL_DE": "АНХЕЛЬ ДЕ ЛА МУЭРТЕ"
"TUT_WHORED_TANK": "ТАНК"
"TUT_RESPECT_DIVERSIONS": "Все ваши действия повышают ваш авторитет.\nВ меню хулиганства отслеживается заработанный вами в результате хулиганских действий авторитет. К таким действиям можно отнести все, что угодно: от движения по неправильной стороне улицы до уничтожения противников выстрелами в пах."
"BEHEMOTH": "БЕГЕМОТ"
"Temp_Minigun": "МИНИГАН"
"STRONGHOLD_UPGRADE2": "УЛУЧШЕНИЕ 2"
"UNL_DESC_CASH_LIMIT_DECKER_2": "За улучшение жилья \"АЭС\" ваш лимит перевода денег увеличивается."
"UNL_DESC_SPRINT_3": "Бег может длиться на 75%% дольше."
"UNL_DESC_HOMIE_REPAIR": "В вашем телефоне есть номер братка-ремонтника. Он починит ваш текущий автомобиль."
"UNL_HOMIE_TANK": "БРАТОК - ТАНК"
"UNL_HOMIE_JOSH": "БРАТОК - ДЖОШ БИРК"
"TUT_WHORED_A_MEAN_GIRLS": "МЕРЗКИЕ ДЕВЧЕНКИ"
